"Project.Name","PlatformPortfolio","Action_Obligation_OMB24_GDP22","Action_Obligation_2023","rank_total","rank_2023","TopProject"
"AN/URD-4","Electronics, Comms, & Sensors",3610929.01241163,0,430,376.5,NA
"AN/URN-25","Electronics, Comms, & Sensors",1015068.55548704,0,517,376.5,NA
"AN/USC-3 COMMUNICATIONS S","Electronics, Comms, & Sensors",74204665.1173309,0,179,376.5,NA
"AN/USG-13 TACMO 3","Electronics, Comms, & Sensors",20691130.3799296,0,286,376.5,NA
"AN/USH-24","Electronics, Comms, & Sensors",313127218.778127,0,83,376.5,NA
"AN/USM-207","Electronics, Comms, & Sensors",-157364.523140464,0,679,376.5,NA
"AN/USM-207 FREQ MEASUR SE","Facilities and Construction",151910.716809479,0,107,78,NA
"AN/USM-247 (VAST)","Electronics, Comms, & Sensors",18320459.8771662,0,297,376.5,NA
"AN/USM-410 TEST STATION","Electronics, Comms, & Sensors",95051437.0335367,0,161,376.5,NA
"AN/USP-1 RADAR","Missile Defense",6741316.52079913,0,60,48.5,NA
"AN/USQ-20 NTDS","Electronics, Comms, & Sensors",18974435.4327503,0,292,376.5,NA
"AN/UXC-4","Electronics, Comms, & Sensors",763537.292250671,0,537,376.5,NA
"AN/UYA-4 NTDS","Electronics, Comms, & Sensors",202411859.215312,0,112,376.5,NA
"AN/UYH/K-3 MEMORY UNITS","Electronics, Comms, & Sensors",5474855.29843484,0,390,376.5,NA
"AN/UYK-20 GARD","Electronics, Comms, & Sensors",354996447.88143,0,74,376.5,NA
"AN/UYK-43","Electronics, Comms, & Sensors",1546912025.86315,0,20,376.5,NA
"AN/UYK-5 ADP SYSTEM","Electronics, Comms, & Sensors",32587317.1181107,0,244,376.5,NA
"AN/UYK-7 COMPUTER SYS","Ships & Submarines",53309449.1836019,0,94,131,NA
"AN/UYQ-21 NTDS","Electronics, Comms, & Sensors",881266692.243308,0,30,376.5,NA
"AN/VCC-1","Electronics, Comms, & Sensors",443582.152427537,0,569,376.5,NA
"AN/VPS-2 RADAR SET","Ordnance and Missiles",4475167.24913088,0,189,185,NA
"AN/VRC-12 RADIO","Electronics, Comms, & Sensors",194639465.439218,0,115,376.5,NA
"AN/VRC-67 RADIO TERMINAL","Electronics, Comms, & Sensors",3520947.42866886,0,431,376.5,NA
"AN/VVG-2 RANGE FINDER LAS","Electronics, Comms, & Sensors",57572.3865148038,0,651,376.5,NA
"AN/VVS-2","Electronics, Comms, & Sensors",21630738.4172551,0,282,376.5,NA
"AN/WLR-1","Electronics, Comms, & Sensors",16461543.7772902,0,304,376.5,NA
"AN/WLR-8","Electronics, Comms, & Sensors",259012680.13597,0,91,376.5,NA
"AN/WLR-9","Electronics, Comms, & Sensors",53486670.8998953,0,207,376.5,NA
"AN/WRC-1","Electronics, Comms, & Sensors",1496881.19897025,0,490,376.5,NA
"AN/WRN-5","Electronics, Comms, & Sensors",11939097.8994588,0,334,376.5,NA
"AN/WRR-7","Electronics, Comms, & Sensors",97677.1943784593,0,635,376.5,NA
"AN/WSC-28 SAT COMM","Electronics, Comms, & Sensors",3256823.11598146,0,438,376.5,NA
"AN/WSC-3 SHIPBOARD SATCOM","Electronics, Comms, & Sensors",863494.203113673,0,528,376.5,NA
"AN/WSN-1 (V)","Electronics, Comms, & Sensors",4940206.17470282,0,401,376.5,NA
"AN/WSN-1 INERT NAV SYS","Electronics, Comms, & Sensors",152993015.652816,0,125,376.5,NA
"AN/WSN-2","Ships & Submarines",94083380.942866,0,78,131,NA
"ANTENNA IMPROV PLAN","Electronics, Comms, & Sensors",1658902.15491222,0,484,376.5,NA
"ANTENNA TEST STATION","Electronics, Comms, & Sensors",6413854.42191275,0,376,376.5,NA
"AOC-WS","Electronics, Comms, & Sensors",981178943.479571,3924715773.91828,29,16,NA
"APACHE (AH-64) ADV ATTACK","Aircraft",247466689.452092,0,178,273.5,NA
"APACHE (AH-64A)","Aircraft",7341539248.11188,44049235488.6713,44,36,NA
"APC","Aircraft",111756349.097574,0,208,273.5,NA
"APC","Electronics, Comms, & Sensors",181624243.327345,0,117,376.5,NA
"APC","Other R&D and Knowledge Based",131080299.382909,0,12,63,NA
"APS","Missile Defense",1658859400.67317,72989813629.6196,19,11,NA
"AQM-37 TARGET DRONE","Aircraft",273143538.085646,0,175,273.5,NA
"AQM-38","Aircraft",1585458.03647386,0,353,273.5,NA
"AQM-41 PETREL","Aircraft",143930.966287009,0,421,273.5,NA
"ARC-210 RADIO SET","Electronics, Comms, & Sensors",299131406.015805,0,87,376.5,NA
"ARE","Other R&D and Knowledge Based",4652698.17101918,0,42,63,NA
"ARH","Aircraft",460365751.440722,460365751.440722,153,73,NA
"ARL","Aircraft",352348204.20553,0,162,273.5,NA
"ARL","Electronics, Comms, & Sensors",13368270.8869024,0,321,376.5,NA
"ARMORED MORTAR SYSTEM","Electronics, Comms, & Sensors",63776.8808967661,0,643,376.5,NA
"ARMORED SECURITY VEHICLE","Land Vehicles",14907823.6785907,0,82,114,NA
"ARMORED VEHICLE","Land Vehicles",11147746.3707141,0,90,114,NA
"ARMY DATA DISTRIBUTION SY","Electronics, Comms, & Sensors",18956152.691232,0,293,376.5,NA
"ARMY TACTICAL MISSILE SYS","Ordnance and Missiles",532788432.605041,0,59,185,NA
"ARMY WWMCCS INFO SYS","Electronics, Comms, & Sensors",3416152.97162068,0,434,376.5,NA
"ARN-118 TACAN","Electronics, Comms, & Sensors",69770629.3153803,0,184,376.5,NA
"ARN-127 VOR/ILS","Electronics, Comms, & Sensors",6511436.91482431,0,373,376.5,NA
"AS2629 BBR CABLE ASSEMBLY","Electronics, Comms, & Sensors",168153510.858333,0,122,376.5,NA
"ASAS (ATCCS)","Electronics, Comms, & Sensors",13769406.7062471,0,318,376.5,NA
"ASDS","Ships & Submarines",6527667.80209458,0,144,131,NA
"ASF","Aircraft",27782016.0051338,0,259,273.5,NA
"ASF","Electronics, Comms, & Sensors",5583352.61476061,0,384,376.5,NA
"ASM","Other Products",8229114.28598719,0,16,31.5,NA
"ASMS ADV STRATEGIC MSL SY","Space Systems",1036053515.22756,0,17,36.5,NA
"ASSAULT BREAKER","Space Systems",7117744.40291917,0,46,36.5,NA
"ASSAULT GEN SHERIDAN XM55","Land Vehicles",7127660.27086437,0,100,114,NA
"ASSAULT SHIP AMPHIBIOUS-L","Ships & Submarines",5921767549.61231,0,15,131,NA
"AT NAV,INTEGR AND CRD ATN","Electronics, Comms, & Sensors",84870799.7726648,0,169,376.5,NA
"ATACMS BAT","Ordnance and Missiles",8179858.18751191,0,170,185,NA
"ATACMS-APAM","Ordnance and Missiles",2458213.0705026,7374639.2115078,213,37,NA
"ATARS","Electronics, Comms, & Sensors",5516817.73954354,0,387,376.5,NA
"ATCCS-CHS","Electronics, Comms, & Sensors",4952187.2537902,0,400,376.5,NA
"ATIRCMS/CMWS","Electronics, Comms, & Sensors",2950057446.96061,0,8,376.5,NA
"ATM","Facilities and Construction",5488.25101161946,0,132,78,NA
"ATM","Land Vehicles",242788.194532892,0,176,114,NA
"ATR","Aircraft",-1035215.7379541,0,460,273.5,NA
"ATR","Other R&D and Knowledge Based",-5595428.41538877,0,104,63,NA
"ATS","Aircraft",434777975.404296,0,158,273.5,NA
"ATS","Electronics, Comms, & Sensors",81984939.4948301,0,172,376.5,NA
"ATS","Facilities and Construction",2376343.24366957,0,64,78,NA
"ATS","Other Products",108493.88646492,0,44,31.5,NA
"ATS","Other R&D and Knowledge Based",354310.851467218,0,86,63,NA
"ATS","Other Services",-1018974.62000613,0,36,23,NA
"AUJ","Electronics, Comms, & Sensors",6960219.75641544,0,366,376.5,NA
"AUJ","Other R&D and Knowledge Based",48463077.4736966,0,22,63,NA
"AUTO CHEM AGENT ALARM","Facilities and Construction",22619433.4777626,0,39,78,NA
"AUTO TEST SUPPORT SYS","Aircraft",1558203.95099336,0,355,273.5,NA
"AUTO TEST SUPPORT SYS","Electronics, Comms, & Sensors",666582.152337947,0,543,376.5,NA
"AUTO TEST SUPPORT SYS","Facilities and Construction",88677.1179056582,0,116,78,NA
"AUTO TEST SUPPORT SYS","Land Vehicles",557558.75139097,0,159,114,NA
"AUTO TEST SUPPORT SYS","Other R&D and Knowledge Based",175741.634693355,0,90,63,NA
"AUTO TEST SYSTEM A15/DQ/G","Aircraft",2422245.0084909,0,340,273.5,NA
"AUTO TEST SYSTEM A15/DQ/G","Electronics, Comms, & Sensors",1322408.21963685,0,498,376.5,NA
"AUTO TEST SYSTEM A15/DQ/G","Other R&D and Knowledge Based",1430821.07045503,0,67,63,NA
"AUTODIN","Electronics, Comms, & Sensors",4367435.11333918,0,412,376.5,NA
"AV-8 HARRIER","Aircraft",8324656892.60485,0,38,273.5,NA
"AV-8A","Aircraft",191718.209184705,0,418,273.5,NA
"AV-8B","Aircraft",202795782.091424,0,188,273.5,NA
"AV-8B REMANUFACTURE","Aircraft",228901043.463176,0,180,273.5,NA
"AVENGER (FAADS LOS-R)","Missile Defense",26098263.6280202,0,48,48.5,NA
"AVENGER - FADS, LOS, RPMS","Electronics, Comms, & Sensors",174865382.97386,0,120,376.5,NA
"AVG","Aircraft",569911675.288371,0,146,273.5,NA
"AVG","Electronics, Comms, & Sensors",-14863.5542512006,0,669,376.5,NA
"AVIONICS","Electronics, Comms, & Sensors",28771823.5589944,0,252,376.5,NA
"AVK","Aircraft",51650801.4031168,0,241,273.5,NA
"AWACS RSIP (E-3)","Aircraft",4092396540.64888,69570741191.0309,62,32,NA
"AWACS UPGRADE","Aircraft",2200945871.45989,118851077058.834,85,27,NA
"AWADS FOR C-130","Electronics, Comms, & Sensors",5138950.50260926,0,398,376.5,NA
"Advanced Engine Development","Aircraft",4823651792.22085,28941910753.3251,58,41,NA
"Advanced Pilot Training (APT)","Electronics, Comms, & Sensors",1029016.70710494,2058033.41420988,513,55,NA
"Advanced Pilot Training (APT)","Other Products",326933.20231094,653866.40462188,37,4,"Advanced Pilot Training (APT)"
"Advanced Pilot Training (APT)","Other R&D and Knowledge Based",125281.229575127,0,92,63,NA
"Air Force Integrated Personnel and Pay System Increment 1 (AFIPPS Inc 1)","Electronics, Comms, & Sensors",682694.299465953,0,542,376.5,NA
"Air Force Integrated Personnel and Pay System Increment 1 (AFIPPS Inc 1)","Facilities and Construction",75866.7911442461,0,119,78,NA
"Air Force Integrated Personnel and Pay System Increment 1 (AFIPPS Inc 1)","Other R&D and Knowledge Based",9983.8725265847,0,100,63,NA
"Amphibious Ship Replacement (LX(R))","Ships & Submarines",324405.63921296,0,192,131,NA
"B-1","Aircraft",9974754640.41733,0,27,273.5,NA
"B-1 CMUP-DSUP","Aircraft",3064060.60237167,0,336,273.5,NA
"B-2 DMS-M","Aircraft",294987704.744273,5014790980.65263,169,53,NA
"B-2 EHF","Aircraft",135338562.209381,0,201,273.5,NA
"B-2 RMP","Aircraft",839547770.601961,0,132,273.5,NA
"B-2 STEALTH","Aircraft",33365407975.5255,0,14,273.5,NA
"B-26 INVADER","Aircraft",960228.999146426,0,370,273.5,NA
"B-2A","Aircraft",7849961630.83002,54949731415.8101,42,34,NA
"B-47 STRATOJET","Aircraft",322377.758210558,0,405,273.5,NA
"B-50 SUPER FORTRESS","Aircraft",9972524.41403034,0,295,273.5,NA
"B-52 OAS/CMI MODS","Aircraft",89532860.4188273,0,217,273.5,NA
"B-52 RMP","Aircraft",83064573.0798285,332258292.319314,222,74,NA
"B-52 STRATO FORTRESS","Aircraft",2393373858.14353,0,82,273.5,NA
"B-57 CANBERRA","Aircraft",523082.039371249,0,389,273.5,NA
"B-58 HUSTLER","Aircraft",368417.336087057,0,396,273.5,NA
"B-70 VALKYRIE","Aircraft",2031274.42437118,0,344,273.5,NA
"B1-B","Aircraft",1216272924.9293,4865091699.71722,112,54,NA
"B1-B CMUP","Aircraft",1953780022.57944,0,89,273.5,NA
"B1-CMUP COMPUTER UPGRADE","Electronics, Comms, & Sensors",6694959.3042784,0,370,376.5,NA
"BALL MSL DEF SYS","Missile Defense",1181403148.94516,0,22,48.5,NA
"BALLISTIC MISSILE DEFENSE","Missile Defense",37066817441.5764,111200452324.729,2,8,"BALLISTIC MISSILE DEFENSE"
"BAMS","Aircraft",8430849803.95653,404680790589.913,37,21,NA
"BARGE SHIP WASTE","Ships & Submarines",5152972.89590196,0,151,131,NA
"BARRACKS SHIP SELF-PROP-A","Facilities and Construction",278598516.569999,0,19,78,NA
"BASE REALIGN & CLOS (BRAC","Facilities and Construction",4265281157.0815,0,10,78,NA
"BAT FLD CMBT ID SYS - NEA","Electronics, Comms, & Sensors",96732391.3586363,0,159,376.5,NA
"BAT FLD CMBT ID SYS - NEAR TRM","Electronics, Comms, & Sensors",2043608.33937171,0,469,376.5,NA
"BATTLESHIP","Ships & Submarines",229379101.300077,0,57,131,NA
"BCS-M","Electronics, Comms, & Sensors",1251968.929671,0,501,376.5,NA
"BDU-38 PRACTICE","Ordnance and Missiles",1921943.02485168,0,222,185,NA
"BGM-109 TOMAHAWK","Ordnance and Missiles",10431391266.6066,0,8,185,NA
"BIGEYE","Facilities and Construction",294154.671849068,0,94,78,NA
"BIOMETRICS","Electronics, Comms, & Sensors",126243199.83994,252486399.67988,135,35,NA
"BIOMETRICS","Facilities and Construction",1198.07263376246,0,136,78,NA
"BIOMETRICS","Other R&D and Knowledge Based",49540291.9354262,346782043.547984,21,10,NA
"BJL","Aircraft",20054916.1241926,20054916.1241926,274,78,NA
"BJL","Other R&D and Knowledge Based",13646020.4799964,0,29,63,NA
"BJM","Aircraft",76718438.5695117,0,225,273.5,NA
"BJN","Aircraft",2266571216.92862,0,84,273.5,NA
"BLACK HAWK (UH-60A/L)","Aircraft",8528211037.55956,1023385324507.15,36,12,NA
"BLACK HAWK UPGRADE (UH-60","Aircraft",7170395715.42766,3635390627721.82,46,6,"BLACK HAWK UPGRADE (UH-60"
"BLACKHAWK","Aircraft",1656310815.69654,1656310815.69654,99,64,NA
"BMDS","Missile Defense",11459220551.1954,687553233071.726,7,3,"BMDS"
"BMTC","Missile Defense",10689.9437832963,0,79,48.5,NA
"BOAT BRIDGE ERECT DE 27 F","Land Vehicles",6255009.1743254,0,103,114,NA
"BQM-34 FIREBEE","Aircraft",309123605.698771,0,168,273.5,NA
"BQM-74","Aircraft",208889237.529757,0,183,273.5,NA
"BQM-74E SSAT","Missile Defense",115876558.332461,0,38,48.5,NA
"BRAC ACTIVITIES","Facilities and Construction",4432880862.36355,172882353632.178,8,6,"BRAC ACTIVITIES"
"BRADLEY FVS","Land Vehicles",9955436240.37881,139376107365.303,5,5,"BRADLEY FVS"
"BRADLEY UPGRADE","Land Vehicles",1194221198.90007,1194221198.90007,20,14,NA
"BRADLEY, INFANTRY FT VEH","Land Vehicles",5027635.51310688,0,109,114,NA
"BRADLEY,INFANTRY FT VEH F","Land Vehicles",3775100257.42207,0,13,114,NA
"BREAK BULK CONT 34 TON","Facilities and Construction",176629.678471441,0,103,78,NA
"BRIDGE (ARMORED VEH LAUNC","Land Vehicles",2709022.90749802,0,128,114,NA
"BRIDGE FIXED HWY ALUM","Other Products",8377494.36140368,0,13,31.5,NA
"BRIDGE FLOAT RIBBON INT B","Land Vehicles",93922.8340163614,0,187,114,NA
"BRIDGE FLOAT RIBBON RAMP","Land Vehicles",530670.928268251,0,161,114,NA
"BRLNT ANTI-ARMOR SUBMUNIT","Ordnance and Missiles",112299795.696596,0,100,185,NA
"BSJ","Aircraft",947502050.124883,0,123,273.5,NA
"BSM","Electronics, Comms, & Sensors",380210166.836037,0,70,376.5,NA
"BSM","Facilities and Construction",561012.569042068,0,83,78,NA
"BSM","Land Vehicles",16488.2034999158,0,200,114,NA
"BSM","Ordnance and Missiles",144948.910663107,0,279,185,NA
"BSM","Other R&D and Knowledge Based",11153878.7509901,0,31,63,NA
"BSM ENERGY","Aircraft",97534696.2090259,0,213,273.5,NA
"BSM ENERGY","Electronics, Comms, & Sensors",14873948.0608811,0,311,376.5,NA
"BSM ENERGY","Facilities and Construction",168224.740076564,0,104,78,NA
"BSM ENERGY","Other Products",33150.5781728048,0,52,31.5,NA
"BSM ENERGY","Other R&D and Knowledge Based",3539969.85406503,0,51,63,NA
"BSR","Aircraft",117895848.724278,0,206,273.5,NA
"BSU-50 AIR INFLATE RETARD","Ordnance and Missiles",5550700.28749088,0,179,185,NA
"BTD","Aircraft",345876243.717306,0,164,273.5,NA
"BTLFLD DIGITALIZATION","Electronics, Comms, & Sensors",181724.997147467,0,607,376.5,NA
"BUNKER DEFEATING MUNITION","Ordnance and Missiles",830619.406296878,0,249,185,NA
"BUS 28 PAX","Land Vehicles",86358.5797722057,0,188,114,NA
"C-1 TRADER","Electronics, Comms, & Sensors",301906.37680291,0,581,376.5,NA
"C-10","Aircraft",2398881765.58359,0,81,273.5,NA
"C-11 GULFSTREAM II","Other Products",10470958.4741103,0,11,31.5,NA
"C-117 SKYTRAIN","Aircraft",3407553.08185784,0,330,273.5,NA
"C-118 LIFTMASTER","Aircraft",332000.762235369,0,402,273.5,NA
"C-119 FLYING BOXCAR","Aircraft",11048047.1703107,0,290,273.5,NA
"C-12","Aircraft",1816982077.33588,0,95,273.5,NA
"C-121 CONSTELLATION","Aircraft",16145929.487989,0,283,273.5,NA
"C-121 WARNING STAR","Electronics, Comms, & Sensors",6294866.36714835,0,378,376.5,NA
"C-123 PROVIDER","Aircraft",1438554.04657349,0,359,273.5,NA
"C-124 GLOBEMASTER","Aircraft",62664247.139016,0,231,273.5,NA
"C-12A (CX-X)","Aircraft",534403498.910067,0,148,273.5,NA
"C-130 AMP","Aircraft",613956418.301291,0,143,273.5,NA
"C-130 HERCULES","Aircraft",22572073873.0052,0,16,273.5,NA
"C-130H","Aircraft",655702773.632777,655702773.632777,141,69,NA
"C-131 SAMARITAN","Aircraft",8358900.9072103,0,298,273.5,NA
"C-133 CARGOMASTER","Aircraft",260508.385451811,0,413,273.5,NA
"C-137 STRATOLINER","Aircraft",729233781.069732,0,137,273.5,NA
"C-14","Aircraft",10049550.421261,0,294,273.5,NA
"C-140 JET STAR","Aircraft",405751.62296956,0,393,273.5,NA
"C-141 STARLIFTER","Aircraft",1900545713.97875,0,91,273.5,NA
"C-142","Aircraft",1256933.33683072,0,366,273.5,NA
"C-17A","Aircraft",43365278050.1362,737209726852.316,7,15,"C-17A"
"C-17A CARGO TRANSPORT","Aircraft",41328401935.3943,0,10,273.5,NA
"C-18","Aircraft",204822659.749467,0,187,273.5,NA
"C-2 GREYHOUND","Aircraft",279855828.888386,0,173,273.5,NA
"C-20","Aircraft",890556171.334814,0,130,273.5,NA
"C-20 ACFT","Aircraft",3343196.8379783,0,331,273.5,NA
"C-20 GULFSTREAM III/IV","Aircraft",4985961.90532116,0,320,273.5,NA
"C-23 SHERPA","Aircraft",451109261.487879,0,156,273.5,NA
"C-3","Ordnance and Missiles",20567743.8413077,0,143,185,NA
"C-3 INERT NAVIG EQUIP","Electronics, Comms, & Sensors",2323486.00304449,0,461,376.5,NA
"C-4 GULFSTREAM","Aircraft",21332702.3754531,0,272,273.5,NA
"C-45 EXPEDITOR","Aircraft",6267960.87034978,0,310,273.5,NA
"C-45 NAVIGATOR","Electronics, Comms, & Sensors",654143.253332085,0,546,376.5,NA
"C-46 COMMANDO","Aircraft",38596336.9821793,0,253,273.5,NA
"C-47 SKYTRAIN","Aircraft",87713023.5623563,0,219,273.5,NA
"C-5 GALAXY","Aircraft",3700079839.89814,0,64,273.5,NA
"C-5 RERP","Aircraft",6840873903.96659,171021847599.165,48,25,NA
"C-54 SKYMASTER","Aircraft",778407.811175556,0,375,273.5,NA
"C-5A","Aircraft",206868310.234521,0,185,273.5,NA
"C-5B","Aircraft",907401802.483123,0,126,273.5,NA
"C-7 CARIBOU","Aircraft",40856944.0354773,0,250,273.5,NA
"C-9 NIGHTINGALE","Aircraft",50446552.7556365,0,242,273.5,NA
"C-9 SKYTRAIN II","Aircraft",1530117292.88964,0,102,273.5,NA
"C/MH-53E","Aircraft",522013057.759619,522013057.759619,149,71,NA
"C130-J","Aircraft",42421050494.4397,9459894260260.04,8,4,"C130-J"
"C9B COMMERCIAL ACFT","Electronics, Comms, & Sensors",39548721.3906697,0,224,376.5,NA
"CAC2S INC 1","Electronics, Comms, & Sensors",58043.5875104886,0,649,376.5,NA
"CAESAR","Ships & Submarines",11412396.0881079,0,129,131,NA
"CAINS GROUND SUPPORT EQUI","Electronics, Comms, & Sensors",318482149.502117,0,81,376.5,NA
"CALIBER .50 AMMO ALL TYPE","Ordnance and Missiles",7028425.71649589,0,173,185,NA
"CALIBRATIONS SET, EQUIPME","Land Vehicles",23442576.6094615,0,69,114,NA
"CALIBRATOR WETTMETER","Electronics, Comms, & Sensors",619021.431159402,0,550,376.5,NA
"CANES","Electronics, Comms, & Sensors",1121974063.84515,49366858809.1864,28,5,"CANES"
"CANES","Other R&D and Knowledge Based",39054.5340047819,0,99,63,NA
"CARGO 1 1/2 TON M105 TRAI","Land Vehicles",15419261.4038164,0,78,114,NA
"CARGO 1 1/4 TON 6X6 M561","Land Vehicles",-206823.225246263,0,206,114,NA
"CARGO 1 TON 4X4 M601","Land Vehicles",2076753.11505607,0,135,114,NA
"CARGO 1/2 TON 4X2","Land Vehicles",775630.571060198,0,155,114,NA
"CARGO 1/2 TON 4X2 PICKUP","Land Vehicles",1146805.71389805,0,148,114,NA
"CARGO 16 TON 4X4 XM437(GO","Land Vehicles",7621645.6339861,0,98,114,NA
"CARGO 3/4 TON 4X4","Land Vehicles",333624.629930842,0,170,114,NA
"CARGO 3/4 TON M101","Land Vehicles",5164139.38233332,0,108,114,NA
"CARGO 5 TON M54A2C","Land Vehicles",19446670.7848862,0,74,114,NA
"CARGO 5 TON(TRUCK)","Land Vehicles",12652503.1481605,0,86,114,NA
"CARGO 8 TON 4X4 XM520(GOE","Land Vehicles",-520733.270435512,0,208,114,NA
"CARGO SHIP ATTACK-AKA","Ships & Submarines",8765861.86574374,0,137,131,NA
"CARGO SHIP LIGHT-AKL","Ships & Submarines",3947667.16746444,0,156,131,NA
"CARGO SHIP LKA117","Ships & Submarines",16132361.0854274,0,124,131,NA
"CARGO SHIP-AK","Facilities and Construction",1780736683.52979,0,13,78,NA
"CARGO UTILITY 1/2 TON 4X2","Land Vehicles",431792.898861028,0,166,114,NA
"CARRIER ACFT NUCLEAR-CVAN","Ships & Submarines",10431615816.9092,0,13,131,NA
"CARRIER AIRCRAFT-CVA-59","Ships & Submarines",138716634.810433,0,67,131,NA
"CARRIER AIRCRAFT-CVA-63","Ships & Submarines",651086495.759817,0,35,131,NA
"CARRIER AIRCRAFT-CVA-67","Ships & Submarines",6750917.66279219,0,139,131,NA
"CARRIER AIRCRAFT-CVAN-68","Ships & Submarines",67216101.7506171,0,87,131,NA
"CARRIER ANTI-SUB SUPT-CVS","Ships & Submarines",756048.631613369,0,180,131,NA
"CARRIER ATTACK-CVA-19","Ships & Submarines",992164.127605119,0,174,131,NA
"CARRIER ATTACK-CVA-41","Ships & Submarines",47237141.7524101,0,95,131,NA
"CARRIER CARGO M548","Land Vehicles",1340114.19204591,0,144,114,NA
"CARRIER CVV","Ships & Submarines",134229105.338423,0,69,131,NA
"CARRIER GM901 ITV","Land Vehicles",9783821.29252764,0,93,114,NA
"CARRIER M113 MODS","Land Vehicles",1216161725.71288,0,19,114,NA
"CARRIER M113-TOW","Land Vehicles",2837283.23829086,0,127,114,NA
"CARRIER VULCAN SP XM-741","Land Vehicles",637281.786947728,0,157,114,NA
"CAS","Facilities and Construction",2732769.27990269,0,62,78,NA
"CASS","Electronics, Comms, & Sensors",700884280.122212,0,42,376.5,NA
"CAUSEWAY FERRIES","Ships & Submarines",316089.7031641,0,193,131,NA
"CAVALRY FIGHTING VEHICLE","Ordnance and Missiles",112592362.146328,0,99,185,NA
"CBDP","Electronics, Comms, & Sensors",6686266.55465736,53490132.4372589,371,42,NA
"CBDP","Facilities and Construction",31307009.8373686,0,36,78,NA
"CBDP","Land Vehicles",134204.064028127,0,182,114,NA
"CBDP","Ordnance and Missiles",886612.892245937,0,247,185,NA
"CBDP","Other Products",707591.900978231,0,27,31.5,NA
"CBDP","Other R&D and Knowledge Based",2862505.56372402,0,58,63,NA
"CBDP","Other Services",88711634.4861692,0,7,23,"CBDP"
"CBT FEEDING CLOTHING & EQ","Other Products",4039991.09196577,0,21,31.5,NA
"CBU-3 DISPENSER + BOMB","Land Vehicles",1304974.09433555,0,145,114,NA
"CBU-7 DISPENSER + BOMB","Land Vehicles",394927.570916049,0,167,114,NA
"CBU-89 TMD/GATOR","Ordnance and Missiles",578881.209114457,0,255,185,NA
"CCIC2S","Electronics, Comms, & Sensors",144366938.662621,0,127,376.5,NA
"CCPDS - REPLACE PROG/NORA","Electronics, Comms, & Sensors",377673696.523215,0,71,376.5,NA
"CDL","Electronics, Comms, & Sensors",2623285.07822021,0,448,376.5,NA
"CDL","Other R&D and Knowledge Based",64322.010029528,0,95,63,NA
"CDMS","Electronics, Comms, & Sensors",1556373.5154502,0,488,376.5,NA
"CEC","Electronics, Comms, & Sensors",2668854679.42263,61383657626.7204,11,4,"CEC"
"CG(X)","Ships & Submarines",1603638.93907658,0,169,131,NA
"CG-47","Ships & Submarines",23681703.823962,47363407.647924,111,15,NA
"CG-47 AEGIS","Missile Defense",8055190048.42798,0,11,48.5,NA
"CGM/HGM-16 ATLAS","Ordnance and Missiles",241820409.873993,0,78,185,NA
"CGN-38","Aircraft",1412545.97276605,0,361,273.5,NA
"CGS","Electronics, Comms, & Sensors",598672139.210169,0,50,376.5,NA
"CH-34 CHOCTAW","Aircraft",1716.14660330376,0,448,273.5,NA
"CH-46 SEA KNIGHT","Aircraft",72723697.7587408,0,226,273.5,NA
"CH-47 CHINOOK","Aircraft",8271243969.16916,0,39,273.5,NA
"CH-47D","Aircraft",9483595542.54153,474179777127.076,29,18,NA
"CH-47F","Aircraft",12459933284.3802,398717865100.168,23,22,NA
"CH-47F BLOCK II","Aircraft",1852240675.62767,420458633367.481,94,20,NA
"CH-53 SEA STALLION","Aircraft",5520796834.81483,0,51,273.5,NA
"CH-54 TARHE","Aircraft",45509017.0107168,0,247,273.5,NA
"CHAALS","Electronics, Comms, & Sensors",14170535.5406439,0,316,376.5,NA
"CHAFF DECOY WARHEADS","Missile Defense",13569450.197467,0,54,48.5,NA
"CHASSIS CARRIER XM-730","Land Vehicles",540278.268602923,0,160,114,NA
"CHCS II","Electronics, Comms, & Sensors",18648757.8507884,0,295,376.5,NA
"CHCS II","Facilities and Construction",4892789.55551515,0,53,78,NA
"CHCS II","Ordnance and Missiles",9535714.04228903,0,169,185,NA
"CHCS II","Other Products",196120.294453382,0,40,31.5,NA
"CHEM AGENT DETECTOR NETWO","Facilities and Construction",23179672.4997962,0,38,78,NA
"CHEM DEMIL-ACWA","Facilities and Construction",9412190893.1303,122358481610.694,3,7,"CHEM DEMIL-ACWA"
"CHEM DEMIL-CMA","Facilities and Construction",254207152.204223,508414304.408447,20,9,NA
"CHEYENNE","Aircraft",3341266.66607624,0,332,273.5,NA
"CHEYENNE MOUNTAIN UPGRADE","Electronics, Comms, & Sensors",225563162.239379,0,100,376.5,NA
"CHI BOAT","Ships & Submarines",79568732.26799,0,84,131,NA
"CIRCM","Aircraft",187656380.79061,750625523.162441,192,68,NA
"CIRCM","Electronics, Comms, & Sensors",277911151.137263,1111644604.54905,88,24,NA
"CIRCM","Ordnance and Missiles",4267344.03523595,4267344.03523595,192,38,NA
"CIS (MK XV IFF)","Electronics, Comms, & Sensors",11245.7609356412,0,660,376.5,NA
"CITS","Electronics, Comms, & Sensors",129965512.236312,0,133,376.5,NA
"CITS","Other R&D and Knowledge Based",988882.620756884,0,74,63,NA
"CLEANER RUNWAY/STREET","Facilities and Construction",10573313.5447885,0,45,78,NA
