"Project.Name","PlatformPortfolio","agg_val","agg_val_recent","TopProjectTest_rank_total","TopProjectTest_rank_recent","TopProjectTest"
"COBRA DANE","Missile Defense",118878693.265524,0,37,46,NA
"TRAILERS","Land Vehicles",118757730.984591,0,49,110,NA
"443","Other R&D and Knowledge Based",118755916.907174,-99125.2551962676,13,104,NA
"NAS","Electronics, Comms, & Sensors",118737395.291848,0,142,361,NA
"SHIP STORE COMBAT-AFS","Ships & Submarines",118059424.329182,0,71,128.5,NA
"BSR","Aircraft",117895848.724278,0,206,252.5,NA
"TRUCKS 10T","Land Vehicles",117593122.802143,0,50,110,NA
"H-57 SEARANGER","Aircraft",117484485.040334,0,207,252.5,NA
"NAVY ERP","Other R&D and Knowledge Based",116672086.441369,-61873.3404796422,14,102,NA
"MINE CTMS SUPPORT SHIP-MC","Electronics, Comms, & Sensors",116198960.837079,0,143,361,NA
"GEODSS","Space Systems",116151125.039125,0,32,34,NA
"BQM-74E SSAT","Missile Defense",115876558.332461,0,38,46,NA
"30MM AMMUNITION ALL TYPES","Ordnance and Missiles",114015118.415252,0,97,177.5,NA
"AN/ALQ-165 (V) (ASPJ)","Electronics, Comms, & Sensors",113996717.170396,0,144,361,NA
"SIMULATORS, ALL TYPES","Ordnance and Missiles",113822635.519527,0,98,177.5,NA
"CAVALRY FIGHTING VEHICLE","Ordnance and Missiles",112592362.146328,0,99,177.5,NA
"DESTROYER DD-997 CLASS","Ships & Submarines",112326212.591543,0,72,128.5,NA
"BRLNT ANTI-ARMOR SUBMUNIT","Ordnance and Missiles",112299795.696596,0,100,177.5,NA
"2500 LM GAS TURBINE","Ships & Submarines",111998839.210978,0,73,128.5,NA
"APC","Aircraft",111756349.097574,0,208,252.5,NA
"AN/SQQ-16 MINE SONAR","Electronics, Comms, & Sensors",111385267.008354,0,145,361,NA
"FORK LIFT 50000 LB","Land Vehicles",111344825.527748,0,51,110,NA
"TRUCKS 2 1/2T","Land Vehicles",111326918.207091,0,52,110,NA
"GUIDED MSL LAUNCH MK-26","Ordnance and Missiles",111069678.321521,0,101,177.5,NA
"LAND WARRIOR","Electronics, Comms, & Sensors",110909257.974338,0,146,361,NA
"AN/SLR-24 SONAR","Ships & Submarines",110680107.913472,0,74,128.5,NA
"SOLDIER ENHANCEMENT","Other Products",110117869.215914,0,3,31.5,"SOLDIER ENHANCEMENT"
"RPV (AQUILA)","Aircraft",109176406.48037,0,209,252.5,NA
"TRACKWOLF HF SYSTEM","Other Products",108935626.060371,0,4,31.5,"TRACKWOLF HF SYSTEM"
"MASK, PROTECTIVE NBC ALL","Facilities and Construction",108349859.432984,0,23,77,NA
"QM-107 GD MSL TGT SYS","Ordnance and Missiles",108097085.494801,0,102,177.5,NA
"TRUCKS <1T","Land Vehicles",107561406.536165,0,53,110,NA
"AN/TYQ-1 TACC","Electronics, Comms, & Sensors",107287137.543308,0,147,361,NA
"SURTASS (T-AGOS)","Electronics, Comms, & Sensors",107008646.054359,-730286.191238317,148,689,NA
"MAVERICK (IR)","Ordnance and Missiles",106067425.653691,0,103,177.5,NA
"GF-4473 SDC ARRAY MULTIP","Electronics, Comms, & Sensors",105973921.154173,0,149,361,NA
"MP RTIP","Electronics, Comms, & Sensors",105177027.589917,0,150,361,NA
"40MM AMMUNITION ALL TYPES","Ordnance and Missiles",105160343.728775,0,104,177.5,NA
"M871 22.5 TON","Land Vehicles",104830671.484812,0,54,110,NA
"TDC","Electronics, Comms, & Sensors",104700484.826453,0,151,361,NA
"AN/TTC-39(Z) SYSTEM","Electronics, Comms, & Sensors",104175136.179194,0,152,361,NA
"GCA","Electronics, Comms, & Sensors",103806954.523298,0,153,361,NA
"AN/BQR-15 TOWED ARRAY","Electronics, Comms, & Sensors",103507891.180952,0,154,361,NA
"442","Other R&D and Knowledge Based",103299398.32723,40978163.5340025,15,7,"442"
"CV HELO (SH-60F)","Aircraft",103025085.25349,0,210,252.5,NA
"TOMAHAWK","Ordnance and Missiles",102312680.612365,0,105,177.5,NA
"JCALS","Electronics, Comms, & Sensors",100868137.579892,0,155,361,NA
"QH-50","Aircraft",100678274.784169,0,211,252.5,NA
"GCSS-MC","Electronics, Comms, & Sensors",99925723.7864516,3150097.92490585,156,24,NA
"ABMS","Other R&D and Knowledge Based",99863611.2091261,68833687.4084085,16,6,"ABMS"
"JSOW-AGM-154","Ordnance and Missiles",99678969.5440762,0,106,177.5,NA
"FRIGATE FF-1049","Ships & Submarines",99564386.2716631,0,75,128.5,NA
"ABH","Aircraft",99364323.740314,0,212,252.5,NA
"JMPS","Electronics, Comms, & Sensors",99334201.7707115,-764630.071506579,157,690,NA
"MOTIF","Electronics, Comms, & Sensors",99032246.6888345,0,158,361,NA
"COMMAND SHIP-CC","Ships & Submarines",98900496.4803525,0,76,128.5,NA
"TUG HARBOR LGE YTB","Ships & Submarines",98156317.503094,0,77,128.5,NA
"BSM ENERGY","Aircraft",97534696.2090259,0,213,252.5,NA
"BAT FLD CMBT ID SYS - NEA","Electronics, Comms, & Sensors",96732391.3586363,0,159,361,NA
"HELICOPTER NEW TRAINING","Aircraft",95992483.3160381,0,214,252.5,NA
"AN/SWG-1A HSCLLS","Missile Defense",95969447.4223853,0,39,46,NA
"DLS","Electronics, Comms, & Sensors",95876846.322891,0,160,361,NA
"OV-10 COIN (NOW BRONCO)","Aircraft",95647755.5447658,0,215,252.5,NA
"AN/USM-410 TEST STATION","Electronics, Comms, & Sensors",95051437.0335367,0,161,361,NA
"AN/WSN-2","Ships & Submarines",94083380.942866,0,78,128.5,NA
"AN/ARC-51 RADIO","Electronics, Comms, & Sensors",93934645.2471121,0,162,361,NA
"GBR - GROUND BASED RADAR","Missile Defense",93930630.6707699,0,40,46,NA
"RCAS","Other R&D and Knowledge Based",92478388.9476837,0,17,59.5,NA
"AN/APN-194","Electronics, Comms, & Sensors",92282111.3830005,0,163,361,NA
"CNZ","Electronics, Comms, & Sensors",91814949.9622591,0,164,361,NA
"SHELTER SYSTEM M51 CB","Facilities and Construction",91708153.7991608,0,24,77,NA
"AN/SQQ-89","Electronics, Comms, & Sensors",91356688.850673,0,165,361,NA
"UAV HUNTER (SHORT RANGE U","Aircraft",91236935.2328192,0,216,252.5,NA
"TRACTOR 32,000 GVW","Facilities and Construction",89988981.5894687,0,25,77,NA
"SURVEYING SHIP MEDIUM-AGS","Ships & Submarines",89811599.6557522,0,79,128.5,NA
"PRP BRTNG & MESSNG BRG YR","Ships & Submarines",89798440.5158637,0,80,128.5,NA
"B-52 OAS/CMI MODS","Aircraft",89532860.4188273,0,217,252.5,NA
"TYPE 18 PERISCOPE","Ships & Submarines",88842826.3370585,0,81,128.5,NA
"CBDP","Other Services",88711634.4861692,0,7,20,"CBDP"
"F-117 STEALTH","Aircraft",88405797.0626073,0,218,252.5,NA
"OU/BQH-5 SIGNAL CONVERTER","Electronics, Comms, & Sensors",88318861.2822924,0,166,361,NA
"C-47 SKYTRAIN","Aircraft",87713023.5623563,0,219,252.5,NA
"ABMS","Electronics, Comms, & Sensors",87435578.9569693,24577735.8956113,167,15,NA
"GRU","Electronics, Comms, & Sensors",86924346.1228294,0,168,361,NA
"AT NAV,INTEGR AND CRD ATN","Electronics, Comms, & Sensors",84870799.7726648,0,169,361,NA
"JTIDS (NAVY)","Electronics, Comms, & Sensors",84760867.9351825,13773.5192146866,170,40,NA
"DGTL TOPOGRAPHIC SPPT SYS","Electronics, Comms, & Sensors",84356645.3892501,0,171,361,NA
"MODERNIZATION","Aircraft",83794426.2110306,0,220,252.5,NA
"AIRBORNE RECON LOW (ARL)","Aircraft",83303962.1460483,0,221,252.5,NA
"B-52 RMP","Aircraft",83064573.0798285,24963232.3108846,222,38,NA
"MK 48 TORPEDO","Ordnance and Missiles",82020930.2051307,0,107,177.5,NA
"ATS","Electronics, Comms, & Sensors",81984939.4948301,0,172,361,NA
"U-6 BEAVER","Aircraft",81739396.125991,0,223,252.5,NA
"COBRA JUDY","Electronics, Comms, & Sensors",81444899.0357829,0,173,361,NA
"AN/APN-169 STATION KEEPIN","Electronics, Comms, & Sensors",80953543.6377792,0,174,361,NA
"M89","Electronics, Comms, & Sensors",80936472.6488041,-192318.694533411,175,685,NA
"AIG","Aircraft",79801242.7104295,0,224,252.5,NA
"ZUGM-73 POSEIDON","Ships & Submarines",79709766.4823839,0,82,128.5,NA
"Other UAS","Ships & Submarines",79603312.8970314,0,83,128.5,NA
"CHI BOAT","Ships & Submarines",79568732.26799,0,84,128.5,NA
"470","Space Systems",79375911.3711818,-251339.106933721,33,60,NA
"FORK LIFT 4000 LB GE PT","Land Vehicles",79246456.4208764,0,55,110,NA
"REPR & CABLE LAYING SHIP-","Ships & Submarines",78920749.3044187,0,85,128.5,NA
"SPS","Electronics, Comms, & Sensors",78911349.9532623,0,176,361,NA
"AN/SPG-55 RADAR ANTENNA","Missile Defense",78770963.8105604,0,41,46,NA
"SPARROW (AIM-7M) (N)","Ordnance and Missiles",77903770.7833807,0,108,177.5,NA
"SPACE SHUTTLE 64411F","Space Systems",77697526.8010772,0,34,34,NA
"BJM","Aircraft",76718438.5695117,0,225,252.5,NA
"OILER REPLENISHMENT-AOR","Ships & Submarines",76646283.6160029,0,86,128.5,NA
"SEA NYMPH PROGRAM","Electronics, Comms, & Sensors",76243948.2787136,0,177,361,NA
"AN/ALQ-133 QUICK LOOK","Electronics, Comms, & Sensors",75809152.6582758,0,178,361,NA
"Other UAS","Ordnance and Missiles",74914597.5892688,0,109,177.5,NA
"AN/USC-3 COMMUNICATIONS S","Electronics, Comms, & Sensors",74204665.1173309,0,179,361,NA
"WWMCCS (DSP) 12431F","Electronics, Comms, & Sensors",73962019.9905937,0,180,361,NA
"Massive Ordnance Penetrator (MOP)","Ordnance and Missiles",73343561.4145004,20668683.0733805,110,16,NA
"AN/SPA 25","Electronics, Comms, & Sensors",72804016.9888312,0,181,361,NA
"CH-46 SEA KNIGHT","Aircraft",72723697.7587408,0,226,252.5,NA
"PALLETIZED LOADING SYSTEM","Land Vehicles",72115772.0477118,0,56,110,NA
"AN/FQQ-1/2/3/9 CAESAR/SOS","Electronics, Comms, & Sensors",70723930.3107076,0,182,361,NA
"SCOUT ASH","Aircraft",70665148.3052486,0,227,252.5,NA
"QCK RESP MULTI-CLR PTR QR","Electronics, Comms, & Sensors",70517818.5739858,0,183,361,NA
"MQ-9 Reaper","Ordnance and Missiles",70259203.1678812,2187624.58332069,111,24,NA
"ARN-118 TACAN","Electronics, Comms, & Sensors",69770629.3153803,0,184,361,NA
"GHT","Electronics, Comms, & Sensors",69176696.8288211,0,185,361,NA
"DIMHRS","Other R&D and Knowledge Based",68976682.3221714,0,18,59.5,NA
"WATER PURIFICATION ROWPU","Other Products",68419342.8148656,0,5,31.5,"WATER PURIFICATION ROWPU"
"CARRIER AIRCRAFT-CVAN-68","Ships & Submarines",67216101.7506171,0,87,128.5,NA
"586","Space Systems",67018137.8789467,0,35,34,NA
"DIMHRS","Electronics, Comms, & Sensors",66813937.8509659,0,186,361,NA
"TOW FLIGHTLINE","Aircraft",66731943.0447095,0,228,252.5,NA
"DESTROYER DD-993 CLASS","Ships & Submarines",66338086.7592567,0,88,128.5,NA
"FRIGATE DL","Electronics, Comms, & Sensors",64933820.352674,0,187,361,NA
"FORKLIFT 10,000 LB","Land Vehicles",64652159.0524541,0,57,110,NA
"LAMPS","Electronics, Comms, & Sensors",64477023.8757902,0,188,361,NA
"AN/SQR-19 SONAR","Electronics, Comms, & Sensors",64300111.4889638,0,189,361,NA
"AN/ARC-186 RADIO","Electronics, Comms, & Sensors",63923371.4371957,0,190,361,NA
"479","Aircraft",63363424.3349568,3803604.84879555,229,46,NA
"GHY","Aircraft",63333445.3468008,0,230,252.5,NA
"AN/SYR-1 TRACKING SET","Electronics, Comms, & Sensors",63216502.1195869,0,191,361,NA
"DJN","Other Services",63013230.4207465,0,8,20,NA
"20MM AMMUNITION ALL TYPES","Ordnance and Missiles",62811286.721271,0,112,177.5,NA
"TRANSPORT-AP","Ships & Submarines",62757423.2586487,0,89,128.5,NA
"OCX","Electronics, Comms, & Sensors",62737071.8893735,18495786.4541218,192,17,NA
"C-124 GLOBEMASTER","Aircraft",62664247.139016,0,231,252.5,NA
"MAVERICK (TV)","Ordnance and Missiles",62053013.13884,0,113,177.5,NA
"M60 TANK","Other Products",62039686.5464908,0,6,31.5,"M60 TANK"
"J-58","Aircraft",61536648.2766613,0,232,252.5,NA
"AFN","Electronics, Comms, & Sensors",61410918.1438489,0,193,361,NA
"J-79","Aircraft",61251347.5540519,0,233,252.5,NA
"TUG OCEAN FLEET-ATF","Ships & Submarines",61246091.1602751,0,90,128.5,NA
"5-INCH GUIDED PROJ","Ordnance and Missiles",61059272.8475057,0,114,177.5,NA
"GCH","Electronics, Comms, & Sensors",60528842.4548676,0,194,361,NA
"GUARDRAIL COMMON SENSOR","Electronics, Comms, & Sensors",60053823.3327103,0,195,361,NA
"AN/TSW-7 AIR CENTR CNTRL","Electronics, Comms, & Sensors",59927357.4986786,0,196,361,NA
"HUSH HOUSE","Facilities and Construction",59772605.8796545,0,26,77,NA
"AFV","Aircraft",59621967.3468966,0,234,252.5,NA
"SIGHT THERMAL NIGHT AN/TA","Electronics, Comms, & Sensors",59491275.5965997,0,197,361,NA
"MQM-36 TARGET DRONE","Electronics, Comms, & Sensors",59372928.10081,0,198,361,NA
"DJN","Ordnance and Missiles",59111785.0717123,0,115,177.5,NA
"COLL PROT EQUIP, TEMPER T","Facilities and Construction",59021041.6901622,0,27,77,NA
"F-103","Aircraft",58840865.2847961,0,235,252.5,NA
"MK-56 MOD 2 ROCKET MTR","Missile Defense",58627325.2605636,0,42,46,NA
"F-12","Aircraft",58172008.7786527,0,236,252.5,NA
"25MM M242 AUTOMATIC GUN","Ordnance and Missiles",57963198.5261641,0,116,177.5,NA
"CMU","Other R&D and Knowledge Based",57931022.2599295,0,19,59.5,NA
"PRV","Electronics, Comms, & Sensors",57671633.3788033,0,199,361,NA
"MASK PROTECTIVE FIELD ABC","Facilities and Construction",57561817.0950119,0,28,77,NA
"COMBAT SUPPORT TRAINING S","Electronics, Comms, & Sensors",57043589.8393444,0,200,361,NA
"T-44","Aircraft",56613201.3343273,0,237,252.5,NA
"CMND SHIP TACTICAL FLEET-","Ships & Submarines",56311760.8767149,0,91,128.5,NA
"F-104 STARFIGHTER","Aircraft",56262154.3655664,0,238,252.5,NA
"487L SLFCS","Electronics, Comms, & Sensors",56157396.2229669,0,201,361,NA
"AN/AFQ-137","Electronics, Comms, & Sensors",55899929.8926257,0,202,361,NA
"LOADER A/C 25K","Facilities and Construction",55550205.7965502,0,29,77,NA
"TENDER DESTROYER-AD","Ships & Submarines",55383763.3148557,0,92,128.5,NA
"Mk21A Reentry Vehicle","Space Systems",54959927.0160383,0,36,34,NA
"F-6 SKYRAY","Aircraft",54672195.0501176,0,239,252.5,NA
"NCES","Electronics, Comms, & Sensors",54568982.4421021,4246535.95856278,203,22,NA
"SPS","Other R&D and Knowledge Based",54504626.8120157,0,20,59.5,NA
"OV-1 MOHAWK","Aircraft",54458806.4723908,0,240,252.5,NA
"OTHR (OVER THE HORIZON RA","Electronics, Comms, & Sensors",54356236.8195945,0,204,361,NA
"TENDER SUBMARINE (FBM)-AS","Ships & Submarines",54228814.2217364,0,93,128.5,NA
"TEST EQUIPMENT MOD TEMOD","Electronics, Comms, & Sensors",53919137.4869813,0,205,361,NA
"STATUS OF FORCES AGREEMENT","Electronics, Comms, & Sensors",53790700.7609784,2061722.06392953,206,27,NA
"AN/WLR-9","Electronics, Comms, & Sensors",53486670.8998953,0,207,361,NA
"MK44 TORPEDO","Ordnance and Missiles",53391033.5235761,0,117,177.5,NA
"AN/UYK-7 COMPUTER SYS","Ships & Submarines",53309449.1836019,0,94,128.5,NA
"AN/ALQ-155","Electronics, Comms, & Sensors",51958125.5960598,0,208,361,NA
"AVK","Aircraft",51650801.4031168,0,241,252.5,NA
"INTGR FAMILY OF TEST EQUI","Facilities and Construction",51351589.7079778,0,30,77,NA
"C-9 NIGHTINGALE","Aircraft",50446552.7556365,0,242,252.5,NA
"FWD AREA REFUELING SYS AD","Facilities and Construction",50438538.1058257,0,31,77,NA
"AN/UGC-129","Electronics, Comms, & Sensors",50386957.603319,0,209,361,NA
"AHK","Aircraft",49872430.9637972,0,243,252.5,NA
"MK75 76MM GUN MOUNT","Ordnance and Missiles",49775552.3106137,0,118,177.5,NA
"BIOMETRICS","Other R&D and Knowledge Based",49540291.9354262,22133140.8016361,21,10,NA
"H-13 SIOUX","Aircraft",49445821.3300611,0,244,252.5,NA
"ZRGM-59","Ordnance and Missiles",49271435.8973512,0,119,177.5,NA
"NOE COMM EQUIP","Electronics, Comms, & Sensors",49231077.4880219,0,210,361,NA
"RQ-7 Shadow","Other Services",49102064.0058973,0,9,20,NA
"AIR TRAFFIC CNTL COMM CON","Ordnance and Missiles",49001831.8253807,0,120,177.5,NA
"AUJ","Other R&D and Knowledge Based",48463077.4736966,0,22,59.5,NA
"M-77 DRAGON","Missile Defense",48025719.8246016,0,43,46,NA
"AN/FPQ-16","Facilities and Construction",47778988.9187301,0,32,77,NA
"E-10","Aircraft",47413773.1289401,0,245,252.5,NA
"TC-4 ACADEME","Aircraft",47255093.157085,0,246,252.5,NA
"CARRIER ATTACK-CVA-41","Ships & Submarines",47237141.7524101,0,95,128.5,NA
"Joint Operational Medicine Information Systems (OMIS)","Other R&D and Knowledge Based",46839784.4014859,2095567.75186657,23,12,NA
"CNT","Space Systems",46717050.7167555,0,37,34,NA
"MQ-1C Gray Eagle","Other Services",46702987.6194128,46702987.6194128,10,2,"MQ-1C Gray Eagle"
"F-1 FURY","Electronics, Comms, & Sensors",46640253.6213084,0,211,361,NA
"MPF","Ships & Submarines",46406899.6854838,32505.4487711557,96,17,NA
"FIRE SUPT TEAM VEH","Land Vehicles",46218264.2280712,0,58,110,NA
"AN/ALQ-122 ECM SYS","Electronics, Comms, & Sensors",45669238.588426,0,212,361,NA
"CH-54 TARHE","Aircraft",45509017.0107168,0,247,252.5,NA
"AIRCRAFT CARRIER -CVAN-69","Ships & Submarines",45428071.5758612,0,97,128.5,NA
"SGL CHAN ANTI-JAM MANPORT","Electronics, Comms, & Sensors",45345825.1773686,0,213,361,NA
"SLJ","Ships & Submarines",45209778.1993424,0,98,128.5,NA
"AN/TTC-38 CENT OFF TEL","Electronics, Comms, & Sensors",45153159.129186,0,214,361,NA
"M109 155MM SP HOWITZER","Land Vehicles",45014154.5606752,0,59,110,NA
"CONDOR","Electronics, Comms, & Sensors",44740313.0668453,0,215,361,NA
"Department of Defense Healthcare Management System Modernization (DHMSM)","Other R&D and Knowledge Based",44573725.588998,343187.442571527,24,15,NA
"AN/GRC-171","Electronics, Comms, & Sensors",44097212.215626,0,216,361,NA
"TOW FLIGHTLINE","Land Vehicles",43590382.5137282,0,60,110,NA
"WAREHOUSING SYSTEM AUTOMA","Facilities and Construction",43374418.2479337,0,33,77,NA
"ZBL","Ships & Submarines",43234257.9382712,0,99,128.5,NA
"AN/SPS 40","Electronics, Comms, & Sensors",43164694.6710931,0,217,361,NA
"AN/TPS-71 ROHR","Missile Defense",43092446.80958,0,44,46,NA
"AN/TYQ-3 TDC","Electronics, Comms, & Sensors",42917983.7363444,0,218,361,NA
"AN/GSG-10 (TACFIRE)","Electronics, Comms, & Sensors",42476195.874395,0,219,361,NA
"UH-3H","Aircraft",42369639.8719857,0,248,252.5,NA
"MQ-1C Gray Eagle","Electronics, Comms, & Sensors",42254180.7266487,0,220,361,NA
"IMPRVD CHEMICAL AGENT MON","Facilities and Construction",41467942.1130268,0,34,77,NA
"T-55","Aircraft",41462348.6928552,0,249,252.5,NA
"MK149 PHALANX","Ordnance and Missiles",41137767.3066145,0,121,177.5,NA
"INLAND PETROLEUM DIST SYS","Facilities and Construction",41106547.8121972,0,35,77,NA
"ADM-20 QUAIL","Ordnance and Missiles",41033717.1132039,0,122,177.5,NA
"60MM HE M49A2","Electronics, Comms, & Sensors",40932250.9439605,0,221,361,NA
"C-7 CARIBOU","Aircraft",40856944.0354773,0,250,252.5,NA
"M-81 FIRE CONTROL SYSTEM","Electronics, Comms, & Sensors",40319165.2961254,0,222,361,NA
"PATROL GUNBOAT HYDROFOIL-","Ships & Submarines",40185257.862808,0,100,128.5,NA
"MK45 TORPEDO (ASTOR)","Ordnance and Missiles",40138169.8920919,0,123,177.5,NA
"AH-1J IRANIAN","Aircraft",39908295.1129301,0,251,252.5,NA
"A/P22P-9(V) CBR","Aircraft",39886511.4524848,0,252,252.5,NA
"KMI","Electronics, Comms, & Sensors",39751128.7220394,272710.758297954,223,33,NA
"C9B COMMERCIAL ACFT","Electronics, Comms, & Sensors",39548721.3906697,0,224,361,NA
"XM23 RANGE FINDER LASER","Electronics, Comms, & Sensors",39429838.3287595,0,225,361,NA
"AN/ALQ-136 COUNTERMEASURE","Electronics, Comms, & Sensors",39040763.5781749,0,226,361,NA
"C-46 COMMANDO","Aircraft",38596336.9821793,0,253,252.5,NA
"7.62MM ALL TY EXCEPT BLAN","Ordnance and Missiles",38456424.1967844,0,124,177.5,NA
"30 CAL M1909 BLANK","Ordnance and Missiles",38382666.9126611,0,125,177.5,NA
"A-1 SKYRAIDER","Aircraft",38220807.4303879,0,254,252.5,NA
"GHR","Electronics, Comms, & Sensors",38108097.2403101,0,227,361,NA
"M872 34 TON","Land Vehicles",37992262.9634767,0,61,110,NA
"DCAPES","Electronics, Comms, & Sensors",37859905.8313201,0,228,361,NA
"PROPHET SYSTEM","Electronics, Comms, & Sensors",37711506.8010724,0,229,361,NA
"STATUS OF FORCES AGREEMENT","Ordnance and Missiles",37627197.9550549,3599608.3590352,126,23,NA
"ADM-141C ITALD","Ordnance and Missiles",37214855.6044113,0,127,177.5,NA
"JOINT TACTCL INF DSPLY SY","Electronics, Comms, & Sensors",37044917.4917982,0,230,361,NA
"NMD","Missile Defense",36682182.0078787,0,45,46,NA
"WLR 14 SEASCOUT SYSTEM MI","Ordnance and Missiles",36534122.6970219,0,128,177.5,NA
"S-2 TRACKER","Aircraft",36526575.1729036,0,255,252.5,NA
"F-100 SUPER SABRE","Aircraft",36510613.4746268,0,256,252.5,NA
"N40","Electronics, Comms, & Sensors",36353656.2084714,0,231,361,NA
"GCSS DOD","Electronics, Comms, & Sensors",36330880.3527315,0,232,361,NA
"GCSS-AT","Electronics, Comms, & Sensors",36269196.6307673,0,233,361,NA
"DUMP 5 TON M51A2","Land Vehicles",36248902.8148377,0,62,110,NA
"AN/TPX-46 (MARK XIFF)","Electronics, Comms, & Sensors",36111555.1975519,0,234,361,NA
"M198 155MM TOWED HOW","Ordnance and Missiles",35997971.4635897,0,129,177.5,NA
"MQ-9 Reaper","Other R&D and Knowledge Based",35741204.3806537,2352532.25729666,25,11,NA
"440L FWD SCATTER OTH RAD","Electronics, Comms, & Sensors",35678888.6809813,0,235,361,NA
"AHJ","Electronics, Comms, & Sensors",35545795.1151034,0,236,361,NA
"AN/TPX-42V","Electronics, Comms, & Sensors",35342360.134977,0,237,361,NA
"AN/ARC-159","Electronics, Comms, & Sensors",34756830.3718551,0,238,361,NA
"522","Electronics, Comms, & Sensors",34229410.114632,14845390.7978441,239,18,NA
"AN/ARC-164 (V)","Electronics, Comms, & Sensors",34132117.197616,0,240,361,NA
"AN/PVS-5 SIGHT","Electronics, Comms, & Sensors",34075851.5359436,0,241,361,NA
"81MM M29 ON MOUNT M23","Ordnance and Missiles",33937214.650076,0,130,177.5,NA
"AIRCRAFT TOW MB-2","Land Vehicles",33927415.5392363,0,63,110,NA
"MINELAYER FLEET-MMF","Ships & Submarines",33048442.7290542,0,101,128.5,NA
"NGEN INC 1","Electronics, Comms, & Sensors",32964887.7717561,0,242,361,NA
"FIRE HIGH CAPACITY","Land Vehicles",32790547.7897518,0,64,110,NA
"AN/UGC-74","Electronics, Comms, & Sensors",32735473.5154826,0,243,361,NA
"AN/UYK-5 ADP SYSTEM","Electronics, Comms, & Sensors",32587317.1181107,0,244,361,NA
"AN/FPQ-16","Electronics, Comms, & Sensors",32147039.1824705,0,245,361,NA
"50CAL M2 MACHINE GUN","Ordnance and Missiles",32049120.4315277,0,131,177.5,NA
"GTP","Electronics, Comms, & Sensors",31734284.6504333,0,246,361,NA
"MSE","Land Vehicles",31730467.624802,0,65,110,NA
"CBDP","Facilities and Construction",31307009.8373686,0,36,77,NA
"1CMF","Space Systems",31109363.7988224,0,38,34,NA
"M483 155MM PROJECTILE","Ordnance and Missiles",30865140.7015471,0,132,177.5,NA
"MAVERICK (LASER)","Ordnance and Missiles",30849881.0196576,0,133,177.5,NA
"ACC","Other Services",30749483.815349,0,11,20,NA
"HELMET SYSTEM HGU-51/PCD","Electronics, Comms, & Sensors",30538674.2955125,0,247,361,NA
"45/69 KW 60 CYCLE DIESEL","Electronics, Comms, & Sensors",30502213.3160333,0,248,361,NA
"AIR CONDITIONER A3","Aircraft",30378711.7046787,0,257,252.5,NA
"PATROL BOAT RIVER PBR","Ships & Submarines",30362289.1938907,0,102,128.5,NA
"CNY","Space Systems",30037214.8605997,0,39,34,NA
"AMMUNITION BOX M2A1","Ordnance and Missiles",29941225.0197347,0,134,177.5,NA
"NPOESS","Space Systems",29532063.487762,0,40,34,NA
"5.56MM RIFLE M16","Other Products",29376535.2293259,0,7,31.5,"5.56MM RIFLE M16"
"AN/SQS-26 SONAR","Electronics, Comms, & Sensors",29291408.0610749,0,249,361,NA
"CORPS SAM","Missile Defense",29234771.0447225,0,46,46,NA
"AN/PRC-77 RADIO SET","Electronics, Comms, & Sensors",29171837.600007,0,250,361,NA
"IDHS INTELLIGENCE DATA HA","Electronics, Comms, & Sensors",28873303.2120676,0,251,361,NA
"AVIONICS","Electronics, Comms, & Sensors",28771823.5589944,0,252,361,NA
"AIR TRAFFIC CNTL COMM CON","Electronics, Comms, & Sensors",28632936.7910324,0,253,361,NA
"SIGHT THERMAL TANK AN/VSG","Ordnance and Missiles",28604861.4302448,0,135,177.5,NA
"SHIP STORE-AF","Ships & Submarines",28553416.5872905,0,103,128.5,NA
"THIRD GEN NV SYSTEM","Electronics, Comms, & Sensors",28388974.7471426,0,254,361,NA
"GIB","Electronics, Comms, & Sensors",28310450.8880452,0,255,361,NA
"REPAIR SHIP AIRCRAFT","Aircraft",28119368.6121409,0,258,252.5,NA
"RESCUE & SALVAGE SHIP","Ships & Submarines",28089274.6222068,0,104,128.5,NA
"TA-312/PT FIELD TELEPHONE","Electronics, Comms, & Sensors",27825520.5907619,0,256,361,NA
"ASF","Aircraft",27782016.0051338,0,259,252.5,NA
"TANK FUEL R-9 5000 GAL","Land Vehicles",27736016.2263177,0,66,110,NA
"AN/PRC-90 RADIO","Electronics, Comms, & Sensors",27469812.4582957,0,257,361,NA
"CNA","Other R&D and Knowledge Based",27364472.3696433,0,26,59.5,NA
"FIM-43 REDEYE","Missile Defense",27353604.065293,0,47,46,NA
"DEF SATELLITE COMMS SYS","Space Systems",27327918.5998551,0,41,34,NA
"GCCS-J","Electronics, Comms, & Sensors",27213946.8406047,0,258,361,NA
"CX-3","Aircraft",27050613.5940703,0,260,252.5,NA
"GNF","Electronics, Comms, & Sensors",27029796.7278252,0,259,361,NA
"HHD-60","Aircraft",26773504.1164695,0,261,252.5,NA
"HOSPITAL SHIP-AH","Ships & Submarines",26719865.0283701,0,105,128.5,NA
"SCH","Ships & Submarines",26621307.2482734,0,106,128.5,NA
"SHORTSTOP","Electronics, Comms, & Sensors",26577675.1250215,0,260,361,NA
"GTN","Electronics, Comms, & Sensors",26538315.050353,0,261,361,NA
"AN/ARA-63","Electronics, Comms, & Sensors",26481779.8983214,0,262,361,NA
