GlobalVendorName,Amount.max,X500million,StandardizedVendorName,parentid
"IRON BOW HOLDINGS, INC."," 159,240,567 ", N ,IRON BOW HOLDINGS,IRON BOW TECHNOLOGIES
NORTHERN AFGHANISTAN LOGISTIC SERVICES," 134,873,791 ", N ,NORTHERN AFGHANISTAN LOGISTIC SERVICES,
DENALI HOLDING INC," 130,705,030 ", N ,DENALI HOLDING,
CHENEGA CORPORATION," 171,344,897 ", N ,CHENEGA,CHENEGA
CAROTHERS CONSTRUCTION  INC.," 126,213,754 ", N ,CAROTHERS CONSTRUCTION,CAROTHERS CONSTRUCTION
UNITED EXCEL CORPORATION," 116,778,643 ", N ,UNITED EXCEL,
SWINERTON INCORPORATED," 111,407,214 ", N ,SWINERTON,
THE WEITZ COMPANY LLC," 109,427,527 ", N ,THE WEITZ COMPANY,
ASSIST CONSULTANTS INCORPORATED," 107,598,581 ", N ,ASSIST CONSULTANTS,
CCI SOLUTIONS  LLC," 105,898,671 ", N ,CCI SOLUTIONS,CCI
LEGO AFGHAN LOGISTICS," 104,529,103 ", N ,LEGO AFGHAN LOGISTICS,
OSI SYSTEMS  INC.," 102,625,096 ", N ,OSI SYSTEMS,OSI
BRASFIELD & GORRIE  L.L.C.," 102,516,665 ", N ,BRASFIELD & GORRIE,BRASFIELD & GORRIE
AVIATION & MISSILE SOLUTIONS  LLC," 101,528,015 ", N ,AVIATION & MISSILE SOLUTIONS,
PRIDE INDUSTRIES," 110,417,411 ", N ,PRIDE INDUSTRIES,PRIDE INDUSTRIES
OBAYASHI CORPORATION," 101,130,387 ", N ,OBAYASHI,
VECTRUS SYSTEMS CORPORATION," 923,378,255 ", Y ,VECTRUS SYSTEMS,VECTRUS
STEYR TRUCKS INTERNATIONAL FZE," 373,996,218 ", N ,STEYR TRUCKS INTERNATIONAL FZE,
"SK ENGINEERING & CONSTRUCTION CO., LTD."," 210,417,219 ", N ,SK ENGINEERING & CONSTRUCTION CO,SK GROUP
WALSH/GILBANE JV," 206,445,000 ", N ,WALSH/GILBANE JV,
J.E. DUNN CONSTRUCTION GROUP  INC," 191,660,958 ", N ,JE DUNN CONSTRUCTION GROUP,
THE CHEROKEE NATION," 187,121,442 ", N ,THE CHEROKEE NATION,CHEROKEE NATION BUSINESSES
ARMED FORCES SERVICES CORPORATION," 177,717,451 ", N ,ARMED FORCES SERVICES,
URS-MEGATECH JV," 110,320,261 ", N ,URS MEGATECH JV,
PATRIARCH PARTNERS  LLC," 101,876,667 ", N ,PATRIARCH PARTNERS,
AVON RUBBER P.L.C.," 93,829,830 ", N ,AVON RUBBER PLC,
DEFENSE ENGINEERING INC," 93,431,646 ", N ,DEFENSE ENGINEERING,
KIEWIT-TURNER A JOINT VENTURE," 572,934,475 ", Y ,KIEWIT TURNER A JOINT VENTURE,KIEWET-TURNER JV
"AMEC FOSTER WHEELER VENTURES, INC."," 266,434,125 ", N ,AMEC FOSTER WHEELER VENTURES,
AIRBUS SE," 160,178,576 ", N ,AIRBUS SE,
"HYUNDAI ENGINEERING & CONSTRUCTION  CO., LTD."," 157,656,067 ", N ,HYUNDAI ENGINEERING & CONSTRUCTION CO,HYUNDAI
SOS INTERNATIONAL LLC," 144,116,670 ", N ,SOS INTERNATIONAL,INTERNATIONAL SOS
TOWER INDUSTRIES  INC.," 125,515,272 ", N ,TOWER INDUSTRIES,
"NANA REGIONAL CORPORATION, INC."," 123,542,536 ", N ,NANA REGIONAL CORPORATION,NANA REGIONAL
KBR-TRIPLE CANOPY  LLC," 117,723,958 ", N ,KBR TRIPLE CANOPY,
CALIBRE SYSTEMS  INC.," 111,467,119 ", N ,CALIBRE SYSTEMS,CALIBRE SYSTEMS
CALISTA CORPORATION," 108,839,854 ", N ,CALISTA,CALISTA
BUNDESMINISTERIUM FUR UMWELT  NATURSCHUTZ UND REAKTORSICHERHEIT," 107,323,364 ", N ,BUNDESMINISTERIUM FUR UMWELT NATURSCHUTZ UND REAKTORSICHERHEIT,
BUKKEHAVE INTERNATIONAL A/S," 104,338,521 ", N ,BUKKEHAVE INTERNATIONAL A/S,
NATIONAL CENTER FOR MANUFACTURING SCIENCES  INC.," 94,793,654 ", N ,NATIONAL CENTER FOR MANUFACTURING SCIENCES,
ELLWOOD GROUP  INC.," 82,092,200 ", N ,ELLWOOD GROUP,
FEDERAL EXPRESS CHARTER PROGRAM TEAM ARRANGEMENT," 1,785,873,191 ", Y ,FEDERAL EXPRESS CHARTER PROGRAM TEAM ARRANGEMENT,FEDERAL EXPRESS
EVERGREEN INTERNATIONAL AIRLINES  INC.," 1,322,675,791 ", Y ,EVERGREEN INTERNATIONAL AIRLINES,EVERGREEN INTERNATIONAL
MASSACHUSETTS INSTITUTE OF TECHNOLOGY," 1,748,121,169 ", Y ,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MASSACHUSETTS INSTITUTE OF TECHNOLOGY
THE AEROSPACE CORPORATION," 886,148,713 ", Y ,THE AEROSPACE,THE AEROSPACE
DYNCORP TECHNICAL SERVICES INC," 405,635,195 ", N ,DYNCORP TECHNICAL SERVICES,VERITAS CAPITAL FUND
HAWKER BEECHCRAFT  INC.," 1,015,249,513 ", Y ,HAWKER BEECHCRAFT,HAWKER BEECHCRAFT
RQ CONSTRUCTION  LLC," 189,266,286 ", N ,RQ CONSTRUCTION,RQ CONSTRUCTION
AEROSPACE TESTING ALLIANCE," 546,629,951 ", Y ,AEROSPACE TESTING ALLIANCE,AEROSPACE TESTING ALLIANCE [Joint Venture - Jacobs Engineering & CSC &General Physics Corporation]
TOLTEST  INC.," 221,070,584 ", N ,TOLTEST,TOLTEST
INNOVATIVE TECHNICAL SOLUTIONS  INC.," 242,887,190 ", N ,INNOVATIVE TECHNICAL SOLUTIONS,Innovative Technical Solutions [Gilbane Building Company]
BERKSHIRE HATHAWAY INC.," 169,452,901 ", N ,BERKSHIRE HATHAWAY,BERKSHIRE HATHAWAY
INDYNE  INC.," 214,916,760 ", N ,INDYNE,INDYNE
MCDONNELL DOUGLAS CORP," 435,424,231 ", N ,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS [BOEING]
AMEC P L C," 149,579,225 ", N ,AMEC PLC,AMEC PLC
TYBRIN CORPORATION," 170,234,795 ", N ,TYBRIN,TYBRIN
SI INTERNATIONAL  INC.," 140,692,415 ", N ,SI INTERNATIONAL,SI INTERNATIONAL [SERCO GROUP PLC]
UNITED PARCEL SERVICE  INC.," 598,182,285 ", Y ,UNITED PARCEL SERVICE,UPS
MODERN TECHNOLOGIES CORPORATIO," 108,138,805 ", N ,MODERN TECHNOLOGIES,MODERN TECHNOLOGIES
CABINET OFFICE," 142,118,486 ", N ,CABINET OFFICE,
MEGGITT PLC," 95,987,865 ", N ,MEGGITT PLC,MEGGITT CORP USA
THE CENTECH GROUP INC," 119,013,981 ", N ,THE CENTECH GROUP,CENTECH GROUP
BALL CORPORATION," 155,028,295 ", N ,BALL,BALL CORP
COMPUTER SCIENCES RAYTHEON," 124,500,173 ", N ,COMPUTER SCIENCES RAYTHEON,
HOJGAARD HOLDING A/S," 81,387,351 ", N ,HOJGAARD HOLDING A/S,
APM  LLC," 73,382,810 ", N ,APM,
PUEBLO LAGUNA," 71,266,877 ", N ,PUEBLO LAGUNA,
LYNDEN INCORPORATED," 70,585,957 ", N ,LYNDEN,LYNDEN
SANMINA-SCI CORPORATION," 89,008,792 ", N ,SANMINA SCI,SANMINA
TYCO INTERNATIONAL LTD.," 121,628,259 ", N ,TYCO INTERNATIONAL,TYCO INTERNATIONAL
VERSAR INC.," 69,958,519 ", N ,VERSAR,VERSAR
APPLIED RESEARCH ASSOCIATES INC," 67,992,444 ", N ,APPLIED RESEARCH ASSOCIATES,APPLIED RESEARCH ASSOCIATES
CARNEGIE MELLON UNIVERSITY," 150,790,805 ", N ,CARNEGIE MELLON UNIVERSITY,CARNEGIE MELLON UNIVERSITY
TRW INC," 58,735,473 ", N ,TRW,TRW [NORTHROP GRUMMAN]
MTC TECHNOLOGIES  INC.," 57,573,910 ", N ,MTC TECHNOLOGIES,MTC TECHNOLOGIES
INTEGRAL SYSTEMS  INC.," 73,470,972 ", N ,INTEGRAL SYSTEMS,INTEGRAL SYSTEMS
GEORGIA TECH RESEARCH CORPORATION," 286,807,507 ", N ,GEORGIA TECH RESEARCH,
"G & S ASSOCIATES, INC"," 55,999,453 ", N ,G & S ASSOCIATES,
UNIVERSAL TECHNOLOGY CORPORATION," 67,287,476 ", N ,UNIVERSAL TECHNOLOGY,
M7 AEROSPACE LP," 54,778,319 ", N ,M7 AEROSPACE,
MACTEC  INC," 54,651,467 ", N ,MACTEC,MACTEC
MIAMI AIR INTERNATIONAL INC," 53,137,713 ", N ,MIAMI AIR INTERNATIONAL,
RS INFORMATION SYSTEMS INC," 52,607,063 ", N ,RS INFORMATION SYSTEMS,RS INFORMATION SYSTEMS
DSE  INC," 64,168,689 ", N ,DSE,DSE
MIDDLE EAST PROPULSION COMPANY LTD.," 50,433,336 ", N ,MIDDLE EAST PROPULSION COMPANY,
MACAULAY-BROWN  INC," 110,377,587 ", N ,MACAULAY BROWN,MACAULAY BROWN
SCITOR CORPORATION," 67,941,470 ", N ,SCITOR,
HMR TECH/HJ FORD SBA JV  LLC," 47,232,837 ", N ,HMR TECH/HJ FORD SBA JV,
ALENIA NORTH AMERICA  INC.," 287,000,000 ", N ,ALENIA NORTH AMERICA,ALENIA NORTH AMERICA
AMEC PLC," 167,520,612 ", N ,AMEC PLC,AMEC PLC
BERKSHIRE HATHAWAY  INC," 128,806,413 ", N ,BERKSHIRE HATHAWAY,BERKSHIRE HATHAWAY
DEFENSE FACILITIES ADMINISTRATION AGENCY," 175,885,503 ", N ,DEFENSE FACILITIES ADMINISTRATION AGENCY,
GREENLAND CONTRACTORS I/S," 246,341,311 ", N ,GREENLAND CONTRACTORS I/S,GREENLAND CONTRACTORS I/S
"SI INTERNATIONAL, INC"," 79,425,944 ", N ,SI INTERNATIONAL,SI INTERNATIONAL [SERCO GROUP PLC]
OMNICOM GROUP INC.," 87,310,610 ", N ,OMNICOM GROUP,OMNICOM
LAKESHORE ENGINEERING SERVICES  INC.," 268,204,435 ", N ,LAKESHORE ENGINEERING SERVICES,
P E SYSTEMS  INC.," 71,012,516 ", N ,PE SYSTEMS,PE SYSTEMS
SRI INTERNATIONAL," 62,924,257 ", N ,SRI INTERNATIONAL,SRI INTERNATIONAL
DSE  INC.," 83,087,566 ", N ,DSE,DSE
AL RAHA GROUP FOR TECHNICAL SERVICES (RGTS)," 191,844,144 ", N ,AL RAHA GROUP FOR TECHNICAL SERVICES,
INTELLIGENT SOFTWARE SOLUTIONS  INC.," 191,210,122 ", N ,INTELLIGENT SOFTWARE SOLUTIONS,INTELLIGENT SOFTWARE
GULFSTREAM DELAWARE CORP (DE)," 54,655,584 ", N ,GULFSTREAM DELAWARE,GULFSTREAM
HUNT BUILDING CORPORATION," 438,163,722 ", N ,HUNT BUILDING,HUNT COMPANIES
TECOLOTE RESEARCH  INC.," 80,124,455 ", N ,TECOLOTE RESEARCH,TECOLOTE RESEARCH
ANALYSIS GROUP  LLC  THE," 53,070,349 ", N ,ANALYSIS GROUP LLC,
IIT RESEARCH INSTITUTE," 126,178,135 ", N ,IIT RESEARCH INSTITUTE,
AMERICAN HOSPITAL SERVICE GROUP INC," 59,780,021 ", N ,AMERICAN HOSPITAL SERVICE GROUP,AMERICAN HOSPITAL SERVICE GROUP
COMPOSITE TECHNOLOGIES CO. LLC," 48,425,486 ", N ,COMPOSITE TECHNOLOGIES CO,COMPOSITE TECHNOLOGY
CARLYLE GROUP  L.P.," 52,732,562 ", N ,CARLYLE GROUP,CARLYLE GROUP
AAR CORP.," 474,498,359 ", N ,AAR,AAR
WYLE INFORMATION SYSTEMS  LLC," 47,388,055 ", N ,WYLE INFORMATION SYSTEMS,
ARCTIC SLOPE REGIONAL CORPORATION," 536,933,120 ", Y ,ARCTIC SLOPE REGIONAL,ARCTIC SLOPE REGIONAL
TW & COMPANY  INC.," 49,505,996 ", N ,TW & COMPANY,
LAKESHORE ENGINEERING SERVICES INC," 305,453,248 ", N ,LAKESHORE ENGINEERING SERVICES,
NISHIMATSU CONSTRUCTION CO.  LTD.," 274,793,075 ", N ,NISHIMATSU CONSTRUCTION CO,NISHIMATSU CONSTRUCTION
SI INTERNATIONAL ENGINEERING  INC," 212,354,720 ", N ,SI INTERNATIONAL ENGINEERING,SI INTERNATIONAL [SERCO GROUP PLC]
CH2M HILL COMPANIES LTD," 202,671,329 ", N ,CH2M HILL COMPANIES,CH2M HILL
GULFSTREAM AEROSPACE LP," 181,442,694 ", N ,GULFSTREAM AEROSPACE,GULFSTREAM HOLDINGS
UNITED LAUNCH SERVICES LLC," 155,334,060 ", N ,UNITED LAUNCH SERVICES,UNITED LAUNCH ALLIANCE
DEFENSE SUPPORT SERVICES  LLC," 154,232,542 ", N ,DEFENSE SUPPORT SERVICES,DEFENSE SUPPORT SERVICES
CDM/CAPE  A JOINT VENTURE," 143,146,304 ", N ,CDM/CAPE A JOINT VENTURE,
AECOM GOVERNMENT SERVICES INC," 119,076,493 ", N ,AECOM GOVERNMENT SERVICES,
CHUGACH MANAGEMENT SERVICES  JV," 80,780,513 ", N ,CHUGACH MANAGEMENT SERVICES JV,CHUGACH ALASKA
GSD & M IDEA CITY LLC," 75,828,249 ", N ,GSD & M IDEA CITY,
TECOLOTE RESEARCH  INC," 62,340,885 ", N ,TECOLOTE RESEARCH,TECOLOTE RESEARCH
QUANTECH SERVICES INC.," 66,598,497 ", N ,QUANTECH SERVICES,
ST. BERNARD LEVEE PARTNERS LLC," 280,484,885 ", N ,ST BERNARD LEVEE PARTNERS,ST BERNARD LEVEE PARTNERS
BATTLESPACE FLIGHT SERVICES  LLC," 102,993,945 ", N ,BATTLESPACE FLIGHT SERVICES,BATTLESPACE FLIGHT SERVICES
TW & COMPANY  INC," 55,250,611 ", N ,TW & COMPANY,
AL SALAM AIRCRAFT CO LTD," 55,773,936 ", N ,AL SALAM AIRCRAFT CO,
THE UNIVERSITY OF DAYTON," 51,091,872 ", N ,THE UNIVERSITY OF DAYTON,
OASIS SYSTEMS  INC.," 50,212,641 ", N ,OASIS SYSTEMS,
HAWKER BEECHCRAFT  INC," 535,356,459 ", Y ,HAWKER BEECHCRAFT,HAWKER BEECHCRAFT
SUMITOMO HEAVY INDUSTRIES  LTD.," 88,753,105 ", N ,SUMITOMO HEAVY INDUSTRIES,SUMITOMO HEAVY INDUSTRIES
AECOM GOVERNMENT SERVICES  INC.," 139,935,427 ", N ,AECOM GOVERNMENT SERVICES,
DEFENSE SUPPORT SERVICES LLC," 136,375,809 ", N ,DEFENSE SUPPORT SERVICES,DEFENSE SUPPORT SERVICES
MACAULAY-BROWN  INC.," 117,395,269 ", N ,MACAULAY BROWN,MACAULAY BROWN
URS BERGER  JOINT VENTURE," 133,217,833 ", N ,URS BERGER JOINT VENTURE,
MCDONNELL DOUGLAS CORPORATION," 82,209,396 ", N ,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS [BOEING]
TUTOR PERINI CORPORATION," 81,455,561 ", N ,TUTOR PERINI,TUTOR PERINI
LUKE & ASSOCIATES  INC.," 95,304,504 ", N ,LUKE & ASSOCIATES,LUKE & ASSOCIATES
COMPOSITE ENGINEERING INC," 71,110,670 ", N ,COMPOSITE ENGINEERING,KRATOS DEFENSE & SECURITY
SUPPLYCORE INC.," 270,684,108 ", N ,SUPPLYCORE,SUPPLYCORE
APPLIED RESEARCH ASSOCIATES  INC.," 55,725,953 ", N ,APPLIED RESEARCH ASSOCIATES,APPLIED RESEARCH ASSOCIATES
CITIGROUP INC.," 51,025,638 ", N ,CITIGROUP,
RLM SERVICES  INC," 49,799,947 ", N ,RLM SERVICES,RLM SERVICES
MACTEC  INC.," 48,757,080 ", N ,MACTEC,MACTEC
TETRA TECH  INC.," 508,126,109 ", Y ,TETRA TECH,TETRA TECH
KELLY AVIATION CENTER  L.P," 474,773,457 ", N ,KELLY AVIATION CENTER,KELLY AVIATION CENTER [Joint Venture Lockheed Martin/Rolls Royce]
VINNELL BROWN & ROOT LLC," 121,458,156 ", N ,VINNELL BROWN & ROOT,VINNELL-BROWN & ROOT
AMEC E&I HOLDINGS  INC.," 107,379,989 ", N ,AMEC E & I HOLDINGS,
M1 SUPPORT SERVICES  L.P.," 195,884,689 ", N ,M1 SUPPORT SERVICES,
THE BOEING COMPANY," 27,792,927,422 ", Y ,THE BOEING COMPANY,BOEING
OASIS SYSTEMS  LLC," 90,404,813 ", N ,OASIS SYSTEMS,
MAV6  LLC," 64,083,615 ", N ,MAV6,
SPIRAL SOLUTIONS & TECHNOLOGIES  INC.," 57,831,653 ", N ,SPIRAL SOLUTIONS & TECHNOLOGIES,Spiral Technology
LINQUEST CORPORATION," 104,957,311 ", N ,LINQUEST,
KAMAN CORPORATION," 96,475,490 ", N ,KAMAN,KAMAN
ODYSSEY SYSTEMS CONSULTING GROUP  LTD.," 133,500,870 ", N ,ODYSSEY SYSTEMS CONSULTING GROUP,
ORION AIR GROUP  LLC," 50,000,000 ", N ,ORION AIR GROUP,
DWG & ASSOCIATES  INC.," 79,071,033 ", N ,DWG & ASSOCIATES,
H.D.R. INC.," 69,326,044 ", N ,HDR,HDR
KOREAN AIR LINES CO.  LTD.," 66,233,609 ", N ,KOREAN AIR LINES CO,
BOMBARDIER INC," 45,444,060 ", N ,BOMBARDIER,BOMBARDIER
THE RAND CORPORATION," 50,502,550 ", N ,THE RAND,RAND
EA ENGINEERING  SCIENCE  AND TECHNOLOGY  INC.," 50,981,056 ", N ,EA ENGINEERING SCIENCE & TECHNOLOGY,
DLT SOLUTIONS  LLC," 43,553,509 ", N ,DLT SOLUTIONS,DLT SOLUTIONS
AL RAHA GROUP FOR TECHNICAL SERVICES," 353,768,828 ", N ,AL RAHA GROUP FOR TECHNICAL SERVICES,
SPACE EXPLORATION TECHNOLOGIES CORP.," 239,598,798 ", N ,SPACE EXPLORATION TECHNOLOGIES,
MONBERG & THORSEN A/S," 114,379,135 ", N ,MONBERG & THORSEN A/S,
TELEDYNE INC.," 74,843,525 ", N ,TELEDYNE,TELEDYNE TECHNOLOGIES
ROYAL JORDANIAN AIR ACADEMY," 71,258,411 ", N ,ROYAL JORDANIAN AIR ACADEMY,
CFM INTERNATIONAL  INC.," 70,064,662 ", N ,CFM INTERNATIONAL,CFM INTERNATIONAL
"BATTLESPACE FLIGHT SERVICES, LLC"," 67,684,165 ", N ,BATTLESPACE FLIGHT SERVICES,BATTLESPACE FLIGHT SERVICES
"M1 SUPPORT SERVICES, LP."," 51,815,772 ", N ,M1 SUPPORT SERVICES,
STATE OF TEXAS," 51,349,811 ", N ,STATE OF TEXAS,
ARCTEC ALASKA," 49,818,141 ", N ,ARCTEC ALASKA,
"BOEING COMPANY, THE"," 49,372,271 ", N ,BOEING COMPANY,BOEING
TOKYO ELECTRIC POWER COMPANY INCORPORATED  THE," 55,563,109 ", N ,TOKYO ELECTRIC POWER COMPANY INCORPORATED,TOKYO ELECTRIC POWER
AURORA FLIGHT SCIENCES CORP," 45,392,473 ", N ,AURORA FLIGHT SCIENCES,AURORA FLIGHT SCIENCES
TORCH TECHNOLOGIES  INC.," 300,963,635 ", N ,TORCH TECHNOLOGIES,TORCH TECHNOLOGIES
SOS INTERNATIONAL LTD.," 43,108,517 ", N ,SOS INTERNATIONAL,INTERNATIONAL SOS
SPECTRUM COMM INC.," 40,721,763 ", N ,SPECTRUM COMM,
RIVERSIDE RESEARCH INSTITUTE," 39,686,007 ", N ,RIVERSIDE RESEARCH INSTITUTE,
AMERICAN ENGINEERING CORPORATION," 39,632,563 ", N ,AMERICAN ENGINEERING,
FPM GROUP  LTD.," 37,893,837 ", N ,FPM GROUP,
AL RAHA GROUP FOR TECHNICAL S ERVICES," 420,746,561 ", N ,AL RAHA GROUP FOR TECHNICAL S ERVICES,
BEECHCRAFT HOLDINGS  LLC," 253,437,149 ", N ,BEECHCRAFT HOLDINGS,HAWKER BEECHCRAFT
"MICHAEL BAKER INTERNATIONAL, LLC"," 398,645,907 ", N ,MICHAEL BAKER INTERNATIONAL,MICHAEL BAKER
GEORGIA TECH APPLIED RESEARCH CORPORATION," 142,834,195 ", N ,GEORGIA TECH APPLIED RESEARCH,
KNUD HÃƒÆ’Ã‹Å“JGAARDS FOND," 120,655,203 ", N ,KNUD HÃƒÆ‘Ã‹Å’JGAARDS FOND,
JOHNSON CONTROLS FEDERAL SYSTEMS/ VERSAR JOINT VENTURE," 108,096,328 ", N ,JOHNSON CONTROLS FEDERAL SYSTEMS/ VERSAR JOINT VENTURE,JOHNSON CONTROLS
AMEC ENVIRONMENT & INFRASTRUCTURE  INC.," 79,948,274 ", N ,AMEC ENVIRONMENT & INFRASTRUCTURE,
INTELLIGENT DECISIONS  INC.," 69,767,946 ", N ,INTELLIGENT DECISIONS,INTELLIGENT DECISIONS
STERLING COMPUTERS CORPORATION," 100,089,317 ", N ,STERLING COMPUTERS,STERLING COMPUTERS
PRICEWATERHOUSECOOPERS LLP," 70,775,999 ", N ,PRICEWATERHOUSECOOPERS LLP,PRICEWATERHOUSECOOPERS
ASSURED INFORMATION SECURITY  INC.," 94,963,577 ", N ,ASSURED INFORMATION SECURITY,
UES  INC.," 43,618,687 ", N ,UES,
PHACIL  INC.," 43,538,363 ", N ,PHACIL,
GRIFFON CORPORATION," 42,971,221 ", N ,GRIFFON,
TELEDYNE TECHNOLOGIES INC," 50,474,779 ", N ,TELEDYNE TECHNOLOGIES,TELEDYNE TECHNOLOGIES
ARCTEC ALASKA JV," 56,618,935 ", N ,ARCTEC ALASKA JV,
TECHNOLOGY SERVICE CORPORATION," 67,693,145 ", N ,TECHNOLOGY SERVICE,TECHNOLOGY SERVICESORATIO
AMERICAN SOCIETY FOR ENGINEERING EDUCATION (INC)," 39,905,099 ", N ,AMERICAN SOCIETY FOR ENGINEERING EDUCATION,
AECOM," 1,285,306,292 ", Y ,AECOM,AECOM TECHNOLOGY
RANGE GENERATION NEXT LLC," 128,582,025 ", N ,RANGE GENERATION NEXT,
PKL SERVICES  INC.," 103,044,481 ", N ,PKL SERVICES,
AMEC FOSTER WHEELER ENVIRONMENT & INFRASTRUCTURE  INC.," 81,042,965 ", N ,AMEC FOSTER WHEELER ENVIRONMENT & INFRASTRUCTURE,
DCS CORPORATION," 78,203,002 ", N ,DCS,DCS
BERING SEA ENVIRONMENTAL  LLC," 45,808,076 ", N ,BERING SEA ENVIRONMENTAL,
INVERTIX CORPORATION," 45,588,385 ", N ,INVERTIX,
SERCO SERVICES INC.," 38,229,877 ", N ,SERCO SERVICES,SERCO GROUP PLC
NATIONAL AEROSPACE SOLUTIONS  LLC," 115,589,332 ", N ,NATIONAL AEROSPACE SOLUTIONS,
ENGILITY CORPORATION," 101,096,896 ", N ,ENGILITY,ENGILITY
KI HO MILITARY ACQUISITION CONSULTING  INC.," 72,205,409 ", N ,KI HO MILITARY ACQUISITION CONSULTING,
SUMARIA SYSTEMS  INC.," 69,965,858 ", N ,SUMARIA SYSTEMS,SUMARIA SYSTEMS
ABACUS TECHNOLOGY CORPORATION," 60,273,379 ", N ,ABACUS TECHNOLOGY,ABACUS TECHNOLOGY
COLSA CORPORATION," 56,712,124 ", N ,COLSA,
ARRAY INFORMATION TECHNOLOGY  INC.," 56,484,517 ", N ,ARRAY INFORMATION TECHNOLOGY,
SIRIUS COMPUTER SOLUTIONS  INC.," 54,820,171 ", N ,SIRIUS COMPUTER SOLUTIONS,
RED RIVER COMPUTER CO.  INC.," 50,781,986 ", N ,RED RIVER COMPUTER CO,RED RIVER
SAWDEY SOLUTION SERVICES  INC.," 48,968,841 ", N ,SAWDEY SOLUTION SERVICES,
BTAS INC," 48,610,832 ", N ,BTAS,
FCN  INC.," 47,898,587 ", N ,FCN,
VET ADVISOR LLC," 47,402,192 ", N ,VET ADVISOR,
J.F. LEHMAN & COMPANY  INC.," 46,703,069 ", N ,JF LEHMAN & COMPANY,JF LEHMAN &
TECHNICA CORPORATION," 46,366,112 ", N ,TECHNICA,
SPECIALTY GOVERNMENT SERVICES  LLC," 45,844,310 ", N ,SPECIALTY GOVERNMENT SERVICES,
DSD LABORATORIES  INC.," 45,554,455 ", N ,DSD LABORATORIES,
HUMANA INC.," 3,600,321,666 ", Y ,HUMANA,HUMANA
TRAX INTERNATIONAL CORPORATION," 116,097,144 ", N ,TRAX INTERNATIONAL,TRAX International Corporation
HEALTH NET  INC.," 3,086,459,475 ", Y ,HEALTH NET,HEALTH NET
AMERISOURCEBERGEN CORPORATION," 2,114,826,202 ", Y ,AMERISOURCEBERGEN,AMERISOURCEBERGEN
EXPRESS SCRIPTS HOLDING COMPANY," 789,284,743 ", Y ,EXPRESS SCRIPTS HOLDING COMPANY,EXPRESS SCRIPTS
ROYAL DUTCH SHELL PLC," 2,872,160,303 ", Y ,ROYAL DUTCH SHELL PLC,ROYAL DUTCH SHELL
FEDEX CORPORATION," 1,577,425,450 ", Y ,FEDEX,FEDEX
PATRIOT TEAM," 598,473,410 ", Y ,PATRIOT TEAM,PATRIOT TEAM
CARDINAL HEALTH  INC.," 989,787,644 ", Y ,CARDINAL HEALTH,CARDINAL HEALTH
ANHAM FZCO," 985,900,614 ", Y ,ANHAM FZCO,ANHAM
VERIZON COMMUNICATIONS INC.," 645,143,533 ", Y ,VERIZON COMMUNICATIONS,VERIZON
JOHNS HOPKINS HEALTH SYS CORP," 404,524,104 ", N ,JOHNS HOPKINS HEALTH SYS,
UNITED LAUNCH ALLIANCE  L.L.C.," 2,519,548,433 ", Y ,UNITED LAUNCH ALLIANCE,UNITED LAUNCH ALLIANCE
BP PRODUCTS NORTH AMERICA INC," 361,041,360 ", N ,BP PRODUCTS NORTH AMERICA,
METLIFE  INC.," 355,231,340 ", N ,METLIFE,METLIFE
THE BAHRAIN PETROLEUM COMPANY BSC (CLOSED)," 864,975,052 ", Y ,THE BAHRAIN PETROLEUM COMPANY BSC,BAHRAIN PETROLEUM COMPANY
MARTIN'S POINT HEALTH CARE  INC.," 342,569,544 ", N ,MARTIN'S POINT HEALTH CARE,MARTIN'S POINT HEALTH CARE
CISCO SYSTEMS  INC.," 290,923,748 ", N ,CISCO SYSTEMS,CISCO SYSTEMS
UNITED TECHNOLOGIES CORPORATION," 8,201,621,967 ", Y ,UNITED TECHNOLOGIES,UNITED TECH
GOVERNMENT OF ABU DHABI," 270,209,469 ", N ,GOVERNMENT OF ABU DHABI,
VINNELL-BROWN & ROOT (VBR) JOI," 67,402,202 ", N ,VINNELL BROWN & ROOTJOI,VINNELL-BROWN & ROOT
EXXON MOBIL CORPORATION," 988,105,594 ", Y ,EXXON MOBIL,EXXON MOBIL
VALERO ENERGY CORPORATION," 1,565,153,533 ", Y ,VALERO ENERGY,VALERO ENERGY
S-OIL CORPORATION," 578,105,145 ", Y ,S OIL,S-OIL
"JOHNS HOPKINS HEALTH SYSTEM CORPORATION, THE"," 321,500,000 ", N ,JOHNS HOPKINS HEALTH SYSTEM CORPORATION,
TOTAL SA," 793,960,262 ", Y ,TOTAL SA,TOTAL SA
NEPTUNE ORIENT LINES LIMITED," 579,107,382 ", Y ,NEPTUNE ORIENT LINES,NEPTUNE ORIENT LINES
VSE CORPORATION," 900,433,718 ", Y ,VSE,VSE
RED STAR ENTERPRISES LTD," 1,069,266,941 ", Y ,RED STAR ENTERPRISES,RED STAR ENTERPRISES
WFS UK HOLDING PARTNERSHIP II LP," 543,415,197 ", Y ,WFS UK HOLDING PARTNERSHIP II,WORLD FUEL SERVICES CORPORATION
CHEVRON CORPORATION," 678,139,841 ", Y ,CHEVRON,CHEVRON
WESTERN REFINING  INC.," 325,234,160 ", N ,WESTERN REFINING,WESTERN REFINING
