Fiscal_Year,Customer,PlatformPortfolio,EntitySizeCode,EntityCategory,AnyEntityUSplaceOfPerformance,AnyEntityForeignPlaceOfPerformance,IsEntityAbove2016constantOneMillionThreshold,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,IsEntityAbove2018constant10ThousandThreshold,EntityCount,AllContractorCount,NumberOfActions,Action_Obligation_Then_Year,dFYear,EntitySizeText,EntitySmall,EntitySizeText.sum,Action_Obligation_OMB24_GDP22
2005,Defense,Other R&D and Knowledge Based,N,PDuns-1,1,1,0,0,1,0,10,10,20,83759,2005-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,120919.07453077183
2019,Defense,Ordnance and Missiles,M,PID,1,0,0,1,1,1,3,3,7,106443.79,2019-01-01,Medium Vendor,Other Than Small,Medium,119214.39413947494
2016,Defense,Ships & Submarines,S,Duns,1,0,0,1,1,1,4,4,8,215555.6,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,256422.79163889133
2016,Defense,Facilities and Construction,S,PDuns-1,1,1,0,0,1,0,9,9,17,78948.9405,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,93916.87211996685
2000,Defense,Ships & Submarines,S,PDuns-2+,1,0,0,0,1,0,3,3,3,12706,2000-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,20529.466012367087
2000,Defense,Other R&D and Knowledge Based,M,PDuns-1,1,1,0,0,1,0,2,2,2,-23183,2000-01-01,Medium Vendor,Other Than Small,Medium,-37457.46974379869
2019,Defense,Land Vehicles,N,PDuns-2+,1,0,0,0,1,1,14,14,46,151977.5288,2019-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,170211.04771548067
2006,Defense,Other Services,M,PID,1,0,0,1,1,1,3,3,8,241882,2006-01-01,Medium Vendor,Other Than Small,Medium,338183.63766358397
2016,Defense,Aircraft,S,Duns,1,0,1,1,1,1,6,6,74,28590751.7647,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,34011273.11263976
2012,Defense,Space Systems,M,PID,1,1,1,1,1,1,4,4,23,7506009.625,2012-01-01,Medium Vendor,Other Than Small,Medium,9452317.918958997
2019,Defense,Facilities and Construction,N,PDuns-2+,Unlabeled,Unlabeled,1,1,1,1,1,1,NA,0,2019-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,0
2001,Defense,Aircraft,J,PID,1,0,1,1,1,1,4,4,52,755068166,2001-01-01,Large: Big 5 JV,Other Than Small,Large,1191102770.8562636
2010,Defense,Land Vehicles,M,PDuns-1,1,1,0,0,1,1,69,69,193,-582664.1134,2010-01-01,Medium Vendor,Other Than Small,Medium,-762257.3423191466
2020,Defense,Land Vehicles,M,PDuns-1,1,1,0,0,1,0,11,11,48,129696.46,2020-01-01,Medium Vendor,Other Than Small,Medium,143344.5253353797
2019,Defense,Other R&D and Knowledge Based,M,PDuns-2+,1,1,0,0,0,0,3,3,4,3113.1001,2019-01-01,Medium Vendor,Other Than Small,Medium,3486.594589661256
2014,Defense,Facilities and Construction,S,PDuns-2+,1,0,0,0,1,0,53,53,74,319686.1998,2014-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,387842.8049051312
2010,Defense,Aircraft,M,PDuns-1,1,0,1,1,1,1,28,28,3548,255144418.9045,2010-01-01,Medium Vendor,Other Than Small,Medium,333787000.4157823
2016,Defense,Other Services,B,PID,1,1,1,1,1,1,5,5,2736,1889130169.7804,2016-01-01,Big Five,Other Than Small,Large,2247290406.300476
2010,Defense,"Electronics, Comms, & Sensors",S,PDuns-2+,1,1,0,1,1,1,10,13,68,2217675.8743,2010-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,2901225.044056759
2011,Defense,Other R&D and Knowledge Based,N,PDuns-2+,1,0,0,1,1,1,87,108,248,3378558.8835,2011-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,4332606.110025367
2013,Defense,Ships & Submarines,N,PDuns-1,1,1,1,1,1,1,146,146,2685,180792043.8118,2013-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,223579908.3482128
2007,Defense,Other R&D and Knowledge Based,M,PDuns-1,1,0,0,0,1,0,155,155,225,847906.3398,2007-01-01,Medium Vendor,Other Than Small,Medium,1153845.3140546142
2016,Defense,"Electronics, Comms, & Sensors",S,PDuns-2+,1,0,0,0,1,0,40,40,51,181143.5393,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,215486.547483133
2017,Defense,Aircraft,N,PID,1,0,1,1,1,1,55,55,8695,1075918332.8339,2017-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1257451468.4115868
2017,Defense,Facilities and Construction,M,PDuns-1,1,1,1,1,1,1,635,635,11651,1613032654.674,2017-01-01,Medium Vendor,Other Than Small,Medium,1885189812.5699017
2006,Defense,Other Products,N,PDuns-2+,1,0,1,1,1,1,335,666,16778,754591590.0879,2006-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1055020749.316915
2004,Defense,Ships & Submarines,N,PDuns-1,1,0,0,1,1,1,217,217,1033,62521966.8999,2004-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,93000133.35237306
2002,Defense,Facilities and Construction,M,PID,1,0,1,1,1,1,89,89,1633,1163654530,2002-01-01,Medium Vendor,Other Than Small,Medium,1807115735.1379921
2008,Defense,Other Services,L,PID,1,1,1,1,1,1,80,80,6926,9629003594.8404,2008-01-01,Large Vendor,Other Than Small,Large,12835613657.21687
2016,Defense,Other Products,N,PID,1,1,0,0,1,1,1,1,7,42812.6107,2016-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,50929.454642064826
2018,Defense,Missile Defense,N,PDuns-2+,1,1,0,1,1,1,2,2,2,6534,2018-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,7461.2497271959155
2007,Defense,Aircraft,S,PID,1,0,0,1,1,1,8,8,26,928906.6171,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,1264071.863866442
2003,Defense,Other Products,S,PDuns-1,Unlabeled,Unlabeled,0,1,1,1,4,4,0,0,2003-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2004,Defense,Ships & Submarines,M,PDuns-2+,1,0,0,0,1,1,2,2,3,19208,2004-01-01,Medium Vendor,Other Than Small,Medium,28571.50294539501
2016,Defense,Aircraft,S,Duns,1,0,0,1,1,1,3,3,7,144485,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,171877.9147929593
2005,Defense,"Electronics, Comms, & Sensors",S,PID,1,0,0,0,0,0,2,2,9,-6951,2005-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,-10034.843862312051
2013,Defense,Facilities and Construction,M,PDuns-2+,1,1,0,0,1,0,19,18,21,95033.61,2013-01-01,Medium Vendor,Other Than Small,Medium,117525.11540783303
2010,Defense,Ships & Submarines,N,PDuns-2+,1,0,0,0,1,1,27,30,247,1025042.8273,2010-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1340989.436850054
2009,Defense,Aircraft,S,PID,1,0,0,0,1,1,2,2,36,65957.85,2009-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,87038.37425977181
2016,Defense,Ships & Submarines,N,PDuns-1,1,0,0,0,0,0,9,9,33,17012.6699,2016-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,20238.10241528839
2016,Defense,Other Services,M,PDuns-1,Unlabeled,Unlabeled,0,1,1,1,42,42,0,0,2016-01-01,Medium Vendor,Other Than Small,Medium,0
2011,Defense,Facilities and Construction,L,Duns,1,1,1,1,1,1,1,1,7055,280914701.5252,2011-01-01,Large Vendor,Other Than Small,Large,360240207.1983996
2005,Defense,Facilities and Construction,L,PID,1,1,0,1,1,1,2,2,60,897562,2005-01-01,Large Vendor,Other Than Small,Large,1295769.6053437677
2017,Defense,Missile Defense,S,PDuns-1,1,0,0,1,1,1,52,52,103,13233339.8122,2017-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,15466120.49541991
2003,Defense,"Electronics, Comms, & Sensors",M,PDuns-1,1,0,0,0,0,0,31,31,91,-102900,2003-01-01,Medium Vendor,Other Than Small,Medium,-156802.96474085562
2012,Defense,Facilities and Construction,M,PID,1,0,0,0,0,0,3,3,6,22860.0022,2012-01-01,Medium Vendor,Other Than Small,Medium,28787.600764967323
2013,Defense,Other Products,M,PDuns-1,1,1,0,0,0,0,33,33,48,-40133.55,2013-01-01,Medium Vendor,Other Than Small,Medium,-49631.91543998
2011,Defense,Missile Defense,S,PDuns-1,1,1,1,1,1,1,4,4,16,553726.6767,2011-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,710089.6167507807
2010,Defense,Other Services,L,PID,1,1,1,1,1,1,83,83,9321,11514730699.597,2010-01-01,Large Vendor,Other Than Small,Large,15063889844.4908
2012,Defense,Other R&D and Knowledge Based,M,PDuns-2+,1,0,1,1,1,1,172,298,1919,252988788.5335,2012-01-01,Medium Vendor,Other Than Small,Medium,318588781.33944976
2013,Defense,Ordnance and Missiles,S,PDuns-1,1,1,1,1,1,1,20,20,35,32385487.7638,2013-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,40050127.39155715
2005,Defense,Other R&D and Knowledge Based,M,PID,1,1,1,1,1,1,26,26,2045,185416991,2005-01-01,Medium Vendor,Other Than Small,Medium,267678111.65367842
2003,Defense,"Electronics, Comms, & Sensors",S,PDuns-2+,1,0,0,0,1,1,64,66,141,1492313,2003-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,2274043.758224689
2014,Defense,Ships & Submarines,M,PDuns-2+,1,0,0,1,1,1,27,28,124,3736227.15,2014-01-01,Medium Vendor,Other Than Small,Medium,4532785.020201878
2011,Defense,Facilities and Construction,N,PDuns-1,1,1,0,1,1,1,386,386,4021,96261495.7309,2011-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,123444095.23264658
2005,Defense,Other Products,N,PID,1,1,1,1,1,1,152,152,11975,963217648.1044,2005-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1390553690.7137227
2000,Defense,"Electronics, Comms, & Sensors",N,PDuns-1,1,0,1,1,1,1,316,316,3632,909715566.8376,2000-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1469854778.0823052
2016,Defense,Ordnance and Missiles,B,PID,1,1,1,1,1,1,5,5,4214,10747210378.7951,2016-01-01,Big Five,Other Than Small,Large,12784774265.484663
2008,Defense,Other Products,L,PID,1,1,1,1,1,1,101,101,82853,13119255623.1715,2008-01-01,Large Vendor,Other Than Small,Large,17488174658.0229
2006,Defense,Ordnance and Missiles,S,PDuns-1,1,0,0,1,1,1,848,848,2818,92474058.516,2006-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,129291197.767738
2005,Defense,Ships & Submarines,M,PDuns-2+,1,1,0,0,0,0,1,1,1,5554,2005-01-01,Medium Vendor,Other Than Small,Medium,8018.058237847954
2019,Defense,Ships & Submarines,N,PDuns-2+,1,0,0,0,0,0,2,2,12,7812.32,2019-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,8749.603857807984
2020,Defense,Missile Defense,S,PDuns-2+,1,0,0,1,1,1,3,3,6,114243.628,2020-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,126265.57909330519
2004,Defense,Missile Defense,M,PDuns-1,1,1,0,0,1,1,1,1,1,34622,2004-01-01,Medium Vendor,Other Than Small,Medium,51499.509317756456
2000,Defense,Ships & Submarines,N,PDuns-2+,1,0,0,0,1,1,1,1,4,17587,2000-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,28415.844385290413
2003,Defense,Unlabeled,S,PDuns-1,Unlabeled,Unlabeled,0,0,1,0,1,1,1,0,2003-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2005,Defense,Missile Defense,S,PDuns-2+,1,0,0,1,1,1,7,8,15,2036265,2005-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,2939663.5501785134
2008,Defense,Unlabeled,S,PDuns-1,1,0,0,0,1,1,4,4,4,-978,2008-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,-1303.6894246757383
2005,Defense,Ships & Submarines,S,PDuns-2+,1,1,0,1,1,1,1,1,2,8252,2005-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,11913.038634987633
2009,Defense,Aircraft,M,PDuns-1,1,0,0,0,0,0,11,11,15,-81892.39,2009-01-01,Medium Vendor,Other Than Small,Medium,-108065.68876710192
2013,Defense,"Electronics, Comms, & Sensors",N,PDuns-1,1,1,0,0,1,1,47,47,143,1035983.49,2013-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1281168.6225837327
2004,Defense,Missile Defense,N,PID,1,0,0,1,1,1,5,5,13,1136579,2004-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1690637.7679182691
2008,Defense,Other R&D and Knowledge Based,N,PDuns-1,1,1,0,0,0,0,5,5,13,12742.02,2008-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,16985.31362270629
2013,Defense,Aircraft,M,PDuns-2+,1,1,0,1,1,1,11,13,62,2214134.96,2013-01-01,Medium Vendor,Other Than Small,Medium,2738151.9727864466
2008,Defense,"Electronics, Comms, & Sensors",S,PDuns-1,Unlabeled,Unlabeled,0,0,1,1,3,3,0,0,2008-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2006,Defense,Other R&D and Knowledge Based,N,PID,1,0,0,0,1,1,2,2,7,52310,2006-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,73136.43051645876
2015,Defense,Other R&D and Knowledge Based,M,PDuns-2+,1,0,0,1,1,1,92,103,244,11011276.877,2015-01-01,Medium Vendor,Other Than Small,Medium,13207449.26051323
2015,Defense,Facilities and Construction,S,Duns,1,0,0,0,1,1,1,1,7,35350,2015-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,42400.47149612171
2012,Defense,Facilities and Construction,S,PDuns-1,1,1,0,0,1,1,36,36,164,1168688.9415,2012-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,1471729.9837501438
2017,Defense,Ordnance and Missiles,N,PDuns-1,1,1,0,0,1,1,2,2,2,7314.0099,2017-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,8548.058163957054
2006,Defense,Facilities and Construction,S,PDuns-1,1,1,0,0,0,0,18,18,62,39462.62,2006-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,55174.06166368602
2009,Defense,Space Systems,N,PDuns-1,1,0,0,1,1,1,12,12,24,1372933.6776999999,2009-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1811731.5114652389
2000,Defense,Other Services,S,PDuns-1,1,0,0,1,1,1,985,985,1581,99266959,2000-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,160388608.60550427
2002,Defense,Land Vehicles,M,PDuns-1,1,0,0,0,1,1,20,20,354,272589,2002-01-01,Medium Vendor,Other Than Small,Medium,423321.40547377936
2019,Defense,Missile Defense,N,PDuns-1,1,0,1,1,1,1,72,72,365,183988627.3082,2019-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,206062680.9051117
2007,Defense,Space Systems,N,PDuns-1,1,1,1,1,1,1,7,7,11,1909466,2007-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2598433.6866337084
2005,Defense,Other Services,N,PDuns-1,1,1,0,0,1,1,4,4,8,21600,2005-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,31182.94165241552
2012,Defense,Missile Defense,S,PDuns-1,1,0,0,1,1,1,86,86,177,6027486.9091,2012-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,7590414.263181378
2014,Defense,Ships & Submarines,S,PDuns-1,1,0,1,1,1,1,495,495,5634,530881528.5043,2014-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,644064652.2003264
2018,Defense,Other Products,S,PDuns-1,1,0,0,1,1,1,1817,1817,169713,574049238.7209,2018-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,655513426.0488733
2018,Defense,Ships & Submarines,M,PDuns-1,1,1,0,1,1,1,59,59,1096,14699784.0512,2018-01-01,Medium Vendor,Other Than Small,Medium,16785852.424526304
2006,Defense,Aircraft,N,PDuns-1,1,1,0,1,1,1,92,92,600,17212359.2208,2006-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,24065198.129924823
2013,Defense,Other Services,M,PDuns-1,1,1,0,0,1,1,192,192,563,2617597.4106,2013-01-01,Medium Vendor,Other Than Small,Medium,3237101.46096744
2016,Defense,Other Services,M,PDuns-2+,1,0,0,0,0,0,6,6,9,-4907.5099,2016-01-01,Medium Vendor,Other Than Small,Medium,-5837.92482567605
2010,Defense,Other Services,N,PID,1,0,0,1,1,1,8,8,32,453431.4696,2010-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,593191.6158767861
2009,Defense,Ships & Submarines,S,PDuns-1,1,1,0,0,1,0,4,4,4,9349.4298,2009-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,12337.56361142553
2008,Defense,Aircraft,M,PDuns-1,1,1,0,0,1,0,9,9,13,58378,2008-01-01,Medium Vendor,Other Than Small,Medium,77818.79471750537
2006,Defense,Space Systems,M,PDuns-1,1,0,1,1,1,1,9,9,27,6818408,2006-01-01,Medium Vendor,Other Than Small,Medium,9533053.39179634
2004,Defense,Missile Defense,M,PID,1,1,1,1,1,1,4,4,15,10501458,2004-01-01,Medium Vendor,Other Than Small,Medium,15620701.696061118
2009,Defense,Other Products,S,PDuns-1,Unlabeled,Unlabeled,0,0,1,0,1,1,0,0,2009-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2017,Defense,Other Products,N,PDuns-1,Unlabeled,Unlabeled,0,1,1,1,1,1,0,0,2017-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,0
2002,Defense,Facilities and Construction,M,PDuns-1,Unlabeled,Unlabeled,1,1,1,1,1,1,0,0,2002-01-01,Medium Vendor,Other Than Small,Medium,0
2013,Defense,Space Systems,S,PDuns-1,1,0,0,1,1,1,100,100,165,11939579.06,2013-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,14765306.789329024
2010,Defense,Facilities and Construction,L,Duns,1,1,1,1,1,1,1,1,6826,225534394.0633,2010-01-01,Large Vendor,Other Than Small,Large,295050345.24449944
2011,Defense,"Electronics, Comms, & Sensors",M,PID,1,1,0,0,1,0,1,1,2,7868.1001,2011-01-01,Medium Vendor,Other Than Small,Medium,10089.916956615682
2008,Defense,Other R&D and Knowledge Based,N,PDuns-2+,1,1,0,0,1,1,6,7,14,44168.9299,2008-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,58877.88017369532
2020,Defense,Ordnance and Missiles,M,PDuns-1,1,0,0,0,0,0,3,3,4,351.85,2020-01-01,Medium Vendor,Other Than Small,Medium,388.8754653693196
2009,Defense,Aircraft,N,PDuns-1,1,1,0,0,1,1,11,11,15,164150.3193,2009-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,216613.74538579475
2018,Defense,Other Services,N,PID,1,0,0,1,1,1,13,13,72,1955890.2628,2018-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2233453.5796972215
2008,Defense,Ships & Submarines,N,PDuns-1,1,0,0,0,1,1,182,182,799,3978463.3909,2008-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,5303354.447010131
2007,Defense,"Electronics, Comms, & Sensors",N,PDuns-2+,1,0,0,0,1,1,115,143,474,3352004.3008,2007-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,4561464.248611806
2010,Defense,Ships & Submarines,M,PDuns-1,1,0,0,1,1,1,29,29,105,2652708.4173,2010-01-01,Medium Vendor,Other Than Small,Medium,3470346.6742091747
2017,Defense,Missile Defense,S,PDuns-2+,1,0,1,1,1,1,8,9,50,32211840.2148,2017-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,37646747.4735304
2016,Defense,Other R&D and Knowledge Based,M,PDuns-2+,1,1,0,1,1,1,29,32,94,3257658.471,2016-01-01,Medium Vendor,Other Than Small,Medium,3875278.0226535625
2006,Defense,Other R&D and Knowledge Based,S,PDuns-1,1,0,1,1,1,1,2061,2061,14525,2710253235.1552,2006-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,3789299319.7273145
2013,Defense,Other R&D and Knowledge Based,L,PID,1,0,1,1,1,1,41,41,3930,1694693396.6745,2013-01-01,Large Vendor,Other Than Small,Large,2095774716.1773944
2005,Defense,Other Products,S,PDuns-2+,1,0,0,1,1,1,172,200,3040,40954786,2005-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,59124569.5474613
2007,Defense,Facilities and Construction,S,PDuns-1,1,1,0,0,1,1,148,148,433,3603922.0398,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,4904278.176316304
2018,Defense,Facilities and Construction,N,PDuns-1,1,1,0,1,1,1,365,365,8821,162680217.8284,2018-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,185766411.21706787
2017,Defense,Other R&D and Knowledge Based,M,PDuns-1,1,1,0,1,1,1,228,228,2007,13942124.0584,2017-01-01,Medium Vendor,Other Than Small,Medium,16294493.582830422
2006,Defense,Ordnance and Missiles,M,PID,1,1,0,1,1,1,2,2,7,1293649,2006-01-01,Medium Vendor,Other Than Small,Medium,1808695.6643316068
2000,Defense,Ships & Submarines,N,PDuns-1,1,1,0,1,1,1,3,3,5,251792,2000-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,406827.90069147915
2000,Defense,Other R&D and Knowledge Based,M,PID,1,0,0,0,1,1,2,2,2,58500,2000-01-01,Medium Vendor,Other Than Small,Medium,94520.20791149652
2007,Defense,Ordnance and Missiles,M,PID,1,1,0,1,1,1,2,2,3,56416,2007-01-01,Medium Vendor,Other Than Small,Medium,76771.84870803005
2007,Defense,Space Systems,M,PDuns-1,1,0,0,0,0,0,1,1,1,0,2007-01-01,Medium Vendor,Other Than Small,Medium,0
2000,Defense,Missile Defense,S,PDuns-1,1,0,0,1,1,1,4,4,5,475863,2000-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,768866.148673307
2018,Defense,Ordnance and Missiles,M,PDuns-2+,1,0,0,1,1,1,9,8,25,857188.1951,2018-01-01,Medium Vendor,Other Than Small,Medium,978833.0558379912
2015,Defense,"Electronics, Comms, & Sensors",N,PDuns-2+,1,0,0,0,1,0,12,13,16,55991.97,2015-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,67159.4321922688
2013,Defense,Other Services,M,PDuns-2+,1,1,0,0,1,0,5,5,25,74014.28,2013-01-01,Medium Vendor,Other Than Small,Medium,91531.16248901487
2016,Defense,Ordnance and Missiles,M,PDuns-2+,1,1,0,0,1,0,1,1,2,5956.0801,2016-01-01,Medium Vendor,Other Than Small,Medium,7085.293476332079
2017,Defense,Other R&D and Knowledge Based,N,PDuns-1,Unlabeled,Unlabeled,0,0,0,0,1,1,0,0,2017-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,0
2009,Defense,Other R&D and Knowledge Based,S,PID,1,1,1,1,1,1,4,4,266,41393506.3769,2009-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,54623119.158020966
2001,Defense,Other Products,M,PID,1,1,1,1,1,1,6,6,16,53252368,2001-01-01,Medium Vendor,Other Than Small,Medium,84004393.16025598
2016,Defense,Ships & Submarines,S,PDuns-1,1,0,0,0,1,1,722,722,3194,16308528.5314,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,19400462.866861712
2006,Defense,Ordnance and Missiles,M,PDuns-2+,1,1,1,1,1,1,9,11,40,59499390.1875,2006-01-01,Medium Vendor,Other Than Small,Medium,83188167.008598
2019,Defense,Space Systems,L,PID,1,0,1,1,1,1,7,7,131,521838314.196,2019-01-01,Large Vendor,Other Than Small,Large,584445917.0952209
2017,Defense,Facilities and Construction,M,PDuns-1,1,1,0,0,1,0,64,64,90,-289984.4341,2017-01-01,Medium Vendor,Other Than Small,Medium,-338911.7383241403
2000,Defense,Facilities and Construction,S,PDuns-2+,1,0,0,1,1,1,160,179,409,25146565,2000-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,40630060.718973696
2014,Defense,Other R&D and Knowledge Based,M,PDuns-1,1,0,0,0,0,0,44,44,61,191151.0796,2014-01-01,Medium Vendor,Other Than Small,Medium,231904.1951735447
2012,Defense,Ships & Submarines,S,PDuns-2+,1,0,1,1,1,1,34,40,594,62590111.7505,2012-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,78819727.71236584
2007,Defense,Missile Defense,N,PDuns-1,1,0,1,1,1,1,63,63,493,126489149.5866,2007-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,172128577.9791165
2010,Defense,Other R&D and Knowledge Based,M,PDuns-1,1,1,0,0,1,0,67,67,144,363199.2402,2010-01-01,Medium Vendor,Other Than Small,Medium,475147.31249138457
2018,Defense,Facilities and Construction,M,PDuns-2+,1,0,0,0,1,0,27,27,212,8195.3946,2018-01-01,Medium Vendor,Other Than Small,Medium,9358.415323463862
2019,Defense,Other Products,M,PDuns-1,1,0,1,1,1,1,88,88,19795,388081694.5191,2019-01-01,Medium Vendor,Other Than Small,Medium,434641833.86100125
2016,Defense,Other Products,N,PDuns-1,1,1,0,0,1,1,46,46,761,1868415.9343,2016-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2222648.958393071
2003,Defense,Facilities and Construction,N,PID,1,0,0,1,1,1,81,81,1137,32029531,2003-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,48807827.21145911
2012,Defense,Facilities and Construction,L,PID,1,0,1,1,1,1,60,60,2215,2635734861.6678,2012-01-01,Large Vendor,Other Than Small,Large,3319180910.6649604
2005,Defense,Other Products,M,PDuns-2+,1,0,1,1,1,1,51,60,333,209174907.75,2005-01-01,Medium Vendor,Other Than Small,Medium,301976339.97766894
2006,Defense,Other Products,S,PDuns-2+,1,0,0,0,1,0,64,67,107,323485.2,2006-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,452275.9100153463
2010,Defense,Other Services,S,PDuns-1,1,0,0,1,1,1,1592,1592,4501,107758977.165,2010-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,140973280.5844406
2006,Defense,Facilities and Construction,N,Duns,1,1,1,1,1,1,4,3,10825,964979389.9293,2006-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1349171250.2653222
2019,Defense,Land Vehicles,S,PDuns-2+,1,1,1,1,1,1,3,3,13,12938730.1159,2019-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,14491055.529882928
2002,Defense,Facilities and Construction,M,PDuns-1,1,1,0,0,1,0,53,53,206,278491.53,2002-01-01,Medium Vendor,Other Than Small,Medium,432487.83293582354
2008,Defense,Ships & Submarines,M,PDuns-1,1,1,0,0,1,1,63,63,645,2876452.3817,2008-01-01,Medium Vendor,Other Than Small,Medium,3834356.3912123004
