SIC,Part Indicator,SIC Titles and Part Descriptions,1997 NAICS,1997 NAICS Titles and Part Indicators
3829,pt,.   Motor Vehicle Gauges,334514,Totalizing Fluid Meter and Counting Device Manufacturing (pt)
3829,pt,.   Medical Thermometers,339112,Surgical and Medical Instrument Manufacturing (pt)
3829,pt,.   Electronic Chronometers,334518,"Watch, Clock, and Part Manufacturing"
3829,pt,".   Except Medical Thermometers, Electronic Chronometers, and Motor Vehicle Gauges",334519,Other Measuring and Controlling Device Manufacturing
3841,,Surgical and Medical Instruments and Apparatus,,
3841,pt,.   Tranquilizer Guns,332994,Small Arms Manufacturing (pt)
3841,pt,.   Operating Tables,339111,Laboratory Apparatus and Furniture Manufacturing (pt)
3841,pt,.   Except Tranquilizer Guns and Operating Tables,339112,Surgical and Medical Instrument Manufacturing (pt)
3842,,"Orthopedic, Prosthetic, and Surgical Appliances and Supplies",,
3842,pt,.   Incontinent and Bed Pads,322291,Sanitary Paper Product Manufacturing (pt)
3842,pt,".   Orthopedic, Prosthetic, and Surgical Appliances and Supplies, except Electronic Hearing Aids",339113,Surgical Appliance and Supplies Manufacturing
3842,pt,.   Electronic Hearing Aids,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing (pt)
3843,,Dental Equipment and Supplies,339114,Dental Equipment and Supplies Manufacturing
3844,,X-Ray Apparatus and Tubes and Related Irradiation Apparatus,334517,Irradiation Apparatus Manufacturing (pt)
3845,,Electromedical and Electrotherapeutic Apparatus,,
3845,pt,.   CT and CAT Scanners,334517,Irradiation Apparatus Manufacturing (pt)
3845,pt,.   Other Electromedical and Electrotherapeutic Apparatus,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing (pt)
3851,,Ophthalmic Goods,,
3851,pt,.   Intra Ocular Lenses,339113,Surgical and Medical Instrument Manufacturing (pt)
3851,pt,.   Except Intra Ocular Lenses,339115,Ophthalmic Goods Manufacturing (pt)
3861,,Photographic Equipment and Supplies,,
3861,pt,".   Photographic Equipment and Supplies (Except Photographic Film, Paper, Plates and Chemicals)",333315,Photographic and Photocopying Equipment Manufacturing
3861,pt,".   Photographic Film, Paper, Plates and Chemicals",325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing"
3873,,"Watches, Clocks, Clockwork Operated Devices and Parts",334518,"Watch, Clock, and Part Manufacturing (pt)"
39,,Miscellaneous manufacturing industries,,
3911,,"Jewelry, Precious Metal",339911,Jewelry (except Costume) Manufacturing (pt)
3914,,"Silverware, Plated Ware, and Stainless Steel Ware",,
3914,pt,.   Cutlery and Flatware Nonprecious and Precious Plated,332211,Cutlery and Flatware (except Precious) Manufacturing (pt)
3914,pt,.   Precious Plated Hollowware,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing (pt)
3914,pt,".   Silverware, Plated Ware, and Stainless Steel Ware (Except Nonprecious and Precious Plated Metal Cutlery and Flatware)",339912,Silverware and Hollowware Manufacturing (pt)
3915,,"Jewelers' Findings and Materials, and Lapidary Work",,
3915,pt,.   Watch Jewels,334518,"Watch, Clock, and Part Manufacturing (pt)"
3915,pt,.   Except Watch Jewels,339913,Jewelers' Material and Lapidary Work Manufacturing
3931,,Musical Instruments,339992,Musical  Instrument Manufacturing
3942,,Dolls and Stuffed Toys,339931,Doll and Stuffed Toy Manufacturing
3944,,"Games, Toys, and Children's Vehicles, Except Dolls and Bicycles",,
3944,pt,.   Metal Tricycles,336991,"Motorcycle, Bicycle, and Parts Manufacturing (pt)"
3944,pt,".   Other Games, Toys, and Children's Vehicles",339932,"Game, Toy, and Children's Vehicle Manufacturing"
3949,,"Sporting and Athletic Goods, NEC",33992,Sporting and Athletic Good Manufacturing
3951,,"Pens, Mechanical Pencils, and Parts",339941,Pen and Mechanical Pencil Manufacturing
3952,,"Lead Pencils, Crayons, and Artist's Materials",,
3952,pt,.   Drafting Tables and Boards,337127,Institutional Furniture Manufacturing (pt)
3952,pt,.   Drawing and India Ink,325998,All Other Miscellaneous Chemical and Preparation Manufacturing (pt)
3952,pt,.   Other,339942,Lead Pencil and Art Good Manufacturing (pt)
3953,,Marking Devices,339943,Marking Device Manufacturing
3955,,Carbon Paper and Inked Ribbons,339944,Carbon Paper and Inked Ribbon Manufacturing
3961,,"Costume Jewelry and Costume Novelties, Except Precious Metals",339914,Costume Jewelry and Novelty  Manufacturing (pt)
3965,,"Fasteners, Buttons, Needles, and Pins",339993,"Fastener, Button, Needle, and Pin Manufacturing (pt)"
3991,,Brooms and Brushes,339994,"Broom, Brush, and Mop Manufacturing (pt)"
3993,,Signs and Advertising Specialties,,
3993,pt,.   Signs,33995,Sign Manufacturing
3993,pt,.   Advertising Specialties,,Classified According to the Product Produced
3995,,Burial Caskets,339995,Burial Casket Manufacturing
3996,,"Linoleum, Asphalted-Felt-Base, and Other Hard Surface Floor Coverings, NEC",326192,Resilient Floor Covering Manufacturing (pt)
3999,,"Manufacturing Industries, NEC",,
3999,pt,.   Beauty and Barber Chairs,337127,Institutional Furniture Manufacturing (pt)
3999,pt,.   Other Beauty and Barber Shop Equipment,333319,Other Commercial and Service Industry Machinery Manufacturing (pt)
3999,pt,.   Fur Dressing and Bleaching,31611,Leather and Hide Tanning and Finishing (pt)
3999,pt,.   Lamp Shades of Paper or Textile,335121,Residential Electric Lighting Fixture Manufacturing (pt)
3999,pt,.   Matches,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing (pt)
3999,pt,".   Metal Products, Such As Combs, Hair Curlers, Etc.",332999,All Other Miscellaneous Fabricated Metal Product Manufacturing (pt)
3999,pt,".   Plastics Products, Such As Combs, Hair Curlers, Etc.",326199,All Other Plastics Product Manufacturing (pt)
3999,pt,.   Electric Hair Clippers for Humans,335211,Electric Housewares and Household Fan Manufacturing (pt)
3999,pt,.   Tape Measures and Human Hair Clippers,332212,Hand and Edge Tool Manufacturing (pt)
3999,pt,.   Embroidery Kits,339932,"Game, Toy, and Children's Vehicle Manufacturing (pt)"
3999,pt,.   Other,339999,All Other Miscellaneous Manufacturing (pt)
,,"Transportation, communications, and utilities",,
4011,,"Railroads, Line-haul Operating",482111,Line-Haul Railroads
4013,,Railroad Switching and Terminal Establishments,,
4013,pt,.   Beltline and Logging Railroads,482112,Short Line Railroads
4013,pt,.   Other,48821,Support Activities for Rail Transportation (pt)
41,,Local and interurban passenger transit,,
4111,,Local and Suburban Transit,,
4111,pt,.   Mixed Mode Transit Systems,485111,Mixed Mode Transit Systems
4111,pt,.   Commuter Rail Systems,485112,Commuter Rail Systems
4111,pt,.   Bus and Motor Vehicle Transit Systems,485113,Bus and Other Motor Vehicle Transit Systems
4111,pt,.   Other Urban Transit Systems,485119,Other Urban Transit Systems
4111,pt,.   Airport Limousine Transportation,485999,All Other Transit and Ground Passenger Transportation (pt)
4119,,"Local Passenger Transportation, NEC",,
4119,pt,.   Ambulances,62191,Ambulance Service (pt)
4119,pt,.   Employee Transportation,48541,School and Employee Bus Transportation (pt)
4119,pt,".   Sightseeing Buses and Cable and Cog Railways, Except Scenic",48711,"Scenic and Sightseeing Transportation, Land (pt)"
4119,pt,.   Special Needs Transportation,485991,Special Needs Transportation
4119,pt,.   Hearse Rental with Driver and Carpool and Vanpool Operations,485999,All Other Transit and Ground Passenger Transportation (pt)
4119,pt,.   Automobile Rental with Driver and Limousine Rental with Driver,48532,Limousine Service
4121,,Taxicabs,48531,Taxi Service (pt)
4131,,Intercity and Rural Bus Transportation,48521,Interurban and Rural Bus Transportation
4141,,Local Bus Charter Service,48551,Charter Bus Industry (pt)
4142,,"Bus Charter Service, Except Local",48551,Charter Bus Industry (pt)
4151,,School Buses,48541,School and Employee Bus Transportation (pt)
4173,,Terminal and Service Facilities for Motor Vehicle Passenger Transportation,48849,Other Support Activities for Road Transportation (pt)
42,,Motor freight transportation and warehousing,,
4212,,Local Trucking Without Storage,,
4212,pt,.   Solid Waste Collection Without Disposal,562111,Solid Waste Collection
4212,pt,.   Hazardous Waste Collection Without Disposal,562112,Hazardous Waste Collection
4212,pt,.   Other Waste Collection Without Disposal,562119,Other Waste Collection
4212,pt,.   Local General Freight Trucking Without Storage,48411,"General Freight Trucking, Local (pt)"
4212,pt,.   Household Goods Moving Without Storage,48421,Used Household and Office Goods Moving (pt)
4212,pt,.   Local Specialized Freight Trucking Without Storage,48422,"Specialized Freight (except Used Goods) Trucking, Local (pt)"
4213,,"Trucking, Except Local",,
4213,pt,.   Long-distance Truckload General Freight Trucking,484121,"General Freight Trucking, Long-Distance, Truckload"
4213,pt,.   Long-distance Less Than Truckload General Freight Trucking,484122,"General Freight Trucking, Long-Distance, Less Than Truckload"
4213,pt,.   Long-distance Household Goods Moving,48421,Used Household and Office Goods Moving (pt)
4213,pt,.   Long-distance Specialized Freight Trucking,48423,"Specialized Freight (except Used Goods) Trucking, Long-Distance"
4214,,Local Trucking with Storage,,
4214,pt,.   Local General Freight Trucking with Storage,48411,"General Freight Trucking, Local (pt)"
4214,pt,.   Local Household Goods Moving,48421,Used Household and Office Goods Moving (pt)
4214,pt,.   Local Specialized Freight Trucking with Storage,48422,"Specialized Freight (except Used Goods) Trucking, Local (pt)"
4215,,Courier Services Except by Air,,
4215,pt,.   Hub and Spoke Intercity Delivery,49211,Couriers (pt)
4215,pt,.   Local Delivery,49221,Local Messengers and Local Delivery
4221,,Farm Product Warehousing and Storage,49313,Farm Product Warehousing and Storage
4222,,Refrigerated Warehousing and Storage,49312,Refrigerated Warehousing and Storage (pt)
4225,,General Warehousing and Storage,,
4225,pt,.   General Warehousing and Storage,49311,General Warehousing and Storage (pt)
4225,pt,.   Miniwarehouses and Self-Storage Units,53113,Lessors of Miniwarehouses and Self Storage Units
4226,,"Special Warehousing and Storage, NEC",,
4226,pt,.   Fur Storage,49312,Refrigerated Warehousing and Storage (pt)
4226,pt,.   General Warehousing in Foreign Trade Zones,49311,General Warehousing and Storage (pt)
4226,pt,.   Other,49319,Other Warehousing and Storage
4231,,Terminal and Joint Terminal Maintenance Facilities for Motor Freight Transportation,48849,Other Support Activities for Road Transportation (pt)
43,,U.S. Postal Service,,
4311,,United States Postal Service,49111,Postal Service (pt)
44,,Water transportation,,
4412,,Deep Sea Foreign Transportation of  Freight,483111,Deep Sea Freight Transportation
4424,,Deep Sea Domestic Transportation of Freight,483113,Coastal and Great Lakes Freight Transportation (pt)
4432,,Freight Transportation on the Great Lakes - St. Lawrence Seaway,483113,Coastal and Great Lakes Freight Transportation (pt)
4449,,"Water Transportation of Freight, NEC",483211,Inland Water Freight Transportation
4481,,"Deep Sea Transportation of Passengers, Except by Ferry",,
4481,pt,.   Deep Sea Passenger Transportation,483112,Deep Sea Passenger Transportation
4481,pt,.   Coastal and Great Lakes Passenger Transportation,483114,Coastal and Great Lakes Passenger Transportation (pt)
4482,,Ferries,,
4482,pt,.   Coastal and Great Lakes Ferries,483114,Coastal and Great Lakes Passenger Transportation (pt)
4482,pt,.   Inland Water Ferries,483212,Inland Water Passenger Transportation (pt)
4489,,"Water Transportation of Passengers, NEC",,
4489,pt,.   Water Taxis,483212,Inland Water Passenger Transportation (pt)
4489,pt,".   Airboats, Excursion Boats, and Sightseeing Boats",48721,"Scenic and Sightseeing Transportation, Water (pt)"
4491,,Marine Cargo Handling,,
4491,pt,.   Dock and Pier Operations,48831,Port and Harbor Operations (pt)
4491,pt,.   Except Dock and Pier Operations,48832,Marine Cargo Handling
4492,,Towing and Tugboat Services,48833,Navigational Services to Shipping (pt)
4493,,Marinas,71393,Marinas
4499,,"Water Transportation Services, NEC",,
4499,pt,.   Boat and Ship Rental,532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing (pt)"
4499,pt,.   Lighthouse and Canal Operations,48831,Port and Harbor Operations (pt)
4499,pt,.   Marine Salvage and Piloting Vessels In and Out of Harbors,48833,Navigational Services to Shipping (pt)
4499,pt,.   Other,48839,Other Support Activities for Water Transportation (pt)
45,,Transportation by air,,
4512,,"Air Transportation, Scheduled",,
4512,pt,.   Scheduled Passenger Air Transportation,481111,Scheduled Passenger Air Transportation
4512,pt,.   Scheduled Freight Air Transportation,481112,Scheduled Freight Air Transportation
4513,,Air Courier Services,49211,Couriers (pt)
4522,,"Air Transportation, Nonscheduled",,
4522,pt,.   Air Ambulance,62191,Ambulance Services (pt)
4522,pt,.   Nonscheduled Charter Freight Air Transportation,481212,Nonscheduled Chartered Freight Air Transportation
4522,pt,.   Nonscheduled Charter Passenger Air Transportation,481211,Nonscheduled Chartered Passenger Air Transportation
4522,pt,.   Sightseeing Aircraft,48799,"Scenic and Sightseeing Transportation , Other (pt)"
4581,,"Airports, Flying Fields, and Airport Terminal Services",,
4581,pt,.   Air Traffic Control,488111,Air Traffic Control (pt)
4581,pt,".   Airfreight Handling at Airports, Hangar Operations, Airport Terminal Services, Aircraft Storage, Airports, and Flying Fields",488119,Other Airport Operations (pt)
4581,pt,.   Aircraft Cleaning and Janitorial Services,56172,Janitorial Services (pt)
4581,pt,.   Aircraft Servicing and Repairing,48819,Other Support Activities for Air Transportation
46,,"Pipelines, except natural gas",,
4612,,Crude Petroleum Pipelines,48611,Pipeline Transportation of Crude Oil
4613,,Refined Petroleum Pipelines,48691,Pipeline Transportation of Refined Petroleum Products
4619,,"Pipelines, NEC",48699,All Other Pipeline Transportation
47,,Transportation services,,
4724,,Travel Agencies,56151,Travel Agencies
4725,,Tour Operators,56152,Tour Operators
4729,,"Arrangement of Passenger Transportation, NEC",,
4729,pt,.   Arrangement of Carpools and Vanpools,488999,All Other Support Activities for Transportation (pt)
4729,pt,.   Except Arrangement of Carpools and Vanpools,561599,All Other Travel Arrangement and Reservation Services (pt)
4731,,Arrangement of Transportation of  Freight and Cargo,,
4731,pt,.   Freight Rate Auditors and Tariff Consultants,541614,"Process, Physical Distribution, and Logistics Consulting Services (pt)"
4731,pt,.   Except Freight Rate Auditors and Tariff Consultants,48851,Freight Transportation Arrangement
4741,,Rental of Railroad Cars,,
4741,pt,.   Rental of Railroad Cars,532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing (pt)"
4741,pt,".   Grain Leveling in Railroad Cars, Grain Trimming for Railroad Equipment, Precooling of Fruits and Vegetables in Connection with Transportation, and Railroad Car Cleaning, Icing, Ventilating and Heating",48821,Support Activities for Rail Transportation (pt)
4783,,Packing and Crating,488991,Packing and Crating
4785,,Fixed Facilities and Inspection and Weighing Services for Motor Vehicle Transportation,,
4785,pt,.   Marine Cargo Checkers,48839,Other Support Activities for Water Transportation (pt)
4785,pt,.   Except Marine Cargo Checkers,48849,Other Support Activities for Road Transportation (pt)
4789,,"Transportation Services, NEC",,
4789,pt,.   Pipeline Terminals and Stockyards for Transportation,488999,All Other Support Activities for Transportation (pt)
4789,pt,.   Horse-drawn Cabs and Carriages,48711,"Scenic and Sightseeing Transportation,  Land (pt)"
4789,pt,.   Dining Car Operations on a Fee or Contract Basis,72231,Food Service Contractors
4789,pt,.   Other,48821,Support Activities for Rail Transportation (pt)
48,,Communications,,
4812,,Radiotelephone Communications,,
4812,pt,.   Paging Carriers,513321,Paging
4812,pt,.   Cellular Carriers,513322,Cellular and Other Wireless Telecommunications (pt)
4812,pt,.   Paging and Cellular Resellers,51333,Telecommunications Resellers (pt)
4813,,"Telephone Communications, Except Radiotelephone",,
4813,pt,.   Except Resellers,51331,Wired Telecommunications Carriers (pt)
4813,pt,.   Wired Resellers,51333,Telecommunications Resellers (pt)
4813,pt,.   Satellite Resellers,51334,Satellite Telecommunications (pt)
4822,,Telegraph and Other  Message Communications,51331,Wired Telecommunications Carriers (pt)
4832,,Radio Broadcasting Stations,,
4832,pt,.   Networks,513111,Radio Networks
4832,pt,.   Stations,513112,Radio Stations
4833,,Television Broadcasting Stations,51312,Television Broadcasting
4841,,Cable and Other Pay Television Services,,
4841,pt,.   Cable Networks,51321,Cable Networks
4841,pt,.   Except Cable Networks,51322,Cable and Other Program Distribution
4899,,"Communications Services, NEC",,
4899,pt,.   Taxi Cab Dispatch,48531,Taxi Service (pt)
4899,pt,.   Ship-to-Shore Broadcasting Communications,513322,Cellular and Other Wireless Telecommunications (pt)
4899,pt,.   Satellite Communications,51334,Satellite Telecommunications (pt)
4899,pt,.   Except Taxi Cab Dispatch Ship-to-Shore Communications and Satellite Communications,51339,Other Telecommunications
49,,"Electric, gas, and sanitary services",,
4911,,Electric Services,,
4911,pt,.   Hydroelectric Power Generation,221111,Hydroelectric Power Generation (pt)
4911,pt,.   Electric Power Generation by Fossil Fuels,221112,Fossil Fuel Electric Power Generation (pt)
4911,pt,.   Electric Power Generation by Nuclear Fuels,221113,Nuclear Electric Power Generation (pt)
4911,pt,.   Other Electric Power Generation,221119,Other Electric Power Generation (pt)
4911,pt,.   Electric Power Transmission and Control,221121,Electric Bulk Power Transmission and Control (pt)
4911,pt,.   Electric Power Distribution,221122,Electric Power Distribution (pt)
4922,,Natural Gas Transmission,48621,Pipeline Transportation of Natural Gas (pt)
4923,,Natural Gas Transmission and Distribution,,
4923,pt,.   Distribution,22121,Natural Gas Distribution (pt)
4923,pt,.   Transmission,48621,Pipeline Transportation of Natural Gas (pt)
4924,,Natural Gas Distribution,22121,Natural Gas Distribution (pt)
4925,,"Mixed, Manufactured, or Liquefied Petroleum Gas Production and/or Distribution",22121,Natural Gas Distribution (pt)
4931,,Electric and Other Services Combined,,
4931,pt,.   Hydroelectric Power Generation When Combined with Other Services,221111,Hydroelectric Power Generation (pt)
4931,pt,.   Electric Power Generation by Fossil Fuels When Combined with Other Services,221112,Fossil Fuel Electric Power Generation (pt)
4931,pt,.   Electric Power Generation by Nuclear Fuels When Combined with Other Services,221113,Nuclear Electric Power Generation (pt)
4931,pt,.   Other Electric Power Generation When Combined with Other Services,221119,Other Electric Power Generation (pt)
4931,pt,.   Electric Power Transmission When Combined with Other Services,221121,Electric Bulk Power Transmission and Control (pt)
4931,pt,.   Electric Power Distribution When Combined with Other Services,221122,Electric Power Distribution (pt)
4931,pt,.   Natural Gas When Combined with Electric Services,22121,Natural Gas Distribution (pt)
4932,,Gas and Other Services Combined,22121,Natural Gas Distribution (pt)
4939,,"Combination Utilities, NEC",,
4939,pt,.   Hydroelectric Power Generation When Combined with Other Services,221111,Hydroelectric Power Generation (pt)
4939,pt,.   Electric Power Generation by Fossil Fuels When Combined with Other Services,221112,Fossil Fuel Electric Power Generation (pt)
4939,pt,.   Electric Power Generation by Nuclear Fuels When Combined with Other Services,221113,Nuclear Electric Power Generation (pt)
4939,pt,.   Other Power Generation When Combined with Other Services,221119,Other Electric Power Generation (pt)
4939,pt,.   Electric Power Transmission When Combined with Other Services,221121,Electric Bulk Power Transmission and Control (pt)
4939,pt,.   Electric Power Distribution When Combined with Other Services,221122,Electric Power Distribution (pt)
4939,pt,.   Natural Gas Distribution when Combined with Other Services,22121,Natural Gas Distribution (pt)
4941,,Water Supply,22131,Water Supply and Irrigation Systems (pt)
4952,,Sewerage Systems,22132,Sewage Treatment Facilities
4953,,Refuse Systems,,
4953,pt,.   Materials Recovery Facilities,56292,Materials Recovery Facilities
4953,pt,.   Hazardous Waste Treatment and Disposal,562211,Hazardous Waste Treatment and Disposal
4953,pt,.   Solid Waste Landfills,562212,Solid Waste Landfills
4953,pt,.   Solid Waste Combustors and Incinerators,562213,Solid Waste Combustors and Incinerators
4953,pt,.   Other Nonhazardous Waste Treatment and Disposal,562219,Other Nonhazardous Waste Treatment and Disposal
4959,,"Sanitary Services, NEC",,
4959,pt,.   Vacuuming of Airport Runways,488119,Other Airport Operations (pt)
4959,pt,.   Remediation Services,56291,Remediation Services (pt)
4959,pt,.   Malaria Control and Mosquito Eradication,56171,Exterminating and Pest Control Services (pt)
4959,pt,.   Other,562998,All Other Miscellaneous Waste Management Services
4961,,Steam and Air-Conditioning Supply,22133,Steam and Air-Conditioning Supply
4971,,Irrigation Systems,22131,Water Supply and Irrigation Systems (pt)
,,Wholesale trade,,
50,,Wholesale trade--durable goods,,
5012,,Automobiles and Other Motor Vehicles,42111,Automobile and Other Motor Vehicle Wholesalers
5013,,Motor Vehicle Supplies and New Parts,,
5013,pt,.   Sold Via Retail Method,44131,Automotive Parts and Accessories Stores (pt)
5013,pt,.   Sold Via Wholesale Method,42112,Motor Vehicle Supplies and New Part Wholesalers
5014,,Tires and Tubes,,
5014,pt,.   Sold Via Retail Method,44132,Tire Dealers (pt) - Retail
5014,pt,.   Sold Via Wholesale Method,42113,Tire and Tube Wholesalers
5015,,"Motor Vehicle Parts, Used",,
5015,pt,.   Sold Via Retail Method,44131,Automotive Parts and Accessories (pt)
5015,pt,.   Sold Via Wholesale Method,42114,Motor Vehicle Part (Used) Wholesalers
5021,,Furniture,,
5021,pt,.   Sold Via Retail Method,44211,Furniture Stores (pt)
5021,pt,.   Sold Via Wholesale Method,42121,Furniture Wholesalers
5023,,Home Furnishings,,
5023,pt,.   Sold Via Retail Method,44221,Floor Covering Stores (pt)
5023,pt,.   Sold Via Wholesale Method,42122,Home Furnishing Wholesalers
5031,,"Lumber, Plywood, Millwork, and Wood Panels",42131,"Lumber, Plywood, Millwork, and Wood Panel Wholesalers"
5032,,"Brick, Stone and Related Construction Materials",,
5032,pt,.   Sold Via Retail Method,44419,Other Building Material Dealers (pt)
5032,pt,.   Sold Via Wholesale Method,42132,"Brick, Stone and Related Construction Material Wholesalers"
5033,,"Roofing, Siding, and Insulation Materials",42133,"Roofing, Siding, and Insulation Material Wholesalers"
5039,,"Construction Materials, NEC",,
5039,pt,.   Sold Via Retail Method,44419,Other Building Material Dealers (pt)
5039,pt,.   Sold Via Wholesale Method,42139,Other Construction Material Wholesalers
5043,,Photographic Equipment and Supplies,42141,Photographic Equipment and Supplies Wholesalers
5044,,Office Equipment,,
5044,pt,.   Sold Via Retail Method,45321,Office Supplies and Stationery Stores (pt)
5044,pt,.   Sold Via Wholesale Method,42142,Office Equipment Wholesalers
5045,,Computers and Computer Peripheral Equipment and Software,,
5045,pt,.   Sold Via Wholesale Method,42143,Computer and Computer Peripheral Equipment and Software Wholesalers
5045,pt,.   Sold Via Retail Method,44312,Computer and Software Stores (pt) - Retail
5046,,"Commercial Equipment, NEC",42144,Other Commercial Equipment Wholesalers
5047,,"Medical, Dental, and Hospital Equipment and Supplies",,
5047,pt,.   Sold Via Wholesale Method,42145,"Medical, Dental, and Hospital Equipment and Supplies Wholesalers"
5047,pt,.   Sold Via Retail Method,446199,All Other Health and Personal Care Stores (pt) - Retail
5048,,Ophthalmic Goods,42146,Ophthalmic Goods Wholesalers
5049,,"Professional Equipment and Supplies, NEC",,
5049,pt,.   Sold Via Wholesale Method,42149,Other Professional Equipment and Supplies Wholesalers
5049,pt,.   Sold Via Retail Method,45321,Office Supplies and Stationery Stores (pt) - Retail
5051,,Metals Service Centers and Offices,42151,Metals Service Centers and Offices
5052,,Coal and Other Minerals and Ores,42152,Coal and Other Mineral and Ore Wholesalers
5063,,"Electrical Apparatus and Equipment Wiring Supplies, and Construction Materials",,
5063,pt,.   Sold Via Retail Method,44419,Other Building Material Dealers (pt)
5063,pt,.   Sold Via Wholesale Method,42161,"Electrical Apparatus and Equipment, Wiring Supplies, and Construction Material Wholesalers"
5064,,"Electrical Appliances, Television and Radio Sets",42162,"Electrical Appliance, Television, and Radio Set Wholesalers"
5065,,"Electronic Parts and Equipment, NEC",42169,Other Electronic Parts and Equipment Wholesalers
5072,,Hardware,,
5072,pt,.   Sold Via Retail Method,44413,Hardware Stores (pt)
5072,pt,.   Sold Via Wholesale Method,42171,Hardware Wholesalers
5074,,Plumbing and Heating Equipment and Supplies (Hydronics),,
5074,pt,.   Sold Via Retail Method,44419,Other Building Material Dealers (pt)
5074,pt,.   Sold Via Wholesale Method,42172,Plumbing and Heating Equipment and Supplies (Hydronics) Wholesalers
5075,,Warm Air Heating and Air-Conditioning Equipment and Supplies,42173,Warm Air Heating and Air-Conditioning Equipment and Supplies Wholesalers
5078,,Refrigeration Equipment and Supplies,42174,Refrigeration Equipment and Supplies Wholesalers
5082,,Construction and Mining (Except Petroleum) Machinery and Equipment,42181,Construction and Mining (except Oil Well) Machinery and Equipment Wholesalers
5083,,Farm and Garden Machinery and Equipment,,
5083,pt,.   Sold Via Wholesale Method,42182,Farm and Garden Machinery and Equipment Wholesalers
5083,pt,.   Sold Via Retail Method,44421,Outdoor Power Equipment Stores (pt) - Retail
5084,,Industrial Machinery and Equipment,42183,Industrial Machinery and Equipment Wholesalers (pt)
5085,,Industrial Supplies,,
5085,pt,.   Fluid Power Accessories,42183,Industrial Machinery and Equipment Wholesalers (pt)
5085,pt,.   Except Fluid Power Accessories,42184,Industrial Supplies Wholesalers
5087,,Service Establishment Equipment and Supplies,,
5087,pt,.   Sold Via Wholesale Method,42185,Service Establishment Equipment and Supplies Wholesalers
5087,pt,.   Sold Via Retail Method,,
5087,pt,.   Beauty and Barber Shop Equipment and Supplies,44612,"Cosmetics, Beauty Supplies, and Perfume Stores (pt)"
5088,,"Transportation Equipment and Supplies, Except Motor Vehicles",42186,Transportation Equipment and Supplies (except Motor Vehicles) Wholesalers
5091,,Sporting and Recreational Goods and Supplies,42191,Sporting and Recreational Goods and Supplies Wholesalers
5092,,Toys and Hobby Goods and Supplies,42192,Toy and Hobby Goods and Supplies Wholesalers
5093,,Scrap and Waste Materials,42193,Recyclable Material Wholesalers
5094,,"Jewelry, Watches, Precious Stones, and Precious Metals",42194,"Jewelry, Watch , Precious Stone, and Precious Metal Wholesalers"
5099,,"Durable Goods, NEC",42199,Other Miscellaneous Durable Goods Wholesalers (pt)
51,,Wholesale trade--nondurable goods,,
5111,,Printing and Writing Paper,42211,Printing and Writing Paper Wholesalers
5112,,Stationery and Office Supplies,,
5112,pt,.   Sold Via Retail Method,45321,Office Supplies and Stationery Stores (pt)
5112,pt,.   Sold Via Wholesale Method,42212,Stationery and Office Supplies Wholesalers
5113,,Industrial and Personal Service Paper,42213,Industrial and Personal Service Paper Wholesalers
5122,,"Drugs, Drug Proprietaries, and Druggists' Sundries",42221,Drugs and Druggists' Sundries Wholesalers
5131,,"Piece Goods, Notions, and Other Dry Goods",,
5131,pt,".   Converters, Broadwoven Piece Good Fabric",313311,Broadwoven Fabric Finishing Mills (pt)
5131,pt,".   Converters, Except Broadwoven Fabric",313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills (pt)
5131,pt,.   Except Converters,42231,"Piece Goods, Notions, and Other Dry Goods Wholesalers"
5136,,Men's and Boys' Clothing and Furnishings,42232,Men's and Boys' Clothing and Furnishings Wholesalers
5137,,"Women's, Children's, and Infants' Clothing and Accessories",42233,"Women's, Children's, and Infants' Clothing and Accessories Wholesalers"
5139,,Footwear,42234,Footwear Wholesalers
5141,,"Groceries, General Line",42241,General Line Grocery Wholesalers
5142,,Packaged Frozen Foods,42242,Packaged Frozen Food Wholesalers
5143,,"Dairy Products, Except Dried or Canned",42243,Dairy Products (except Dried or Canned) Wholesalers
5144,,Poultry and Poultry Products,42244,Poultry and Poultry Product Wholesalers
5145,,Confectionery,42245,Confectionery Wholesalers
5146,,Fish and Seafoods,42246,Fish and Seafood Wholesalers
5147,,Meats and Meat Products,,
5147,pt,.   Boxed Beef,311612,Meat Processed from Carcasses (pt)
5147,pt,.   Except Boxed Beef,42247,Meat and Meat Product Wholesalers
5148,,Fresh Fruits and Vegetables,42248,Fresh Fruit and Vegetable Wholesalers
5149,,"Groceries and Related Products, NEC",,
5149,pt,.   Bottling Mineral or Spring Water,312112,Bottled Water Manufacturing (pt)
5149,pt,.   Except Bottling Mineral or Spring Water,42249,Other Grocery and Related Product Wholesalers
5153,,Grain and Field Beans,42251,Grain and Field Bean Wholesalers
5154,,Livestock,42252,Livestock Wholesalers
5159,,"Farm-Product Raw Materials, NEC",42259,Other Farm Product Raw Material Wholesalers
