SIC,Part.Indicator,SIC.Titles.and.Part.Descriptions,X1997.NAICS,X1997.NAICS.Titles.and.Part.Indicators
5172,NA,"Petroleum and Petroleum Products Wholesalers, Except Bulk Stations and Terminals",42272,Petroleum and Petroleum Products Wholesalers (except Bulk Stations and Terminals)
5181,NA,Beer and Ale,42281,Beer and Ale Wholesalers
5182,NA,Wine and Distilled Alcoholic Beverages,42282,Wine and Distilled Alcoholic Beverage Wholesalers
5191,NA,Farm Supplies,NA,NA
5192,NA,"Books, Periodicals, and Newspapers",42292,"Book, Periodical, and Newspaper Wholesalers"
5193,NA,"Flowers, Nursery Stock, and Florists' Supplies",NA,NA
5194,NA,Tobacco and Tobacco Products,42294,Tobacco and Tobacco Product Wholesalers
5198,NA,"Paint, Varnishes, and Supplies",42295,"Paint, Varnish, and Supplies Wholesalers"
5199,NA,"Nondurable Goods, NEC",NA,NA
NA,NA,Retail trade,NA,NA
52,NA,"Building materials, hardware, garden supply, & mobile home",NA,NA
5211,NA,Lumber and Other Building Materials Dealers,NA,NA
5231,NA,"Paint, Glass, and Wallpaper Stores",NA,NA
5251,NA,Hardware Stores,44413,Hardware Stores (pt)
5261,NA,"Retail Nurseries, Lawn and Garden Supply Stores",NA,NA
5271,NA,Mobile Home Dealers,45393,Manufactured (Mobile) Home Dealers
53,NA,General merchandise stores,NA,NA
5311,NA,Department Stores,45211,Department Stores
5331,NA,Variety Stores,45299,All Other General Merchandise Stores (pt)
5399,NA,Miscellaneous General Merchandise Stores,NA,NA
54,NA,Food stores,NA,NA
5411,NA,Grocery Stores,NA,NA
5421,NA,"Meat and Fish (Seafood) Markets, Including Freezer Provisioners",NA,NA
5431,NA,Fruit and Vegetable Markets,44523,Fruit and Vegetable Markets
5441,NA,"Candy, Nut, and Confectionery Stores",NA,NA
5451,NA,Dairy Products Stores,445299,All Other Specialty Food Stores (pt)
5461,NA,Retail Bakeries,NA,NA
5499,NA,Miscellaneous Food Stores,NA,NA
55,NA,Automotive dealers and gasoline service stations,NA,NA
5511,NA,Motor Vehicle Dealers (New and Used),44111,New Car Dealers
5521,NA,Motor Vehicle Dealers (Used Only),44112,Used Car Dealers
5531,NA,Auto and Home Supply Stores,NA,NA
5541,NA,Gasoline Service Stations,NA,NA
5551,NA,Boat Dealers,441222,Boat Dealers
5561,NA,Recreational Vehicle Dealers,44121,Recreational Vehicle Dealers
5571,NA,Motorcycle Dealers,441221,Motorcycle Dealers
5599,NA,"Automotive Dealers, NEC",441229,All Other Motor Vehicle Dealers
56,NA,Apparel and accessory stores,NA,NA
5611,NA,Men's and Boys' Clothing and Accessory Stores,NA,NA
5621,NA,Women's Clothing Stores,44812,Women's Clothing Stores
5632,NA,Women's Accessory and Specialty Stores,NA,NA
5641,NA,Children's and Infants' Wear Stores,44813,Children's and Infants' Clothing Stores
5651,NA,Family Clothing Stores,44814,Family Clothing Stores
5661,NA,Shoe Stores,44821,Shoe Stores
5699,NA,Miscellaneous Apparel and Accessory Stores,NA,NA
57,NA,"Furniture, home furnishings and equipment stores",NA,NA
5712,NA,Furniture Stores,NA,NA
5713,NA,Floor Covering Stores,44221,Floor Covering Stores (pt)
5714,NA,"Drapery, Curtain, and Upholstery Stores",NA,NA
5719,NA,Miscellaneous Homefurnishings Stores,NA,NA
5722,NA,Household Appliance Stores,443111,Household Appliance Stores
5731,NA,"Radio, Television, and Consumer Electronics Stores",NA,NA
5734,NA,Computer and Computer Software Stores,44312,Computer and  Software Stores (pt)
5735,NA,Record and Prerecorded Tape Stores,45122,"Prerecorded Tape, Compact Disc, and Record Stores"
5736,NA,Musical Instrument Stores,45114,Musical Instrument and Supplies Stores
58,NA,Eating and drinking places,NA,NA
5812,NA,Eating and Drinking Places,NA,NA
5813,NA,Drinking Places (Alcoholic Beverages),72241,Drinking Places (Alcoholic Beverages)
59,NA,Miscellaneous retail,NA,NA
5912,NA,Drug Stores and Proprietary Stores,44611,Pharmacies and Drug Stores
5921,NA,Liquor Stores,44531,"Beer, Wine, and Liquor Stores"
5932,NA,Used Merchandise Stores,NA,NA
5941,NA,Sporting Goods Stores and Bicycle Shops,45111,Sporting Goods Stores
5942,NA,Book Stores,451211,Book Stores
5943,NA,Stationery Stores,45321,Office Supplies and Stationery Stores (pt)
5944,NA,Jewelry Stores,44831,Jewelry Stores
5945,NA,"Hobby, Toy, and Game Shops",45112,"Hobby, Toy, and Game Stores"
5946,NA,Camera and Photographic Supply Stores,44313,Camera and Photographic Supplies Stores
5947,NA,"Gift, Novelty, and Souvenir Shops",45322,"Gift, Novelty, and Souvenir Stores"
5948,NA,Luggage and Leather Goods Stores,44832,Luggage and Leather Goods Stores
5949,NA,"Sewing, Needlework, and Piece Goods Stores",45113,"Sewing, Needlework, and Piece Goods Stores (pt)"
5961,NA,Catalog and Mail-Order Houses,45411,Electronic Shopping and Mail-Order Houses
5962,NA,Automatic Merchandising Machine Operator,45421,Vending Machine Operators
5963,NA,Direct Selling Establishments,NA,NA
5983,NA,Fuel Oil Dealers,454311,Heating Oil Dealers (pt)
5984,NA,Liquefied Petroleum Gas (Bottled Gas) Dealers,454312,Liquefied Petroleum Gas (Bottled Gas) Dealers (pt)
5989,NA,"Fuel Dealers, NEC",454319,Other Fuel Dealers
5992,NA,Florists,45311,Florists
5993,NA,Tobacco Stores and Stands,453991,Tobacco Stores
5994,NA,News Dealers and Newsstands,451212,News Dealers and Newsstands
5995,NA,Optical Goods Stores,NA,NA
5999,NA,"Miscellaneous Retail Stores, NEC",NA,NA
NA,NA,"Finance, insurance, and real estate",NA,NA
60,NA,Depository institutions,NA,NA
6011,NA,Federal Reserve Banks,52111,Monetary Authorities-Central Banks
6019,NA,"Central Reserve Depository Institutions, NEC",522298,All Other Nondepository Credit Intermediation (pt)
6021,NA,National Commercial Banks,NA,NA
6022,NA,State Commercial Banks,NA,NA
6029,NA,"Commercial Banks, NEC",52211,Commercial Banking (pt)
6035,NA,"Savings Institutions, Federally Chartered",52212,Savings Institutions (pt)
6036,NA,"Savings institutions, Not Federally Chartered",52212,Savings Institutions (pt)
6061,NA,"Credit Unions, Federally Chartered",52213,Credit Unions (pt)
6062,NA,"Credit Unions, Not Federally Chartered",52213,Credit Unions (pt)
6081,NA,Branches and Agencies of Foreign Banks,NA,NA
6082,NA,Foreign Trade and International Banking Institutions,NA,NA
6091,NA,Nondeposit Trust Facilities,523991,"Trust, Fiduciary, and Custody Activities (pt)"
6099,NA,"Functions Related to Deposit Banking, NEC",NA,NA
61,NA,Nondepository credit institutions,NA,NA
6111,NA,Federal and Federally-Sponsored Credit Agencies,NA,NA
6141,NA,Personal Credit Institutions,NA,NA
6153,NA,"Short-Term Business Credit Institutions, Except Agricultural",NA,NA
6159,NA,Miscellaneous Business Credit Institutions,NA,NA
6162,NA,Mortgage Bankers and Loan Correspondents,NA,NA
6163,NA,Loan Brokers,52231,Mortgage and Nonmortgage Loan Brokers
62,NA,"Security, commodity brokers, and services",NA,NA
6211,NA,"Security Brokers, Dealers, and Flotation Companies",NA,NA
6221,NA,Commodity Contracts Brokers and Dealers,NA,NA
6231,NA,Security and Commodity Exchanges,52321,Securities and Commodity Exchanges
6282,NA,Investment Advice,NA,NA
6289,NA,"Services Allied With the Exchange of Securities or Commodities, NEC",NA,NA
63,NA,Insurance carriers,NA,NA
6311,NA,Life Insurance,NA,NA
6321,NA,Accident and Health Insurance,NA,NA
6324,NA,Hospital and Medical Service Plans,NA,NA
6331,NA,"Fire, Marine, and Casualty Insurance",NA,NA
6351,NA,Surety Insurance,NA,NA
6361,NA,Title Insurance,NA,NA
6371,NA,"Pension, Health, and Welfare Funds",NA,NA
6399,NA,"Insurance Carriers, NEC",524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers"
64,NA,"Insurance agents, brokers, and service",NA,NA
6411,NA,"Insurance Agents, Brokers, and Service",NA,NA
65,NA,Real estate,NA,NA
6512,NA,Operators of Nonresidential Buildings,NA,NA
6513,NA,Operators of Apartment Buildings,53111,Lessors of Residential Buildings and Dwellings (pt)
6514,NA,Operators of Dwellings Other Than Apartment Buildings,53111,Lessors of Residential Buildings and Dwellings (pt)
6515,NA,Operators of Residential Mobile Home Sites,53119,Lessors of Other Real Estate Property(pt)
6517,NA,Lessors of Railroad Property,53119,Lessors of Other Real Estate Property (pt)
6519,NA,"Lessors of Real Property, NEC",53119,Lessors of Other Real Estate Property (pt)
6531,NA,Real Estate Agents and Managers,NA,NA
6541,NA,Title Abstract Offices,541191,Title Abstract and Settlement Offices
6552,NA,"Land Subdividers and Developers, Except Cemeteries",23311,Land Subdivision and Land Development
6553,NA,Cemetery Subdividers and Developers,81222,Cemeteries and Crematories (pt)
67,NA,Holding and other investment offices,NA,NA
6712,NA,Offices of Bank Holding Companies,551111,Offices of Bank Holding Companies
6719,NA,"Offices of Holding Companies, NEC",551112,Offices of Other Holding Companies
6722,NA,"Management Investment Offices, Open-End",52591,Open-End Investment Funds
6726,NA,"Unit Investment Trusts, Face-Amount Certificate Offices, and Closed-End Management Investment Offices",52599,Other Financial Vehicles
6732,NA,"Education, Religious, and Charitable Trusts",813211,Grantmaking Foundations
6733,NA,"Trusts, Except Educational, Religious, and Charitable",NA,NA
6792,NA,Oil Royalty Traders,NA,NA
6794,NA,Patent Owners and Lessors,53311,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works) (pt)
6798,NA,Real Estate Investment Trusts,52593,Real Estate Investment Trusts
6799,NA,"Investors, NEC",NA,NA
NA,NA,Service industries,NA,NA
70,NA,"Hotels, rooming houses, camps, and other lodging places",NA,NA
7011,NA,Hotels and Motels,NA,NA
7021,NA,Rooming and Boarding Houses,72131,Rooming and Boarding Houses (pt)
7032,NA,Sporting and Recreational Camps,721214,Recreational and Vacation Camps (except Campgrounds)
7033,NA,Recreational Vehicle Parks and Campsites,721211,RV (Recreational Vehicle Parks) and Campgrounds
7041,NA,"Organization Hotels and Lodging Houses, on Membership Basis",NA,NA
72,NA,Personal services,NA,NA
7211,NA,"Power Laundries, Family and Commercial",81232,Drycleaning and Laundry Services (except Coin-Operated) (pt)
7212,NA,"Garment Pressing, and Agents for Laundries and Drycleaners",81232,Drycleaning and Laundry Services (except Coin-Operated) (pt)
7213,NA,Linen Supply,812331,Linen Supply (pt)
7215,NA,Coin-Operated Laundries and Drycleaning,81231,Coin-Operated Laundries and Drycleaners
7216,NA,"Drycleaning Plants, Except Rug Cleaning",81232,Drycleaning and Laundry Services (except Coin-Operated) (pt)
7217,NA,Carpet and Upholstery Cleaning,56174,Carpet and Upholstery Cleaning Services
7218,NA,Industrial Launderers,812332,Industrial Launderers
7219,NA,"Laundry and Garment Services, NEC",NA,NA
7221,NA,"Photographic Studios, Portrait",541921,"Photographic Studios, Portrait"
7231,NA,Beauty Shops,NA,NA
7241,NA,Barber Shops,NA,NA
7251,NA,Shoe Repair Shops and Shoeshine Parlors,NA,NA
7261,NA,Funeral Services and Crematories,NA,NA
7291,NA,Tax Return Preparation Services,541213,Tax Preparation Services
7299,NA,"Miscellaneous Personal Services, NEC",NA,NA
73,NA,Business services,NA,NA
7311,NA,Advertising Agencies,54181,Advertising Agencies
7312,NA,Outdoor Advertising Services,54185,Display Advertising (pt)
7313,NA,"Radio, Television, and Publishers' Advertising Representatives",54184,Media Representatives
7319,NA,"Advertising, NEC",NA,NA
7322,NA,Adjustment and Collection Services,56144,Collection Agencies
7323,NA,Credit Reporting Services,56145,Credit Bureaus
7331,NA,Direct Mail Advertising Services,NA,NA
7334,NA,Photocopying and Duplicating Services,NA,NA
7335,NA,Commercial Photography,541922,Commercial Photography (pt)
7336,NA,Commercial Art and Graphic Design,54143,Graphic Design Services (pt)
7338,NA,Secretarial and Court Reporting Services,NA,NA
7342,NA,Disinfecting and Pest Control Services,NA,NA
7349,NA,"Building Cleaning and Maintenance Services, NEC",NA,NA
7352,NA,Medical Equipment Rental and Leasing,NA,NA
7353,NA,Heavy Construction Equipment Rental and Leasing,NA,NA
7359,NA,"Equipment Rental and Leasing, NEC",NA,NA
7361,NA,Employment Agencies,NA,NA
7363,NA,Help Supply Services,NA,NA
7371,NA,Computer Programming Services,541511,Custom Computer Programming Services
7372,NA,Prepackaged Software,NA,NA
7373,NA,Computer Integrated Systems Design,541512,Computer Systems Design Services (pt)
7374,NA,Computer Processing and Data Preparation and Processing Services,51421,Data Processing Services
7375,NA,Information Retrieval Services,514191,On-Line Information Services
7376,NA,Computer Facilities Management Services,541513,Computer Facilities Management Services
7377,NA,Computer Rental and Leasing,53242,Office Machinery and Equipment Rental and Leasing (pt)
7378,NA,Computer Maintenance and Repair,NA,NA
7379,NA,"Computer Related Services, NEC",NA,NA
7381,NA,"Detective, Guard, and Armored Car Services",NA,NA
7382,NA,Security Systems Services,561621,Security Systems Services (except Locksmiths) (pt)
7383,NA,News Syndicates,NA,NA
7384,NA,Photofinishing Laboratories,NA,NA
7389,NA,"Business Services, NEC",NA,NA
75,NA,"Automotive repair, services, and parking",NA,NA
7513,NA,"Truck Rental and Leasing, Without Drivers",53212,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing (pt)"
7514,NA,Passenger Car Rental,532111,Passenger Cars Rental
7515,NA,Passenger Car Leasing,532112,Passenger Cars Leasing
7519,NA,Utility Trailer and Recreational Vehicle Rental,53212,"Truck, Utility Trailer and RV (Recreational Vehicles) Rental and Leasing  (pt)"
7521,NA,Automobile Parking,81293,Parking Lots and Garages (pt)
7532,NA,"Top, Body, and Upholstery Repair Shops and Paint Shops",811121,"Automotive Body, Paint, and Interior Repair and Maintenance"
7533,NA,Automotive Exhaust System Repair Shops,811112,Automotive Exhaust System Repair
7534,NA,Tire Retreading and Repair Shops,NA,NA
7536,NA,Automotive Glass Replacement Shops,811122,Automotive Glass Replacement Shops (pt)
7537,NA,Automotive Transmission Repair Shops,811113,Automotive Transmission Repair
7538,NA,General Automotive Repair Shops,811111,General Automotive Repair
7539,NA,"Automotive Repair Shops, NEC",811118,Other Automotive Mechanical and Electrical Repair and Maintenance
7542,NA,Carwashes,811192,Carwashes
7549,NA,"Automotive Services, Except Repair and Carwashes",NA,NA
76,NA,Miscellaneous repair services,NA,NA
7622,NA,Radio and Television Repair Shops,NA,NA
7623,NA,Refrigeration and Air-Conditioning Services and Repair Shops,NA,NA
7629,NA,"Electrical and Electronic Repair Shops, NEC",NA,NA
7631,NA,"Watch, Clock, and Jewelry Repair",81149,Other Personal and Household Goods Repair and Maintenance (pt)
7641,NA,Reupholstery and Furniture Repair,NA,NA
7692,NA,Welding Repair,81131,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance (pt)
7694,NA,Armature Rewinding Shops,NA,NA
7699,NA,"Repair Shops and Related Services, NEC",NA,NA
78,NA,Motion pictures,NA,NA
7812,NA,Motion Picture and Video Tape Production,51211,Motion Picture and Video Production
7819,NA,Services Allied to Motion Picture Production,NA,NA
7822,NA,Motion Picture and Video Tape Distribution,NA,NA
7829,NA,Services Allied to Motion Picture Distribution,NA,NA
7832,NA,"Motion Picture Theaters, Except Drive-In",512131,"Motion Picture Theaters, Except Drive-In"
7833,NA,Drive-In Motion Picture Theaters,512132,Drive-In Motion Picture Theaters
7841,NA,Video Tape Rental,53223,Video Tapes and Disc Rental
79,NA,Amusement and recreational services,NA,NA
7911,NA,"Dance Studios, Schools, and Halls",NA,NA
7922,NA,Theatrical Producers (Except Motion Picture) and Miscellaneous Theatrical Services,NA,NA
7929,NA,"Bands, Orchestras, Actors, and Other Entertainers and Entertainment Groups",NA,NA
7933,NA,Bowling Centers,71395,Bowling Centers
7941,NA,Professional Sports Clubs and Promoters,NA,NA
7948,NA,"Racing, Including Track Operations",NA,NA
7991,NA,Physical Fitness Facilities,71394,Fitness and Recreational Sports Centers (pt)
7992,NA,Public Golf Courses,71391,Golf Courses and Country Clubs (pt)
7993,NA,Coin-Operated Amusement Devices,NA,NA
7996,NA,Amusement Parks,71311,Amusement and Theme Parks
7997,NA,Membership Sports and Recreation Clubs,NA,NA
7999,NA,"Amusement and Recreation Services, NEC",NA,NA
80,NA,Health services,NA,NA
8011,NA,Offices and Clinics of Doctors of Medicine,NA,NA
8021,NA,Offices and Clinics of Dentists,62121,Offices of Dentists
8031,NA,Offices and Clinics of Doctors of Osteopathy,NA,NA
8041,NA,Offices and Clinics of Chiropractors,62131,Offices of Chiropractors
8042,NA,Offices and Clinics of Optometrists,62132,Offices of Optometrists
8043,NA,Offices and Clinics of Podiatrists,621391,Offices of Podiatrists
8049,NA,"Offices and Clinics of Health Practitioners, NEC",NA,NA
8051,NA,Skilled Nursing Care Facilities,NA,NA
8052,NA,Intermediate Care Facilities,NA,NA
8059,NA,"Nursing and Personal Care Facilities, NEC",NA,NA
8062,NA,General Medical and Surgical Hospitals,62211,General Medical and Surgical Hospitals (pt)
8063,NA,Psychiatric Hospitals,62221,Psychiatric and Substance Abuse Hospitals (pt)
8069,NA,"Specialty Hospitals, Except Psychiatric",NA,NA
8071,NA,Medical Laboratories,NA,NA
8072,NA,Dental Laboratories,339116,Dental Laboratories
8082,NA,Home Health Care Services,62161,Home Health Care Services
8092,NA,Kidney Dialysis Centers,621492,Kidney Dialysis Centers
8093,NA,"Specialty Outpatient Facilities, NEC",NA,NA
8099,NA,"Health and Allied Services, NEC",NA,NA
81,NA,Legal services,NA,NA
8111,NA,Legal Services,54111,Offices of Lawyers
82,NA,Educational services,NA,NA
8211,NA,Elementary and Secondary Schools,61111,Elementary and Secondary Schools
8221,NA,"Colleges, Universities, and Professional Schools",61131,"Colleges, Universities, and Professional Schools"
8222,NA,Junior Colleges and Technical Institutes,61121,Junior Colleges
8231,NA,Libraries,51412,Libraries and Archives
8243,NA,Data Processing Schools,NA,NA
8244,NA,Business and Secretarial Schools,61141,Business and Secretarial Schools
8249,NA,"Vocational Schools, NEC",NA,NA
8299,NA,"Schools and Educational Services, NEC",NA,NA
83,NA,Social services,NA,NA
8322,NA,Individual and Family Social Services,NA,NA
8331,NA,Job Training and Vocational Rehabilitation Services,62431,Vocational Rehabilitation Services
8351,NA,Child Day Care Services,62441,Child Day Care Services (pt)
8361,NA,Residential Care,NA,NA
8399,NA,"Social Services, NEC",NA,NA
84,NA,"Museums, art galleries, botanical & zoological gardens",NA,NA
8412,NA,Museums and Art Galleries,NA,NA
8422,NA,Arboreta and Botanical or Zoological Gardens,NA,NA
86,NA,Membership organizations,NA,NA
8611,NA,Business Associations,81391,Business Associations (pt)
8621,NA,Professional Membership Organizations,81392,Professional Organizations
8631,NA,Labor Unions and Similar Labor Organizations,81393,Labor Unions and Similar Labor Organizations
8641,NA,"Civic, Social, and Fraternal Associations",NA,NA
8651,NA,Political Organizations,81394,Political Organizations
8661,NA,Religious Organizations,81311,Religious Organizations
8699,NA,"Membership Organizations, NEC",NA,NA
87,NA,Engineering and management services,NA,NA
8711,NA,Engineering Services,54133,Engineering Services (pt)
8712,NA,Architectural Services,54131,Architectural Services
8713,NA,Surveying Services,NA,NA
8721,NA,"Accounting, Auditing, and Bookkeeping Services",NA,NA
8731,NA,Commercial Physical and Biological Research,54171,"Research and Development in the Physical, Engineering, and Life Sciences (pt)"
8732,NA,"Commercial Economic, Sociological, and Educational Research",NA,NA
8733,NA,Noncommercial Research Organizations,NA,NA
8734,NA,Testing Laboratories,NA,NA
8741,NA,Management Services,NA,NA
8742,NA,Management Consulting Services,NA,NA
8743,NA,Public Relations Services,54182,Public Relations Agencies
8744,NA,Facilities Support Management Services,56121,Facilities Support Services
8748,NA,"Business Consulting Services, NEC",NA,NA
88,NA,Private households,NA,NA
8811,NA,Private Households,81411,Private Households
89,NA,Miscellaneous services,NA,NA
8999,NA,"Services, NEC",NA,NA
NA,NA,Public Administration,NA,NA
91,NA,"Executive, legislative, and general government",NA,NA
9111,NA,Executive Offices,92111,Executive Offices
9121,NA,Legislative Bodies,92112,Legislative Bodies
9131,NA,"Executive and Legislative Offices, Combined",92114,"Executive and Legislative Offices, Combined"
9199,NA,"General Government, NEC",92119,Other General Government Support
92,NA,"Justice, public order, and safety",NA,NA
9211,NA,Courts,92211,Courts
9221,NA,Police Protection,92212,Police Protection
9222,NA,Legal Counsel and Prosecution,92213,Legal Counsel and Prosecution
9223,NA,Correctional Institutions,92214,Correctional Institutions
9224,NA,Fire Protection,92216,Fire Protection
9229,NA,"Public Order and Safety, NEC",92219,"Other Justice, Public Order, and Safety"
93,NA,"Finance, taxation, and monetary policy",NA,NA
9311,NA,"Public Finance, Taxation, and Monetary Policy",92113,Public Finance Activities
94,NA,Administration of human resources,NA,NA
9411,NA,Administration of Educational Programs,92311,Administration of Education Programs
9431,NA,Administration of Public Health Programs,92312,Administration of Public Health Programs
9441,NA,"Administration of Social, Human Resource and Income Maintenance Programs",92313,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)"
9451,NA,"Administration of Veterans' Affairs, Except Health Insurance",92314,Administration of Veterans' Affairs
95,NA,Environmental quality and housing,NA,NA
9511,NA,Air and Water Resource and Solid Waste Management,92411,Administration of Air and Water Resource and Solid Waste Management Programs
9512,NA,"Land, Mineral, Wildlife, and Forest Conservation",92412,Administration of Conservation Programs
9531,NA,Administration of Housing Programs,92511,Administration of Housing Programs
9532,NA,Administration of Urban Planning and Community and Rural Development,92512,Administration of Urban Planning and Community and Rural Development
96,NA,Administration of economic programs,NA,NA
9611,NA,Administration of General Economic Programs,92611,Administration of General Economic Programs
9621,NA,Regulation and Administration of Transportation Programs,NA,NA
9631,NA,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities",92613,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities"
9641,NA,Regulation of Agricultural Marketing and Commodities,92614,Regulation of Agricultural Marketing and Commodities
9651,NA,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors",92615,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors"
9661,NA,Space Research and Technology,92711,Space Research and Technology
97,NA,National security and international affairs,NA,NA
9711,NA,National Security,92811,National Security
9721,NA,International Affairs,92812,International Affairs
NA,NA,Nonclassifiable establishments,NA,NA
9999,NA,Nonclassifiable Establishments,99999,Unclassified Establishments
