Name,City,State,Manager,"Vintage year","Fund size","Average investment","Investment strategy","Making new investments?","Investor relations name","Investor relations email","Investor relations phone"
"Triad Investments LP","New York",NY,"Triad Investments LLC",1983,919715,165832,Multiple,No,"Sahra Halpern",shalpern@bcfcapital.com,212-243-7360
"True West Capital Partners Fund II, L.P.","Los Angeles",CA,"True West Capital Partners",2015,120778238,4147744,Mezzanine,No,"Steven R. Wilkins",srw@truewestcp.com,503-517-4628
"True West Capital Partners Fund III, L.P.","Los Angeles",CA,"True West Management Company LLC",2020,222752532,3359398,Mezzanine,Yes,"Steven R. Wilkins",srw@truewestcp.com,503-517-4628
"TTGA SBIC Pioneer Fund I, L.P.",Cincinnati,OH,"The Tokarz Group Advisers, LLC",2021,168500000,6550313,Mezzanine,Yes,"David J. Williams",david.williams@ttga.com,513-725-1861
"UMB Capital Corporation","Kansas City",MO,"UMB Bank",1984,53410000,1126132,Multiple,No,"Jacquie Ward",Jacquie.Ward@umb.com,816-860-7215
"University Ventures, Inc.","New Brunswick",NJ,"University Ventures, Inc.",1970,3420832,335848,Multiple,No,"Leah Apgar",lapgar@newjerseycommunitycapital.org,732-640-2061
"Valesco Fund II, L.P.",Dallas,TX,"Valesco Industries",2016,251949798,6863820,"Hybrid Debt/Equity",No,"Daniel H. Moore",bmoore@valescoind.com,214-880-8690
"Valesco Fund III, L.P.",Dallas,TX,"Valesco Industries",2022,396743207,2100583,"Hybrid Debt/Equity",Yes,"Stephanie Drake",sdrake@valescoind.com,214-393-2533
"Walden Venture Capital VIII SBIC, L.P.","San Francisco",CA,"WaldenVC Media II, LLC",2013,73824223,822889,Venture,No,"Matt Miller",matt@waldenvc.com,415-273-4242
"Wasatch Venture Fund II, LLC","Salt Lake City",UT,"Wasatch Management Partners, LLC",1999,2947220,,Venture,No,"Nick Efstratis",epic@cornerstone.vc,801-524-8936
"Wasatch Venture Fund III, L.L.C.","Salt Lake City",UT,"Wasatch Management Partners, LLC",2001,17590108,237865,Venture,No,"Nick Efstratis",epic@cornerstone.vc,801-524-8939
"Wells Fargo Strategic Capital SBIC, L.P.",Charlotte,NC,"Wells Fargo Central Pacific Holdings. Inc",2020,200000000,6437497,"Hybrid Debt/Equity",Yes,"Tim Rafalovich",tim.rafal@wellsfargo.com,949-251-4321
"Willow Tree Credit Partners SBIC, LP","New York",NY,"Willow Tree Credit Partners",2019,195790373,6190375,"Hybrid Debt/Equity",Yes,"Mark Klingensmith, CFO",klingensmith@willowtreelp.com,212-218-1080
"Zions SBIC, L.L.C.","Salt Lake City",UT,"DWMC II, LLC",2001,100000000,538203,Multiple,No,"Nick Efstratis",epic@cornerstone.vc,801-524-8939
