"","NaicsCode","NaicsDescription"
"1182",541710,"Research and Development in the Physical, Engineering, and Life Scienc"
"1183",541711,"Research and Development in Biotechnology"
"1184",541712,"Research and Development in the Physical, Engineering, and Life Scienc"
"1185",541713,NA
"1186",541714,NA
"1187",541715,NA
"1188",541720,"Research and Development in the Social Sciences and Humanities"
"1189",541810,"Advertising Agencies"
"1190",541820,"Public Relations Agencies"
"1191",541830,"Media Buying Agencies"
"1192",541840,"Media Representatives"
"1193",541850,"Display Advertising"
"1194",541860,"Direct Mail Advertising"
"1195",541870,"Advertising Material Distribution Services"
"1196",541890,"Other Services Related to Advertising"
"1197",541910,"Marketing Research and Public Opinion Polling"
"1198",541921,"Photography Studios, Portrait"
"1199",541922,"Commercial Photography"
"1200",541930,"Translation and Interpretation Services"
"1201",541940,"Veterinary Services"
"1202",541940,NA
"1203",541990,"All Other Professional, Scientific, and Technical Services"
"1204",551111,"Offices of Bank Holding Companies"
"1205",551112,"Offices of Other Holding Companies"
"1206",551112,NA
"1207",551114,"Corporate, Subsidiary, and Regional Managing Offices"
"1208",561110,"Office Administrative Services"
"1209",561110,NA
"1210",561210,"Facilities Support Services"
"1211",561310,"Employment Placement Agencies"
"1212",561311,"Employment Placement Agencies"
"1213",561311,NA
"1214",561320,"Temporary Help Services"
"1215",561330,"Employee Leasing Services"
"1216",561410,"Document Preparation Services"
"1217",561421,"Telephone Answering Services"
"1218",561422,"Telemarketing Bureaus"
"1219",561431,"Private Mail Centers"
"1220",561439,"Other Business Service Centers (including Copy Shops)"
"1221",561440,"Collection Agencies"
"1222",561450,"Credit Bureaus"
"1223",561491,"Repossession Services"
"1224",561492,"Court Reporting and Stenotype Services"
"1225",561499,"All Other Business Support Services"
"1226",561499,NA
"1227",561510,"Travel Agencies"
"1228",561520,"Tour Operators"
"1229",561591,"Convention and Visitors Bureaus"
"1230",561599,"All Other Travel Arrangement and Reservation Services"
"1231",561611,"Investigation Services"
"1232",561612,"Security Guards and Patrol Services"
"1233",561613,"Armored Car Services"
"1234",561621,"Security Systems Services (except Locksmiths)"
"1235",561622,"Locksmiths"
"1236",561710,"Exterminating and Pest Control Services"
"1237",561720,"Janitorial Services"
"1238",561730,"Landscaping Services"
"1239",561730,NA
"1240",561740,"Carpet and Upholstery Cleaning Services"
"1241",561790,"Other Services to Buildings and Dwellings"
"1242",561910,"Packaging and Labeling Services"
"1243",561920,"Convention and Trade Show Organizers"
"1244",561990,"All Other Support Services"
"1245",562111,"Solid Waste Collection"
"1246",562112,"Hazardous Waste Collection"
"1247",562119,"Other Waste Collection"
"1248",562211,"Hazardous Waste Treatment and Disposal"
"1249",562212,"Solid Waste Landfill"
"1250",562219,"Other Nonhazardous Waste Treatment and Disposal"
"1251",562219,NA
"1252",562910,"Remediation Services"
"1253",562920,"Materials Recovery Facilities"
"1254",562991,"Septic Tank and Related Services"
"1255",562998,"All Other Miscellaneous Waste Management Services"
"1256",611110,"Elementary and Secondary Schools"
"1257",611110,NA
"1258",611210,"Junior Colleges"
"1259",611310,"Colleges, Universities, and Professional Schools"
"1260",611410,"Business and Secretarial Schools"
"1261",611420,"Computer Training"
"1262",611430,"Professional and Management Development Training"
"1263",611511,"Cosmetology and Barber Schools"
"1264",611512,"Flight Training"
"1265",611519,"Other Technical and Trade Schools"
"1266",611610,"Fine Arts Schools"
"1267",611620,"Sports and Recreation Instruction"
"1268",611630,"Language Schools"
"1269",611691,"Exam Preparation and Tutoring"
"1270",611692,"Automobile Driving Schools"
"1271",611699,"All Other Miscellaneous Schools and Instruction"
"1272",611710,"Educational Support Services"
"1273",621111,"Offices of Physicians (except Mental Health Specialists)"
"1274",621111,NA
"1275",621112,"Offices of Physicians, Mental Health Specialists"
"1276",621210,"Offices of Dentists"
"1277",621210,NA
"1278",621310,"Offices of Chiropractors"
"1279",621310,NA
"1280",621320,"Offices of Optometrists"
"1281",621330,"Offices of Mental Health Practitioners (except Physicians)"
"1282",621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologi"
"1283",621391,"Offices of Podiatrists"
"1284",621391,NA
"1285",621399,"Offices of All Other Miscellaneous Health Practitioners"
"1286",621399,NA
"1287",621410,"Family Planning Centers"
"1288",621420,"Outpatient Mental Health and Substance Abuse Centers"
"1289",621492,"Kidney Dialysis Centers"
"1290",621493,"Freestanding Ambulatory Surgical and Emergency Centers"
"1291",621498,"All Other Outpatient Care Centers"
"1292",621511,"Medical Laboratories"
"1293",621512,"Diagnostic Imaging Centers"
"1294",621610,"Home Health Care Services"
"1295",621910,"Ambulance Services"
"1296",621991,"Blood and Organ Banks"
"1297",621999,"All Other Miscellaneous Ambulatory Health Care Services"
"1298",621999,NA
"1299",622110,"General Medical and Surgical Hospitals"
"1300",622210,"Psychiatric and Substance Abuse Hospitals"
"1301",622310,"Specialty (except Psychiatric and Substance Abuse) Hospitals"
"1302",623110,"Nursing Care Facilities"
"1303",623210,"Residential Mental Retardation Facilities"
"1304",623220,"Residential Mental Health and Substance Abuse Facilities"
"1305",623311,"Continuing Care Retirement Communities"
"1306",623312,"Homes for the Elderly"
"1307",623990,"Other Residential Care Facilities"
"1308",624110,"Child and Youth Services"
"1309",624120,"Services for the Elderly and Persons with Disabilities"
"1310",624190,"Other Individual and Family Services"
"1311",624210,"Community Food Services"
"1312",624221,"Temporary Shelters"
"1313",624229,"Other Community Housing Services"
"1314",624230,"Emergency and Other Relief Services"
"1315",624310,"Vocational Rehabilitation Services"
"1316",624310,NA
"1317",624410,"Child Day Care Services"
"1318",624410,NA
"1319",711110,"Theater Companies and Dinner Theaters"
"1320",711120,"Dance Companies"
"1321",711130,"Musical Groups and Artists"
"1322",711190,"Other Performing Arts Companies"
"1323",711211,"Sports Teams and Clubs"
"1324",711212,"Racetracks"
"1325",711219,"Other Spectator Sports"
"1326",711219,NA
"1327",711310,"Promoters of Performing Arts, Sports, and Similar Events with Faciliti"
"1328",711320,"Promoters of Performing Arts, Sports, and Similar Events without Facil"
"1329",711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Pub"
"1330",711510,"Independent Artists, Writers, and Performers"
"1331",712110,"Museums"
"1332",712120,"Historical Sites"
"1333",712130,"Zoos and Botanical Gardens"
"1334",712190,"Nature Parks and Other Similar Institutions"
"1335",713110,"Amusement and Theme Parks"
"1336",713120,"Amusement Arcades"
"1337",713290,"Other Gambling Industries"
"1338",713910,"Golf Courses and Country Clubs"
"1339",713920,"Skiing Facilities"
"1340",713930,"Marinas"
"1341",713940,"Fitness and Recreational Sports Centers"
"1342",713950,"Bowling Centers"
"1343",713990,"All Other Amusement and Recreation Industries"
"1344",721110,"Hotels (except Casino Hotels) and Motels"
"1345",721110,NA
"1346",721120,"Casino Hotels"
"1347",721191,"Bed-and-Breakfast Inns"
"1348",721199,"All Other Traveler Accommodation"
"1349",721211,"RV (Recreational Vehicle) Parks and Campgrounds"
"1350",721214,"Recreational and Vacation Camps (except Campgrounds)"
"1351",721310,"Rooming and Boarding Houses"
"1352",722110,"Full-Service Restaurants"
"1353",722211,"Limited-Service Restaurants"
"1354",722212,"Cafeterias"
"1355",722213,"Snack and Nonalcoholic Beverage Bars"
"1356",722300,NA
"1357",722310,"Food Service Contractors"
"1358",722320,"Caterers"
"1359",722330,"Mobile Food Services"
"1360",722410,"Drinking Places (Alcoholic Beverages)"
"1361",722511,"Full-Service Restaurants"
"1362",722511,NA
"1363",722513,"Limited-Service Restaurants"
"1364",722514,"Cafeterias, Grill Buffets, and Buffets"
"1365",722515,"Snack and Nonalcoholic Beverage Bars"
"1366",811111,"General Automotive Repair"
"1367",811111,NA
"1368",811112,"Automotive Exhaust System Repair"
"1369",811113,"Automotive Transmission Repair"
"1370",811114,NA
"1371",811118,"Other Automotive Mechanical and Electrical Repair and Maintenance"
"1372",811121,"Automotive Body, Paint, and Interior Repair and Maintenance"
"1373",811122,"Automotive Glass Replacement Shops"
"1374",811191,"Automotive Oil Change and Lubrication Shops"
"1375",811192,"Car Washes"
"1376",811198,"All Other Automotive Repair and Maintenance"
"1377",811198,NA
"1378",811210,NA
"1379",811211,"Consumer Electronics Repair and Maintenance"
"1380",811212,"Computer and Office Machine Repair and Maintenance"
"1381",811213,"Communication Equipment Repair and Maintenance"
"1382",811219,"Other Electronic and Precision Equipment Repair and Maintenance"
"1383",811310,"Commercial and Industrial Machinery and Equipment (except Automotive a"
"1384",811411,"Home and Garden Equipment Repair and Maintenance"
"1385",811412,"Appliance Repair and Maintenance"
"1386",811420,"Reupholstery and Furniture Repair"
"1387",811420,NA
"1388",811430,"Footwear and Leather Goods Repair"
"1389",811490,"Other Personal and Household Goods Repair and Maintenance"
"1390",812111,"Barber Shops"
"1391",812112,"Beauty Salons"
"1392",812112,NA
"1393",812113,"Nail Salons"
"1394",812191,"Diet and Weight Reducing Centers"
"1395",812199,"Other Personal Care Services"
"1396",812210,"Funeral Homes and Funeral Services"
"1397",812220,"Cemeteries and Crematories"
"1398",812310,"Coin-Operated Laundries and Drycleaners"
"1399",812320,"Drycleaning and Laundry Services (except Coin-Operated)"
"1400",812331,"Linen Supply"
"1401",812332,"Industrial Launderers"
"1402",812910,"Pet Care (except Veterinary) Services"
"1403",812921,"Photofinishing Laboratories (except One-Hour)"
"1404",812922,"One-Hour Photofinishing"
"1405",812930,"Parking Lots and Garages"
"1406",812990,"All Other Personal Services"
"1407",813110,NA
"1408",813211,"Grantmaking Foundations"
"1409",813212,"Voluntary Health Organizations"
"1410",813319,"Other Social Advocacy Organizations"
"1411",813910,"Business Associations"
"1412",813920,"Professional Organizations"
"1413",813930,"Labor Unions and Similar Labor Organizations"
"1414",813990,"Other Similar Organizations (except Business, Professional, Labor, and"
"1415",814110,"Private Households"
"1416",921120,"Legislative Bodies"
"1417",921190,"Other General Government Support"
"1418",922160,"Fire Protection"
"1419",923120,"Administration of Public Health Programs"
"1420",924110,"Administration of Air and Water Resource and Solid Waste Programs"
"1421",926110,"Administration of General Economic Programs"
"1422",926120,"Regulation and Administration of Transportation Programs"
"1423",999990,NA
"1424",NA,NA
