Fiscal_Year,fiscal_quarter_YTD,ContractingCustomer,ContractingSubCustomer,ProductServiceOrRnDarea,PlatformPortfolio,IsF35,IsRemotelyOperated,Vehicle,CompetitionClassification,ClassifyNumberOfOffers,PricingUCA,TypeOfContractPricing,VendorSize,IsEntityTraditional,AnyCommercial,gfe_gfp_code,costaccountingstandardsclause,CurrentEndFYear,multiyearcontract,UnmodifiedUltimateEndFYear,UnmodifiedUltimateDurationCategory,CurrentDurationCategory,transactioncount,Action_Obligation_Then_Year,COVID19obligated,NumberOfActions,dFYear,Fiscal_YQ,YTD,SubCustomer.sum,SubCustomer.platform,Competition.sum,Competition.effective.only,Competition.multisum,No.Competition.sum,Vehicle.sum,Vehicle.sum7,Vehicle.AwardTask,PricingMechanism,PricingFee,PricingInflation,Pricing.sum,PricingUCA.sum,gfe_gfp_value,ServicesCategory.detail,ServicesCategory.sum,SimpleArea,PlatformPortfolioUAV,SubCustomer.JPO,Shiny.VendorSize,Action_Obligation_OMB25_GDP23,PricingInflationUCA,CurrentDurationIsYear,PricingInflation.1year,PricingInflation.1yearUCA,PricingUCA.1year,UnmodifiedUltimateDurationIsYear
2013,NA,Defense,Army,Other,Facilities and Construction,NA,NA,PO,No Competition (Only One Source Exception),No competition,FFP,J,Medium <1B,FALSE,Y,N,NA,2013,NA,2012,>1-2 Years,>1-2 Years,1,0,NA,1,2013-01-01,2013,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Facilities and Construction,Army,Medium,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
1999,NA,Defense,Navy,Engines & Power Plants,"Electronics, Comms, & Sensors",NA,NA,NA,Unlabeled: Competition; Zero Offers,Unlabeled: Competition; Zero Offers,NA,*,Large,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,390577,NA,5,1999-01-01,1999,Full Year,Navy,Navy,Unlabeled,Unlabeled,Unlabeled,Unlabeled,NA,NA,NA,NA,NA,NA,Crosscutting,Crosscutting,NA,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Large,670290.0937172903,NA,NA,NA,NA,Crosscutting,NA
2006,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,FSS,Limited Competition with multiple offers,Two Offers,T&M/LH/FPLOE,Y,Large,TRUE,Y,N,X,2007,FALSE,2010,>2-4 Years,>7-12 Months,1,123910,NA,1,2006-01-01,2006,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Time and Materials,T&M/LH/FPLOE,All Other,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Large,180260.91876943433,All Other,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2013,NA,Defense,Navy,Applied Research (6.2),Ordnance and Missiles,NA,NA,DCA,Competition with single offer,One Offer,Other CB,U,Small,TRUE,N,N,N,2014,FALSE,2016,>2-4 Years,>2-7 Months,1,147707,NA,1,2013-01-01,2013,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Definitive,Definitive,Award,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,R&D,R&D,R&D,Ordnance and Missiles,Navy,Small,190135.96418679628,Cost-Based,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2021,NA,Defense,DLA,Other,Other Products,NA,NA,PO,Limited Competition with multiple offers,10-24 Offers,FFP,J,Small,FALSE,N,N,NA,2020,NA,2020,>2-7 Months,>2-7 Months,63,-360453.33,NA,63,2021-01-01,2021,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Other Products,DLA,Small,-403304.6562148073,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2024,3,Defense,Navy,PAMS,Other R&D and Knowledge Based,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,Other CB,U,To Be Labeled,TRUE,N,N,NA,2025,FALSE,2026,>4 years,>4 years,4,3976814.26,NA,4,2024-01-01,2024.3,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Navy,To Be Labeled,3873372.03296802,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2017,NA,Defense,Army,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,BPA,No Competition (Unlabeled Exception; Overrode blank Fair Opportunity),No competition; Overrode blank Fair Opportunity),FFP,J,Large,TRUE,Y,N,NA,2016,NA,2017,>1-2 Years,>7-12 Months,1,-995.61,NA,1,2017-01-01,2017,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Unlabeled),Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Army,Large,-1215.341127233467,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2009,NA,Defense,Army,ICT,"Electronics, Comms, & Sensors",NA,NA,PO,Limited Competition with multiple offers,Two Offers,FFP,J,Large (Small Subsidiary),FALSE,Y,Y,X,2010,FALSE,2010,>2-4 Years,>2-4 Years,1,37194.12,NA,1,2009-01-01,2009,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,"Transaction uses
Government Furnished
Equipment or Property",ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Army,Large,51066.09184341675,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2019,NA,Defense,Air Force,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,Two Offers,FFP,J,Large,TRUE,Y,N,NA,2019,FALSE,2020,>1-2 Years,<=2 Months,1,0,NA,1,2019-01-01,2019,Full Year,Air Force,Air Force,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Air Force,Large,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2009,NA,Defense,Other DoD,PAMS,Other R&D and Knowledge Based,NA,NA,PO,No Competition (Only One Source Exception),No competition,FFP,J,Medium >1B,FALSE,Y,N,X,2007,FALSE,2007,>2-7 Months,>2-7 Months,1,0,NA,1,2009-01-01,2009,Full Year,Other DoD,Other DoD,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Other DoD,Medium,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2012,NA,Defense,Air Force,Electronics & Communications,Aircraft,NA,NA,BOA,No Competition (Only One Source Exception),No competition,FFP,J,Large,TRUE,N,Y,NA,2014,NA,2014,>1-2 Years,>1-2 Years,1,3683919,NA,1,2012-01-01,2012,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,"Transaction uses
Government Furnished
Equipment or Property",Products,Products (All),Products (All),Aircraft,Air Force,Large,4828172.562833557,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2019,NA,Defense,Navy,Engines & Power Plants,Ships & Submarines,NA,NA,PO,Limited Competition with multiple offers,Two Offers,FFP,J,Large,TRUE,Y,Y,NA,2019,NA,2019,>2-7 Months,>2-7 Months,1,0,NA,1,2019-01-01,2019,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,"Transaction uses
Government Furnished
Equipment or Property",Products,Products (All),Products (All),Ships & Submarines,Navy,Large,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2002,NA,Defense,Army,ICT,"Electronics, Comms, & Sensors",NA,NA,FSS,Unlabeled: Competition; Zero Offers,Unlabeled: Competition; Zero Offers,NA,NO,Small,FALSE,Y,N,X,2002,FALSE,1900,NA,>1-2 Years,3,7871138,NA,3,2002-01-01,2002,Full Year,Army,Army,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Other IDV,FSS or GWAC,Task Order,Not Reported,NA,NA,Crosscutting,Crosscutting,No Government Furnished,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Army,Small,12719483.928503603,NA,>1 year,NA,NA,Crosscutting,NA
2009,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,No Competition (Unlabeled Exception),No competition,Combination/Other,2,Small,FALSE,Y,N,X,2009,FALSE,2009,>2-7 Months,>2-7 Months,1,0,NA,1,2009-01-01,2009,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Unlabeled),Single-Awd.,Single-Awd.,Task Order,Combination (two or more),Combination or Other,All Other,Crosscutting,Crosscutting,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Small,0,All Other,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2007,NA,Defense,Army,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),5-9 Offers,FFP,J,Small,TRUE,Y,N,X,2007,FALSE,2007,<=2 Months,>2-7 Months,1,-21876,NA,1,2007-01-01,2007,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Army,Small,-30971.970779856892,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2014,NA,Defense,Navy,PAMS,Other R&D and Knowledge Based,NA,NA,MULTIPLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Medium <1B,TRUE,Y,N,NA,2015,FALSE,2015,>7-12 Months,>7-12 Months,9,1317202.93,NA,9,2014-01-01,2014,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Navy,Medium,1665192.22937221,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2022,4,Defense,Navy,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,No Competition (Other Exception),No competition,FFP,J,Small,TRUE,N,N,NA,2025,FALSE,2025,>2-4 Years,>2-4 Years,1,927342,NA,1,2022-01-01,2022.4,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Small,969764.7386395654,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2012,NA,Defense,Navy,PAMS,Other R&D and Knowledge Based,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,10-24 Offers,Other CB,U,Large: Big 5,TRUE,N,Y,X,2011,FALSE,2007,>7-12 Months,>4 years,1,-22065.6094,NA,1,2012-01-01,2012,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,"Transaction uses
Government Furnished
Equipment or Property",PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Navy,Big Five,-28919.35731683629,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,<=1 year
2024,4,Defense,Army,Other,Other Products,NA,NA,PO,Competition with single offer,One Offer,FFP,J,Medium <1B,FALSE,Y,N,NA,2024,NA,2025,>4 years,>2-4 Years,1,0,NA,1,2024-01-01,2024.4,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Other Products,Army,Medium,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2020,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,FFP,J,Medium <1B,FALSE,N,N,NA,2021,FALSE,2021,<=2 Months,<=2 Months,9,361877.0645,236126.3984,9,2020-01-01,2020,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Medium,418833.15878415137,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2016,NA,Defense,Army,Clothing & Subsistence,Other Products,NA,NA,PO,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Small,FALSE,Y,N,NA,2017,NA,2017,<=2 Months,<=2 Months,2,24044.68,NA,2,2016-01-01,2016,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Other Products,Army,Small,29846.79773088628,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2016,NA,Defense,Navy,PAMS,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),Two Offers,Other CB,U,Medium <1B,TRUE,N,N,NA,2016,FALSE,2016,>7-12 Months,>7-12 Months,4,-346078.0625,NA,4,2016-01-01,2016,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Navy,Medium,-429588.66287821333,Cost-Based,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2008,NA,Defense,DLA,Electronics & Communications,Aircraft,NA,NA,PO,Limited Competition with multiple offers,Two Offers,FFP,J,Small,FALSE,Y,N,X,2009,FALSE,2009,>7-12 Months,>7-12 Months,1,49940,NA,1,2008-01-01,2008,Full Year,Other DoD,DLA,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Aircraft,DLA,Small,69266.85373858328,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2014,NA,Defense,Air Force,FRS,Facilities and Construction,NA,NA,PO,Limited Competition with multiple offers,5-9 Offers,FFP,J,Medium <1B,FALSE,Y,Y,NA,2014,NA,2014,<=2 Months,<=2 Months,1,8566.9,NA,1,2014-01-01,2014,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,"Transaction uses
Government Furnished
Equipment or Property",FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Air Force,Medium,10830.172773612632,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
1991,NA,Defense,Navy,Missiles & Space,Ordnance and Missiles,FALSE,NA,NA,No Competition (Only One Source Exception),No competition,NA,U,Large,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11440000,NA,NA,1991-01-01,1991,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),NA,NA,NA,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Crosscutting,NA,Products,Products (All),Products (All),Ordnance and Missiles,Navy,Large,22844442.98999716,Cost-Based,NA,Cost-Based,Cost-Based,Crosscutting,NA
2019,NA,Defense,DISA,PAMS,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,FFP,J,Large,FALSE,Y,N,NA,2020,FALSE,2019,>1-2 Years,>2-4 Years,2,719645,NA,2,2019-01-01,2019,Full Year,Other DoD,Other DoD,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Other DoD,Large,843790.8480079321,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2006,NA,Defense,DLA,Ground Vehicles,Ordnance and Missiles,NA,NA,PO,No Competition (Unlabeled Exception),No competition,FFP,J,Large: Big 5,TRUE,N,N,X,2007,FALSE,1900,NA,>2-7 Months,1,8596,NA,1,2006-01-01,2006,Full Year,Other DoD,DLA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Unlabeled),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Ordnance and Missiles,DLA,Big Five,12505.228454055827,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2021,NA,Defense,Army,Ground Vehicles,Land Vehicles,NA,NA,BPA,Limited Competition with multiple offers,3-4 Offers,FFP,J,Medium <1B,FALSE,Y,N,X,2021,NA,2021,>7-12 Months,>1-2 Years,1,354.86,NA,1,2021-01-01,2021,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Land Vehicles,Army,Medium,397.04638130097595,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2022,2,Defense,Army,ICT,"Electronics, Comms, & Sensors",NA,NA,PO,Limited Competition with multiple offers,Two Offers,FFP,J,Unlabeled,TRUE,Y,N,NA,2022,NA,2022,<=2 Months,<=2 Months,4,48652.71,NA,4,2022-01-01,2022.2,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Army,Unlabeled,50878.40580633312,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2012,NA,Defense,Army,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,FSS,No Competition (Only One Source Exception),No competition,FFP,J,Large,TRUE,Y,N,NA,2013,FALSE,2015,>4 years,>2-4 Years,1,0,NA,1,2012-01-01,2012,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Army,Large,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2013,NA,Defense,Navy,PAMS,Other R&D and Knowledge Based,NA,NA,BPA,Limited Competition with multiple offers,3-4 Offers,FFP,J,To Be Labeled,TRUE,N,N,NA,2014,NA,2014,>7-12 Months,>7-12 Months,1,633386.06,NA,1,2013-01-01,2013,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Navy,To Be Labeled,815326.7564880202,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2012,NA,Defense,Navy,Clothing & Subsistence,Other Products,NA,NA,PO,Limited Competition with multiple offers,3-4 Offers,FFP,J,Medium <1B,TRUE,Y,N,NA,2012,NA,2012,<=2 Months,<=2 Months,6,75652.9512,NA,6,2012-01-01,2012,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Other Products,Navy,Medium,99151.33945160737,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2020,NA,Defense,Air Force,Aircraft,Aircraft,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,N,N,NA,2021,FALSE,2021,>4 years,>2-4 Years,1,0,NA,1,2020-01-01,2020,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Aircraft,Air Force,Small,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2006,NA,Defense,Air Force,ERS,Other Services,NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Small,FALSE,Y,N,X,2004,FALSE,1900,NA,>7-12 Months,2,-639537,NA,2,2006-01-01,2006,Full Year,Air Force,Air Force,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ERS,Services (Non-R&D),Services (Non-R&D),Other Services,Air Force,Small,-930381.1412077129,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2005,NA,Defense,Air Force,PAMS,Aircraft,NA,NA,FSS,Limited Competition with multiple offers,Two Offers,FFP,J,Medium <1B,TRUE,N,N,X,2005,FALSE,2003,>7-12 Months,>2-4 Years,1,15000,NA,1,2005-01-01,2005,Full Year,Air Force,Air Force,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Aircraft,Air Force,Medium,22530.454054257876,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2020,NA,Defense,Navy,Clothing & Subsistence,Other Products,NA,NA,PO,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,Y,N,NA,2016,NA,2016,>1-2 Years,>1-2 Years,1,-11389.5,NA,1,2020-01-01,2020,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Other Products,Navy,Small,-13182.101685728947,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2019,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Large,FALSE,N,Y,NA,2015,FALSE,2015,>2-7 Months,>7-12 Months,2,-40119.9492,NA,2,2019-01-01,2019,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,"Transaction uses
Government Furnished
Equipment or Property",PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Large,-47041.03545151173,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2023,4,Defense,Other DoD,PAMS,Other R&D and Knowledge Based,NA,NA,BPA,Limited Competition with multiple offers,3-4 Offers,FFP,J,Large,TRUE,Y,N,NA,2024,NA,2023,>4 years,>4 years,1,2986444.86,NA,1,2023-01-01,2023.4,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Other DoD,Large,2986444.86,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2000,NA,Defense,Air Force,Engines & Power Plants,Aircraft,FALSE,NA,DCA,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,TRUE,N,N,X,2000,FALSE,NA,NA,NA,1,-58508,NA,1,2000-01-01,2000,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Aircraft,Air Force,Small,-98362.0927826717,FFP,NA,FFP,FFP,Fixed-Price,NA
2000,NA,Defense,Other DoD,Other,Facilities and Construction,NA,NA,DO,Limited Competition with multiple offers (Overrode blank Fair Opportunity),3-4 Offers,FFP,J,Medium <1B,FALSE,N,N,X,2001,FALSE,NA,NA,>7-12 Months,1,500000,NA,1,2000-01-01,2000,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Unlbd. IDV,Unlbd. IDV,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Facilities and Construction,Other DoD,Medium,840586.6956883819,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2013,NA,Defense,Air Force,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,FALSE,Y,N,NA,2013,FALSE,2013,>7-12 Months,>2-7 Months,2,0,NA,2,2013-01-01,2013,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Air Force,Small,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
