"ProjectAbbreviation","ProjectName","ProjectPlatform","Fiscal.Year","Action_Obligation"
"2CPR","AN/SWG-1A HSCLLS","Missile Defense",1997,26070804
"2CPR","AN/SWG-1A HSCLLS","Missile Defense",1998,1879825
"2CPR","AN/SWG-1A HSCLLS","Missile Defense",1999,24458354
"2CPR","AN/SWG-1A HSCLLS","Missile Defense",2000,7652904
"2CPR","AN/SWG-1A HSCLLS","Missile Defense",2001,757946
"2CPR","AN/SWG-1A HSCLLS","Missile Defense",2002,-3334430
"2CPR","AN/SWG-1A HSCLLS","Missile Defense",2003,17413
"2CPS","TOMHWK STRIKE COOR MDLE (","Ordnance and Missiles",2000,34238
"2CPS","TOMHWK STRIKE COOR MDLE (","Ordnance and Missiles",2003,282166
"2CRL","MK-56 MOD 2 ROCKET MTR","Missile Defense",1991,16241000
"2CRL","MK-56 MOD 2 ROCKET MTR","Missile Defense",1992,5e+05
"2CRL","MK-56 MOD 2 ROCKET MTR","Missile Defense",1993,3800000
"2CRL","MK-56 MOD 2 ROCKET MTR","Missile Defense",1994,8116373
"2CRL","MK-56 MOD 2 ROCKET MTR","Missile Defense",1996,453036
"2CRL","MK-56 MOD 2 ROCKET MTR","Missile Defense",1997,614624
"2CRL","MK-56 MOD 2 ROCKET MTR","Missile Defense",1999,1025284
"2CRL","MK-56 MOD 2 ROCKET MTR","Missile Defense",2000,947784
"2DAA","PREDATOR UAV","Aircraft",2003,2397798
"2DAA","PREDATOR UAV","Aircraft",2009,-6142.77
"2DBK","LVTP-7","Land Vehicles",1991,39000
"2DBK","LVTP-7","Land Vehicles",1996,205200
"2DBK","LVTP-7","Land Vehicles",1997,111100
"2DBL","LVTC-7","Land Vehicles",1997,46050
"2DBL","LVTC-7","Land Vehicles",2002,173072
"2DBU","PIONEER UNMANNED AERIAL V","Aircraft",1996,2550000
"2EBB","MK149 PHALANX","Ordnance and Missiles",1990,2403000
"2EBB","MK149 PHALANX","Ordnance and Missiles",1991,7334000
"2EBB","MK149 PHALANX","Ordnance and Missiles",1992,4688384
"2EBB","MK149 PHALANX","Ordnance and Missiles",1993,1779186
"2EBB","MK149 PHALANX","Ordnance and Missiles",1994,1455849
"2EBB","MK149 PHALANX","Ordnance and Missiles",1995,1506248
"2EBB","MK149 PHALANX","Ordnance and Missiles",1996,2413476
"2EBB","MK149 PHALANX","Ordnance and Missiles",1997,505221
"2EBE","MK15 CLOSE IN WPN SYS","Ordnance and Missiles",1990,57153000
"2EBE","MK15 CLOSE IN WPN SYS","Ordnance and Missiles",1991,208623000
"2EBE","MK15 CLOSE IN WPN SYS","Ordnance and Missiles",1992,87824099
"2EBE","MK15 CLOSE IN WPN SYS","Ordnance and Missiles",1993,285767008
"2EBE","MK15 CLOSE IN WPN SYS","Ordnance and Missiles",1994,102521409
"2EBE","MK15 CLOSE IN WPN SYS","Ordnance and Missiles",1995,168132581
"2EBE","MK15 CLOSE IN WPN SYS","Ordnance and Missiles",1996,77590891
"2EBE","MK15 CLOSE IN WPN SYS","Ordnance and Missiles",1997,75869404
"2EBE","MK15 CLOSE IN WPN SYS","Ordnance and Missiles",1998,47917048
"2EBE","MK15 CLOSE IN WPN SYS","Ordnance and Missiles",1999,17859519
"2EBE","MK15 CLOSE IN WPN SYS","Ordnance and Missiles",2000,39266871
"2EBE","MK15 CLOSE IN WPN SYS","Ordnance and Missiles",2001,36962968
"2EBE","MK15 CLOSE IN WPN SYS","Ordnance and Missiles",2002,74485681
"2EBE","MK15 CLOSE IN WPN SYS","Ordnance and Missiles",2003,203884516
"2EBE","MK15 CLOSE IN WPN SYS","Ordnance and Missiles",2004,346000
"2EBE","MK15 CLOSE IN WPN SYS","Ordnance and Missiles",2010,-1184426.375
"2EBE","MK15 CLOSE IN WPN SYS","Ordnance and Missiles",2019,0
"2EBJ","MK45 MOD-O 5.54 GUN MOUNT","Ordnance and Missiles",1990,5859000
"2EBJ","MK45 MOD-O 5.54 GUN MOUNT","Ordnance and Missiles",1991,67954000
"2EBJ","MK45 MOD-O 5.54 GUN MOUNT","Ordnance and Missiles",1992,60242662
"2EBJ","MK45 MOD-O 5.54 GUN MOUNT","Ordnance and Missiles",1993,55001900
"2EBJ","MK45 MOD-O 5.54 GUN MOUNT","Ordnance and Missiles",1994,27306009
"2EBJ","MK45 MOD-O 5.54 GUN MOUNT","Ordnance and Missiles",1995,26113518
"2EBJ","MK45 MOD-O 5.54 GUN MOUNT","Ordnance and Missiles",1996,41508138
"2EBJ","MK45 MOD-O 5.54 GUN MOUNT","Ordnance and Missiles",1997,117924870
"2EBJ","MK45 MOD-O 5.54 GUN MOUNT","Ordnance and Missiles",1998,56685592
"2EBJ","MK45 MOD-O 5.54 GUN MOUNT","Ordnance and Missiles",1999,38280912
"2EBJ","MK45 MOD-O 5.54 GUN MOUNT","Ordnance and Missiles",2000,37877891
"2EBJ","MK45 MOD-O 5.54 GUN MOUNT","Ordnance and Missiles",2001,-9488077
"2EBJ","MK45 MOD-O 5.54 GUN MOUNT","Ordnance and Missiles",2002,16326631
"2EBJ","MK45 MOD-O 5.54 GUN MOUNT","Ordnance and Missiles",2003,10883167
"2EBJ","MK45 MOD-O 5.54 GUN MOUNT","Ordnance and Missiles",2010,-10621714.1837
"2EBJ","MK45 MOD-O 5.54 GUN MOUNT","Ordnance and Missiles",2017,0
"2EBN","30MM GUN MOUNT/COASTAL PT","Ordnance and Missiles",1990,1326000
"2EBN","30MM GUN MOUNT/COASTAL PT","Ordnance and Missiles",1992,-73296
"2EBN","30MM GUN MOUNT/COASTAL PT","Ordnance and Missiles",1993,1116490
"2EBN","30MM GUN MOUNT/COASTAL PT","Ordnance and Missiles",1995,520927
"2EBN","30MM GUN MOUNT/COASTAL PT","Ordnance and Missiles",1996,109172
"2EBN","30MM GUN MOUNT/COASTAL PT","Ordnance and Missiles",1997,280471
"2EBO","105MM GUN M-60 COMBAT","Ordnance and Missiles",1997,1548390
"2EBO","105MM GUN M-60 COMBAT","Ordnance and Missiles",2003,121691
"2EBP","M107 GUN 175MM","Ordnance and Missiles",1991,-88000
"2EBQ","MK42 MOD-9 5.54 GUN MOUNT","Ordnance and Missiles",1990,27000
"2EBQ","MK42 MOD-9 5.54 GUN MOUNT","Ordnance and Missiles",1991,80000
"2EBT","MK42 MOD-7 GUN MOUNT","Ordnance and Missiles",1993,70176
"2EBU","MK71 MCLWG GUN MOUNT","Ordnance and Missiles",1991,3690000
"2EBU","MK71 MCLWG GUN MOUNT","Ordnance and Missiles",1992,1754273
"2EBU","MK71 MCLWG GUN MOUNT","Ordnance and Missiles",1993,1837448
"2EBU","MK71 MCLWG GUN MOUNT","Ordnance and Missiles",1994,1583727
"2EBU","MK71 MCLWG GUN MOUNT","Ordnance and Missiles",1996,28960
"2EBW","MK75 76MM GUN MOUNT","Ordnance and Missiles",1990,312000
"2EBW","MK75 76MM GUN MOUNT","Ordnance and Missiles",1991,9037000
"2EBW","MK75 76MM GUN MOUNT","Ordnance and Missiles",1992,800169
"2EBW","MK75 76MM GUN MOUNT","Ordnance and Missiles",1993,1040283
"2EBW","MK75 76MM GUN MOUNT","Ordnance and Missiles",1994,10552450
"2EBW","MK75 76MM GUN MOUNT","Ordnance and Missiles",1995,2568867
"2EBW","MK75 76MM GUN MOUNT","Ordnance and Missiles",1996,432735
"2EBW","MK75 76MM GUN MOUNT","Ordnance and Missiles",1997,1214582
"2EBW","MK75 76MM GUN MOUNT","Ordnance and Missiles",1999,124980
"2EBW","MK75 76MM GUN MOUNT","Ordnance and Missiles",2000,1205400
"2EBW","MK75 76MM GUN MOUNT","Ordnance and Missiles",2001,40455
"2EHC","5.56MM RIFLE M16","Other Products",1992,29378
"2FAA","WALLEYE","Ordnance and Missiles",1991,765000
"2FAA","WALLEYE","Ordnance and Missiles",1992,86387
"2FAA","WALLEYE","Ordnance and Missiles",1994,1206956
"2FAE","MK-104 PRACTICE","Ordnance and Missiles",1990,2599000
"2FAE","MK-104 PRACTICE","Ordnance and Missiles",1991,39260000
"2FAE","MK-104 PRACTICE","Ordnance and Missiles",1992,41762749
"2FAE","MK-104 PRACTICE","Ordnance and Missiles",1993,23039012
"2FAE","MK-104 PRACTICE","Ordnance and Missiles",1994,2305323
"2FAE","MK-104 PRACTICE","Ordnance and Missiles",1995,1574145
"2FAE","MK-104 PRACTICE","Ordnance and Missiles",1996,647398
"2FAE","MK-104 PRACTICE","Ordnance and Missiles",1999,145461
"2FAE","MK-104 PRACTICE","Ordnance and Missiles",2002,5821644
"2FAO","MK-121 TGT IDENT","Ordnance and Missiles",1991,49000
"2FBB","5""/38 CAL CARTRIDGE","Ordnance and Missiles",1991,59501000
"2FBB","5""/38 CAL CARTRIDGE","Ordnance and Missiles",1992,18624843
"2FBB","5""/38 CAL CARTRIDGE","Ordnance and Missiles",1993,28800120
"2FBB","5""/38 CAL CARTRIDGE","Ordnance and Missiles",1994,2375362
"2FBB","5""/38 CAL CARTRIDGE","Ordnance and Missiles",1995,4864486
"2FBB","5""/38 CAL CARTRIDGE","Ordnance and Missiles",1996,0
"2FBB","5""/38 CAL CARTRIDGE","Ordnance and Missiles",1997,-20688
"2FBB","5""/38 CAL CARTRIDGE","Ordnance and Missiles",1999,3433129
"2FBB","5""/38 CAL CARTRIDGE","Ordnance and Missiles",2001,64260
"2FME","MK-55 MINE","Ordnance and Missiles",1990,1151000
"2FME","MK-55 MINE","Ordnance and Missiles",1996,150000
"2FMG","MK-57 MINE SUB LAID MOORE","Ordnance and Missiles",1990,1415000
"2FMG","MK-57 MINE SUB LAID MOORE","Ordnance and Missiles",1991,77000
"2FMM","MK-65 MINE","Ordnance and Missiles",1990,4819000
"2FPC","5./54 MK-41 PROJECTILE","Electronics, Comms, & Sensors",1990,74000
"2FTB","MK30 MOBILE TARGET","Electronics, Comms, & Sensors",2000,12977659
"2FTB","MK30 MOBILE TARGET","Electronics, Comms, & Sensors",2001,1102758
"2FTD","MK37 TORPEDO","Ordnance and Missiles",1992,67494
"2FTD","MK37 TORPEDO","Ordnance and Missiles",1993,67493
"2FTG","MK44 TORPEDO","Ordnance and Missiles",1990,2631000
"2FTG","MK44 TORPEDO","Ordnance and Missiles",1991,2747000
"2FTG","MK44 TORPEDO","Ordnance and Missiles",1992,9412000
"2FTG","MK44 TORPEDO","Ordnance and Missiles",1993,7922023
"2FTG","MK44 TORPEDO","Ordnance and Missiles",1994,6019253
"2FTH","MK45 TORPEDO (ASTOR)","Ordnance and Missiles",1990,12482000
"2FTH","MK45 TORPEDO (ASTOR)","Ordnance and Missiles",1991,4501000
"2FTH","MK45 TORPEDO (ASTOR)","Ordnance and Missiles",1992,853063
"2FTH","MK45 TORPEDO (ASTOR)","Ordnance and Missiles",1993,2785112
"2FTJ","MK46 TORPEDO LT WT ASW","Ordnance and Missiles",1990,213053000
"2FTJ","MK46 TORPEDO LT WT ASW","Ordnance and Missiles",1991,315248000
"2FTJ","MK46 TORPEDO LT WT ASW","Ordnance and Missiles",1992,9692650
"2FTJ","MK46 TORPEDO LT WT ASW","Ordnance and Missiles",1993,104059240
"2FTJ","MK46 TORPEDO LT WT ASW","Ordnance and Missiles",1994,73262292
"2FTJ","MK46 TORPEDO LT WT ASW","Ordnance and Missiles",1995,114461087
"2FTJ","MK46 TORPEDO LT WT ASW","Ordnance and Missiles",1996,56354723
"2FTJ","MK46 TORPEDO LT WT ASW","Ordnance and Missiles",1997,25500846
"2FTJ","MK46 TORPEDO LT WT ASW","Ordnance and Missiles",1998,40741400
"2FTJ","MK46 TORPEDO LT WT ASW","Ordnance and Missiles",1999,44275709
"2FTJ","MK46 TORPEDO LT WT ASW","Ordnance and Missiles",2000,882600
"2FTJ","MK46 TORPEDO LT WT ASW","Ordnance and Missiles",2001,2785769
"2FTJ","MK46 TORPEDO LT WT ASW","Ordnance and Missiles",2002,1951305
"2FTJ","MK46 TORPEDO LT WT ASW","Ordnance and Missiles",2003,22158622
"2FTL","MK48 TORPEDO (ADCAP)","Ordnance and Missiles",1990,390592000
"2FTL","MK48 TORPEDO (ADCAP)","Ordnance and Missiles",1991,269480000
"2FTL","MK48 TORPEDO (ADCAP)","Ordnance and Missiles",1992,3158425
"2FTL","MK48 TORPEDO (ADCAP)","Ordnance and Missiles",1993,39293020
"2FTL","MK48 TORPEDO (ADCAP)","Ordnance and Missiles",1994,19121741
"2FTL","MK48 TORPEDO (ADCAP)","Ordnance and Missiles",1995,30004090
"2FTL","MK48 TORPEDO (ADCAP)","Ordnance and Missiles",1996,45692827
"2FTL","MK48 TORPEDO (ADCAP)","Ordnance and Missiles",1997,12647232
"2FTL","MK48 TORPEDO (ADCAP)","Ordnance and Missiles",1998,29146606
"2FTL","MK48 TORPEDO (ADCAP)","Ordnance and Missiles",1999,29921491
"2FTL","MK48 TORPEDO (ADCAP)","Ordnance and Missiles",2000,33086983
"2FTL","MK48 TORPEDO (ADCAP)","Ordnance and Missiles",2001,7784332
"2FTL","MK48 TORPEDO (ADCAP)","Ordnance and Missiles",2002,36157788
"2FTL","MK48 TORPEDO (ADCAP)","Ordnance and Missiles",2003,56204266
"2FTL","MK48 TORPEDO (ADCAP)","Ordnance and Missiles",2009,-2618.8701
"2FTL","MK48 TORPEDO (ADCAP)","Ordnance and Missiles",2011,-140000
"2FTL","MK48 TORPEDO (ADCAP)","Ordnance and Missiles",2019,0
"2FTN","MK50 TORPEDO","Ordnance and Missiles",1990,156316000
"2FTN","MK50 TORPEDO","Ordnance and Missiles",1991,11125000
"2FTN","MK50 TORPEDO","Ordnance and Missiles",1992,107949445
"2FTN","MK50 TORPEDO","Ordnance and Missiles",1993,261474322
"2FTN","MK50 TORPEDO","Ordnance and Missiles",1994,4594506
"2FTN","MK50 TORPEDO","Ordnance and Missiles",1995,3647084
"2FTN","MK50 TORPEDO","Ordnance and Missiles",1996,2989300
"2FTN","MK50 TORPEDO","Ordnance and Missiles",1997,1422058
"2FTN","MK50 TORPEDO","Ordnance and Missiles",1998,241725
"2FTN","MK50 TORPEDO","Ordnance and Missiles",1999,-470565
"2FTN","MK50 TORPEDO","Ordnance and Missiles",2002,26678
"2FTR","MK60 CAPTOR","Ordnance and Missiles",1990,758000
"2FTR","MK60 CAPTOR","Ordnance and Missiles",1991,484000
"2FTR","MK60 CAPTOR","Ordnance and Missiles",1992,1070715
"2FTR","MK60 CAPTOR","Ordnance and Missiles",1993,1540752
"2FTR","MK60 CAPTOR","Ordnance and Missiles",1994,1733769
"2FTR","MK60 CAPTOR","Ordnance and Missiles",1995,1623667
"2GAV","AN/SLQ-13","Ordnance and Missiles",1990,3247000
"2GAV","AN/SLQ-13","Ordnance and Missiles",1991,5036000
"2GAV","AN/SLQ-13","Ordnance and Missiles",1994,5801576
"2GAV","AN/SLQ-13","Ordnance and Missiles",1996,6989142
"2GAV","AN/SLQ-13","Ordnance and Missiles",1997,1143075
"2GAV","AN/SLQ-13","Ordnance and Missiles",1998,5534055
"2GAV","AN/SLQ-13","Ordnance and Missiles",1999,8384670
"2GAV","AN/SLQ-13","Ordnance and Missiles",2000,18025371
"2GAV","AN/SLQ-13","Ordnance and Missiles",2001,11979313
"2GAV","AN/SLQ-13","Ordnance and Missiles",2002,6528735
"2GAV","AN/SLQ-13","Ordnance and Missiles",2003,7957050
"2GBH","MK75 MOD3 RANGE FINDER","Ordnance and Missiles",1994,7034338
"2GBH","MK75 MOD3 RANGE FINDER","Ordnance and Missiles",2000,179280
"2GBO","MK86 GUN FIRE CTRL SYS","Ordnance and Missiles",1990,383000
"2GBO","MK86 GUN FIRE CTRL SYS","Ordnance and Missiles",1991,-437000
"2GBO","MK86 GUN FIRE CTRL SYS","Ordnance and Missiles",1992,92764
"2GBO","MK86 GUN FIRE CTRL SYS","Ordnance and Missiles",1993,-67592
"2GBO","MK86 GUN FIRE CTRL SYS","Ordnance and Missiles",1995,54474
"2GBO","MK86 GUN FIRE CTRL SYS","Ordnance and Missiles",1996,132754
"2GBO","MK86 GUN FIRE CTRL SYS","Ordnance and Missiles",1997,1145664
"2GBO","MK86 GUN FIRE CTRL SYS","Ordnance and Missiles",2002,348050
"2GCA","AN/SLQ-25 TORP CM TRANS S","Electronics, Comms, & Sensors",1991,4066000
"2GCA","AN/SLQ-25 TORP CM TRANS S","Electronics, Comms, & Sensors",1992,-55020
"2GCA","AN/SLQ-25 TORP CM TRANS S","Electronics, Comms, & Sensors",1993,-30000
"2GCD","AN/ALE-41","Electronics, Comms, & Sensors",2001,655533
"2GCD","AN/ALE-41","Electronics, Comms, & Sensors",2002,246060
"2GCM","AN/BLR-14 ECM","Electronics, Comms, & Sensors",1992,91944
"2GCP","MK76 GD MSL FIRE CTRL SYS","Ordnance and Missiles",1991,3943000
"2GCP","MK76 GD MSL FIRE CTRL SYS","Ordnance and Missiles",1992,1e+06
"2GCP","MK76 GD MSL FIRE CTRL SYS","Ordnance and Missiles",1993,225000
"2GCP","MK76 GD MSL FIRE CTRL SYS","Ordnance and Missiles",1994,2e+05
"2GCQ","MK92 FIRE CONTROL SYS","Electronics, Comms, & Sensors",1990,145000
"2GCR","WLR 14 SEASCOUT SYSTEM MI","Ordnance and Missiles",1993,6608732
"2GCR","WLR 14 SEASCOUT SYSTEM MI","Ordnance and Missiles",1994,13653922
"2GFB","AN/UGC-129","Electronics, Comms, & Sensors",1993,505240
"2GFB","AN/UGC-129","Electronics, Comms, & Sensors",1997,-59440
"2GFE","AN/SYR-1 TRACKING SET","Electronics, Comms, & Sensors",1990,51000
"2GIF","MISSION DISTRIBUTION SYS ",NA,1997,6954026
"2GIF","MISSION DISTRIBUTION SYS ",NA,1998,5791670
"2GIF","MISSION DISTRIBUTION SYS ",NA,1999,-3995744
"2GIF","MISSION DISTRIBUTION SYS ",NA,2001,821858
"2GIF","MISSION DISTRIBUTION SYS ",NA,2002,0
"2GIF","MISSION DISTRIBUTION SYS ",NA,2003,393000
"2GMH","AN/SPS-52 RADAR","Missile Defense",1991,991000
"2GMH","AN/SPS-52 RADAR","Missile Defense",1994,59732
"2GMH","AN/SPS-52 RADAR","Missile Defense",1996,2759000
"2GMH","AN/SPS-52 RADAR","Missile Defense",2003,3962505
"2GMK","AN/USP-1 RADAR","Missile Defense",1991,49780
"2GMK","AN/USP-1 RADAR","Missile Defense",1992,35035
"2GMK","AN/USP-1 RADAR","Missile Defense",1993,854398
"2GMK","AN/USP-1 RADAR","Missile Defense",1994,243812
"2GMK","AN/USP-1 RADAR","Missile Defense",1998,169740
"2GMK","AN/USP-1 RADAR","Missile Defense",1999,3046537
"2GMK","AN/USP-1 RADAR","Missile Defense",2000,-544324
"2GMK","AN/USP-1 RADAR","Missile Defense",2001,96270
"2GMY","AN/TPS-63 RADAR SET","Missile Defense",1990,556000
"2GMY","AN/TPS-63 RADAR SET","Missile Defense",1991,1377000
"2GMY","AN/TPS-63 RADAR SET","Missile Defense",1992,-134802
"2GMY","AN/TPS-63 RADAR SET","Missile Defense",1993,267294
"2GMY","AN/TPS-63 RADAR SET","Missile Defense",1994,861144
"2GMY","AN/TPS-63 RADAR SET","Missile Defense",1995,377842
"2GMY","AN/TPS-63 RADAR SET","Missile Defense",1996,172980
"2GMY","AN/TPS-63 RADAR SET","Missile Defense",1997,1366680
"2GMY","AN/TPS-63 RADAR SET","Missile Defense",1998,418426
"2GMY","AN/TPS-63 RADAR SET","Missile Defense",1999,147267
"2GMY","AN/TPS-63 RADAR SET","Missile Defense",2000,1818685
"2GMY","AN/TPS-63 RADAR SET","Missile Defense",2002,44373
"2GMY","AN/TPS-63 RADAR SET","Missile Defense",2003,3180974
"2GNF","AN/SPS-48 AIR SEARCH RADA","Missile Defense",1990,2247000
"2GNF","AN/SPS-48 AIR SEARCH RADA","Missile Defense",1991,69807854
"2GNF","AN/SPS-48 AIR SEARCH RADA","Missile Defense",1992,68537098
"2GNF","AN/SPS-48 AIR SEARCH RADA","Missile Defense",1993,29553839
"2GNF","AN/SPS-48 AIR SEARCH RADA","Missile Defense",1994,5450992
"2GNF","AN/SPS-48 AIR SEARCH RADA","Missile Defense",1995,17743162
"2GNF","AN/SPS-48 AIR SEARCH RADA","Missile Defense",1996,5294139
"2GNF","AN/SPS-48 AIR SEARCH RADA","Missile Defense",1997,6555338
"2GNF","AN/SPS-48 AIR SEARCH RADA","Missile Defense",1998,16214754
"2GNF","AN/SPS-48 AIR SEARCH RADA","Missile Defense",1999,-652000
"2GNF","AN/SPS-48 AIR SEARCH RADA","Missile Defense",2000,936237
"2GNF","AN/SPS-48 AIR SEARCH RADA","Missile Defense",2001,4888736
"2GNF","AN/SPS-48 AIR SEARCH RADA","Missile Defense",2002,3651896
"2GNF","AN/SPS-48 AIR SEARCH RADA","Missile Defense",2003,3525959
"2GNI","AN/APG-59 RADAR","Missile Defense",1993,529200
"2GNI","AN/APG-59 RADAR","Missile Defense",2000,84564
"2GNI","AN/APG-59 RADAR","Missile Defense",2001,280836
"2GNM","AN/APQ-109 RADAR","Missile Defense",1991,50000
"2GNM","AN/APQ-109 RADAR","Missile Defense",1996,225483
"2GNM","AN/APQ-109 RADAR","Missile Defense",2003,5788000
"2GNT","AN/SPS 49","Electronics, Comms, & Sensors",1999,7e+06
"2GNT","AN/SPS 49","Electronics, Comms, & Sensors",2000,650000
"2GNT","AN/SPS 49","Electronics, Comms, & Sensors",2001,116397
"2GNT","AN/SPS 49","Electronics, Comms, & Sensors",2002,209231
"2GNT","AN/SPS 49","Electronics, Comms, & Sensors",2003,392500
"2GNU","AN/SPS 30","Electronics, Comms, & Sensors",1991,-183000
"2GNZ","AN/APD-7 RADAR","Missile Defense",1991,866000
"2GQB","AN/SPG-55 RADAR ANTENNA","Missile Defense",1990,2207000
"2GQB","AN/SPG-55 RADAR ANTENNA","Missile Defense",1991,11684000
"2GQB","AN/SPG-55 RADAR ANTENNA","Missile Defense",1992,-930
"2GQB","AN/SPG-55 RADAR ANTENNA","Missile Defense",1993,19173095
"2GQB","AN/SPG-55 RADAR ANTENNA","Missile Defense",1994,121889
"2GQB","AN/SPG-55 RADAR ANTENNA","Missile Defense",1995,142533
"2GQB","AN/SPG-55 RADAR ANTENNA","Missile Defense",1997,506167
"2GQB","AN/SPG-55 RADAR ANTENNA","Missile Defense",1998,581332
"2GQB","AN/SPG-55 RADAR ANTENNA","Missile Defense",1999,3819972
"2GQB","AN/SPG-55 RADAR ANTENNA","Missile Defense",2000,3819970
"2GQB","AN/SPG-55 RADAR ANTENNA","Missile Defense",2002,279206
"2GQB","AN/SPG-55 RADAR ANTENNA","Missile Defense",2003,1108485
"2GQC","AN/BPS-15 RADAR","Missile Defense",1992,3237582
"2GQC","AN/BPS-15 RADAR","Missile Defense",1994,-330216
"2GQC","AN/BPS-15 RADAR","Missile Defense",1998,2761000
"2GQC","AN/BPS-15 RADAR","Missile Defense",2002,267053
"2GQC","AN/BPS-15 RADAR","Missile Defense",2003,1492073
"2GQD","AN/TPS-59 RADAR SYS","Missile Defense",1990,448000
"2GQD","AN/TPS-59 RADAR SYS","Missile Defense",1991,18502000
"2GQD","AN/TPS-59 RADAR SYS","Missile Defense",1992,27133780
"2GQD","AN/TPS-59 RADAR SYS","Missile Defense",1993,31025547
"2GQD","AN/TPS-59 RADAR SYS","Missile Defense",1994,39634974
"2GQD","AN/TPS-59 RADAR SYS","Missile Defense",1995,27823046
"2GQD","AN/TPS-59 RADAR SYS","Missile Defense",1996,24247670
"2GQD","AN/TPS-59 RADAR SYS","Missile Defense",1997,60689109
"2GQD","AN/TPS-59 RADAR SYS","Missile Defense",1998,10585526
"2GQD","AN/TPS-59 RADAR SYS","Missile Defense",1999,15284138
"2GQD","AN/TPS-59 RADAR SYS","Missile Defense",2000,7632772
"2GQD","AN/TPS-59 RADAR SYS","Missile Defense",2001,17403073
"2GQD","AN/TPS-59 RADAR SYS","Missile Defense",2002,941208
"2GQD","AN/TPS-59 RADAR SYS","Missile Defense",2003,537514
"2GQD","AN/TPS-59 RADAR SYS","Missile Defense",2010,-189843.5
"2GQD","AN/TPS-59 RADAR SYS","Missile Defense",2019,0
"2GQE","MK-23 TAS","Missile Defense",1990,1553000
"2GQE","MK-23 TAS","Missile Defense",1991,-28572
"2GQE","MK-23 TAS","Missile Defense",1992,98347
"2GQE","MK-23 TAS","Missile Defense",1994,310276
"2GQE","MK-23 TAS","Missile Defense",1995,950330
"2GQE","MK-23 TAS","Missile Defense",1996,2744560
"2GQE","MK-23 TAS","Missile Defense",1997,343176
"2GQE","MK-23 TAS","Missile Defense",2001,50800
"2GQL","AN/TPS-71 ROHR","Missile Defense",1990,16065000
"2GQL","AN/TPS-71 ROHR","Missile Defense",1992,2729566
"2GQL","AN/TPS-71 ROHR","Missile Defense",1993,1525318
"2GQL","AN/TPS-71 ROHR","Missile Defense",1994,1822001
"2GQM","OTHR (OVER THE HORIZON RA","Electronics, Comms, & Sensors",1993,-65344
"2GSI","AN/SQS-56","Electronics, Comms, & Sensors",1990,6450000
"2GSI","AN/SQS-56","Electronics, Comms, & Sensors",1991,9832000
"2GSI","AN/SQS-56","Electronics, Comms, & Sensors",1993,-1e+05
"2GSI","AN/SQS-56","Electronics, Comms, & Sensors",1994,68000
"2GTA","AN/SQQ-16 MINE SONAR","Electronics, Comms, & Sensors",2003,275000
"2GTL","AN/BQQ-1  SONAR","Electronics, Comms, & Sensors",1990,61000
"2GTL","AN/BQQ-1  SONAR","Electronics, Comms, & Sensors",1991,-36000
"2GYC","OPERATIONAL CONTROL CENTE","Electronics, Comms, & Sensors",1991,221074
"2GYC","OPERATIONAL CONTROL CENTE","Electronics, Comms, & Sensors",1998,261003
"2HBH","AN/PVS-4 SIGHT","Ordnance and Missiles",1991,30000
"2HBH","AN/PVS-4 SIGHT","Ordnance and Missiles",1996,240922
"2HBH","AN/PVS-4 SIGHT","Ordnance and Missiles",1997,472361
"2HBH","AN/PVS-4 SIGHT","Ordnance and Missiles",1998,27031
"2HBH","AN/PVS-4 SIGHT","Ordnance and Missiles",2002,39700
"2HBH","AN/PVS-4 SIGHT","Ordnance and Missiles",2003,137428
"2HXA","EX-41 VLS COVER VERT LNCH","Ordnance and Missiles",1991,40000
"2HXC","25/MK 58 LOCATION MARKER","Ordnance and Missiles",1990,393000
"2HXC","25/MK 58 LOCATION MARKER","Ordnance and Missiles",1993,95381
"2HXC","25/MK 58 LOCATION MARKER","Ordnance and Missiles",1995,113372
"2HXC","25/MK 58 LOCATION MARKER","Ordnance and Missiles",1996,321568
"2HXD","AS2629 BBR CABLE ASSEMBLY","Electronics, Comms, & Sensors",1990,1368714
"2HXD","AS2629 BBR CABLE ASSEMBLY","Electronics, Comms, & Sensors",1991,15596273
"2HXD","AS2629 BBR CABLE ASSEMBLY","Electronics, Comms, & Sensors",1992,-3790632
"2HXD","AS2629 BBR CABLE ASSEMBLY","Electronics, Comms, & Sensors",1993,623681
"2HXD","AS2629 BBR CABLE ASSEMBLY","Electronics, Comms, & Sensors",1995,157295
"2HXN","MK-27","Facilities and Construction",1991,917000
"2HXN","MK-27","Facilities and Construction",1992,478053
"2HXN","MK-27","Facilities and Construction",1993,818736
"2HXN","MK-27","Facilities and Construction",1995,72930
"2HXN","MK-27","Facilities and Construction",1996,120400
"2SCA","DESTROYER DDG-47 AEGIS","Ships & Submarines",1997,2183827
"2SCY","DESTROYER DDG-51","Ships & Submarines",1996,2728468
"2SCY","DESTROYER DDG-51","Ships & Submarines",1997,262525000
"2SCY","DESTROYER DDG-51","Ships & Submarines",1998,265335211
"2SCY","DESTROYER DDG-51","Ships & Submarines",1999,188502272
"2SCY","DESTROYER DDG-51","Ships & Submarines",2000,-1500000
"2SCY","DESTROYER DDG-51","Ships & Submarines",2003,252411568
"2SDL","SUBMARINE FBM-SSBN","Ships & Submarines",1992,41878
