Fiscal_Year,fiscal_quarter_YTD,ContractingCustomer,ContractingSubCustomer,ProductServiceOrRnDarea,PlatformPortfolio,IsF35,IsRemotelyOperated,Vehicle,CompetitionClassification,ClassifyNumberOfOffers,PricingUCA,TypeOfContractPricing,VendorSize,IsEntityTraditional,AnyCommercial,gfe_gfp_code,costaccountingstandardsclause,CurrentEndFYear,multiyearcontract,UnmodifiedUltimateEndFYear,UnmodifiedUltimateDurationCategory,CurrentDurationCategory,transactioncount,Action_Obligation_Then_Year,COVID19obligated,NumberOfActions,dFYear,Fiscal_YQ,YTD,SubCustomer.sum,SubCustomer.platform,Competition.sum,Competition.effective.only,Competition.multisum,No.Competition.sum,Vehicle.sum,Vehicle.sum7,Vehicle.AwardTask,PricingMechanism,PricingFee,PricingInflation,Pricing.sum,PricingUCA.sum,ServicesCategory.detail,ServicesCategory.sum,SimpleArea,PlatformPortfolioUAV,SubCustomer.JPO,Shiny.VendorSize,Action_Obligation_OMB25_GDP23,PricingInflationUCA,CurrentDurationIsYear,PricingInflation.1year,PricingInflation.1yearUCA,PricingUCA.1year,UnmodifiedUltimateDurationIsYear
2012,NA,Defense,DLA,Ground Vehicles,Land Vehicles,NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,FFP,J,Medium >1B,TRUE,N,N,X,2012,FALSE,2009,>1-2 Years,>4 years,3,0,NA,3,2012-01-01,2012,Full Year,Other DoD,DLA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Land Vehicles,DLA,Medium,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2017,NA,Defense,Air Force,MED,Other Services,NA,NA,FSS,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,NA,Y,N,NA,2017,NA,2021,>4 years,>7-12 Months,2,74188.7969,NA,2,2017-01-01,2017,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,MED,Services (Non-R&D),Services (Non-R&D),Other Services,Air Force,Small,90562.26439322701,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2022,3,Defense,DLA,Other,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Small,FALSE,Y,N,NA,2022,FALSE,2022,<=2 Months,<=2 Months,625,6819759.6894,NA,625,2022-01-01,2022.3,Full Year,Other DoD,DLA,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Facilities and Construction,DLA,Small,7131740.4719894435,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2009,NA,Defense,Air Force,PAMS,Other R&D and Knowledge Based,NA,NA,DCA,No Competition (Only One Source Exception),No competition,FFP,J,Large: Big 5,TRUE,N,N,X,2010,FALSE,2004,>7-12 Months,>4 years,2,6490754.48,NA,2,2009-01-01,2009,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Air Force,Big Five,8911555.493415322,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2004,NA,Defense,Army,Aircraft,Aircraft,NA,NA,PO,No Competition (Unlabeled Exception),No competition,FFP,J,Large (Small Subsidiary),TRUE,Y,N,X,2005,FALSE,1900,NA,>2-7 Months,1,19500,NA,1,2004-01-01,2004,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Unlabeled),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Aircraft,Army,Large,30180.86725121362,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2004,NA,Defense,Army,ICT,"Electronics, Comms, & Sensors",NA,NA,PO,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Medium <1B,TRUE,Y,N,X,2005,FALSE,1900,NA,<=2 Months,1,548132,NA,1,2004-01-01,2004,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Army,Medium,848364.0578534475,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2022,3,Defense,DLA,Ships,Ships & Submarines,NA,NA,PO,Competition with single offer,One Offer,FFP,J,Small,FALSE,N,N,NA,2022,NA,2022,>2-7 Months,>7-12 Months,2,-67107.4,NA,2,2022-01-01,2022.3,Full Year,Other DoD,DLA,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Ships & Submarines,DLA,Small,-70177.3350304211,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2009,NA,Defense,Army,MED,Other Services,NA,NA,PO,Unlabeled: Competition; Zero Offers,Unlabeled: Competition; Zero Offers,FFP,J,Small,FALSE,Y,N,X,2009,FALSE,2010,>1-2 Years,>7-12 Months,10,103635,NA,10,2009-01-01,2009,Full Year,Army,Army,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,MED,Services (Non-R&D),Services (Non-R&D),Other Services,Army,Small,142286.8568524405,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2016,NA,Defense,MilitaryHealth,ERS,Facilities and Construction,NA,NA,PO,Limited Competition with multiple offers,Two Offers,FFP,J,Small,FALSE,Y,N,NA,2017,NA,2021,>4 years,>7-12 Months,2,12440,NA,2,2016-01-01,2016,Full Year,Other DoD,Other DoD,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Other DoD,Small,15441.842593547732,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2011,NA,Defense,DLA,Ships,Ships & Submarines,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,Two Offers,Other FP,K,Small,FALSE,N,N,NA,2011,FALSE,2011,>2-7 Months,>2-7 Months,13,41405,NA,13,2011-01-01,2011,Full Year,Other DoD,DLA,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Fixed Price with Economic Price Adjustment,FP-Econ. Price Adj.,FP-Econ. Price Adj.,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Ships & Submarines,DLA,Small,55250.41925267118,FP-Econ. Price Adj.,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2005,NA,Defense,Navy,ERS,Ships & Submarines,NA,NA,PO,Competition with single offer,One Offer,FFP,J,Large,FALSE,N,N,X,2005,FALSE,1900,NA,<=2 Months,1,37566,NA,1,2005-01-01,2005,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Ships & Submarines,Navy,Large,56425.26913348342,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2011,NA,Defense,Navy,PAMS,Aircraft,FALSE,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,Other CB,U,Medium <1B,TRUE,N,N,X,2011,FALSE,2009,>1-2 Years,>2-4 Years,5,417475,NA,5,2011-01-01,2011,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,PAMS,Services (Non-R&D),Services (Non-R&D),Aircraft,Navy,Medium,557074.478384468,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2008,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,Two Offers,FFP,J,Small,FALSE,N,N,X,2007,FALSE,2007,>2-7 Months,>2-7 Months,1,0,NA,1,2008-01-01,2008,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Small,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2011,NA,Defense,Air Force,ICT,"Electronics, Comms, & Sensors",NA,NA,PO,Full Competition (Multiple Offers),5-9 Offers,FFP,J,Small,FALSE,Y,N,X,2012,FALSE,2014,>4 years,>2-4 Years,1,0,NA,1,2011-01-01,2011,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Air Force,Small,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2003,NA,Defense,Navy,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,No Competition (Other Exception),No competition,FFP,J,Medium <1B,NA,N,N,X,2001,FALSE,NA,NA,NA,1,439757,NA,1,2003-01-01,2003,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Medium,697248.1745171954,FFP,NA,FFP,FFP,Fixed-Price,NA
2011,NA,Defense,DLA,Other,Other Products,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,Two Offers,FFP,J,Medium <1B,NA,N,N,NA,2011,FALSE,2011,>2-7 Months,>2-7 Months,2,0,NA,2,2011-01-01,2011,Full Year,Other DoD,DLA,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Other Products,DLA,Medium,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2018,NA,Defense,Navy,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),Two Offers,FFP,J,Medium <1B,TRUE,Y,N,NA,2016,FALSE,2015,>7-12 Months,>2-4 Years,1,-33139.6211,NA,1,2018-01-01,2018,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Medium,-39574.97110444751,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2011,NA,Defense,Air Force,Aircraft,Aircraft,FALSE,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,FFP,J,Large: Big 5,TRUE,N,N,NA,2011,FALSE,2016,>4 years,>2-7 Months,3,448918.4376,NA,3,2011-01-01,2011,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Aircraft,Air Force,Big Five,599032.2880727957,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2008,NA,Defense,Navy,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,FSS,Limited Competition with multiple offers,3-4 Offers,FFP,J,Medium <1B,TRUE,Y,N,N,2009,FALSE,2009,<=2 Months,<=2 Months,1,52890.5,NA,1,2008-01-01,2008,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Medium,73359.20159512493,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2013,NA,Defense,Navy,Basic Research (6.1),"Electronics, Comms, & Sensors",NA,NA,DCA,Limited Competition with multiple offers,10-24 Offers,FFP,J,Small,FALSE,N,N,X,2013,FALSE,2013,>1-2 Years,>1-2 Years,1,69941,NA,1,2013-01-01,2013,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,R&D,R&D,R&D,"Electronics, Comms, & Sensors",Navy,Small,90031.61306633211,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2002,NA,Defense,Navy,PAMS,Ships & Submarines,FALSE,NA,DCA,No Competition (Only One Source Exception),No competition,Other CB,U,Small,FALSE,N,N,X,2003,FALSE,1900,NA,>1-2 Years,1,450000,NA,1,2002-01-01,2002,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Definitive,Definitive,Award,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,PAMS,Services (Non-R&D),Services (Non-R&D),Ships & Submarines,Navy,Small,727184.2734591392,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,NA
2020,NA,Defense,Navy,PAMS,Other R&D and Knowledge Based,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,Two Offers,Other CB,U,Large,TRUE,N,Y,NA,2020,FALSE,2021,>2-4 Years,>2-4 Years,2,12451.5703,NA,2,2020-01-01,2020,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Navy,Large,14411.332002423502,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2013,NA,Defense,Air Force,Basic Research (6.1),Other R&D and Knowledge Based,NA,NA,DCA,Competition with single offer,One Offer,Other CB,U,Small,TRUE,N,N,X,2014,FALSE,2012,>4 years,>4 years,5,596797,NA,5,2013-01-01,2013,Full Year,Air Force,Air Force,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Definitive,Definitive,Award,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,R&D,R&D,R&D,Other R&D and Knowledge Based,Air Force,Small,768227.4571874553,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2010,NA,Defense,Air Force,Clothing & Subsistence,Other Products,NA,NA,PO,Limited Competition with multiple offers,Two Offers,FFP,J,Medium <1B,TRUE,Y,N,NA,2011,NA,2011,>2-7 Months,>2-7 Months,1,36335.2188,NA,1,2010-01-01,2010,Full Year,Air Force,Air Force,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Other Products,Air Force,Medium,49458.52093321028,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2009,NA,Defense,Army,Construction,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,FALSE,N,N,X,2009,FALSE,2009,<=2 Months,>2-7 Months,3,63571.3184,NA,3,2009-01-01,2009,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Construction,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,87280.96763739776,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2006,NA,Defense,Air Force,Engines & Power Plants,Aircraft,NA,NA,SINGLE AWARD IDC,No Competition (Other Exception),No competition,FFP,J,Large,TRUE,N,N,X,2006,FALSE,1900,NA,>7-12 Months,10,831231,NA,10,2006-01-01,2006,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Aircraft,Air Force,Large,1209252.3910066634,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2021,NA,Defense,Army,Missiles & Space,Ordnance and Missiles,FALSE,NA,DCA,No Competition (Only One Source Exception),No competition,FFP,J,Large: Big 5,TRUE,N,N,Y,2021,FALSE,2021,>2-4 Years,>2-4 Years,1,0,NA,1,2021-01-01,2021,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Ordnance and Missiles,Army,Big Five,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2012,NA,Defense,DLA,ICT,"Electronics, Comms, & Sensors",NA,NA,PO,No Competition (Only One Source Exception),No competition,FFP,J,Medium <1B,FALSE,Y,N,NA,2013,NA,2013,>1-2 Years,>1-2 Years,2,45695,NA,2,2012-01-01,2012,Full Year,Other DoD,DLA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",DLA,Medium,59888.218296515035,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2022,2,Defense,Navy,Ships,Ships & Submarines,NA,NA,DCA,Full Competition (Multiple Offers),5-9 Offers,FFP,J,Medium <1B,TRUE,N,N,Y,2022,FALSE,2008,>2-7 Months,>4 years,2,0,NA,2,2022-01-01,2022.2,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Ships & Submarines,Navy,Medium,0,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2019,NA,Defense,DLA,Aircraft,Aircraft,NA,NA,PO,Limited Competition with multiple offers,10-24 Offers,FFP,J,Small,FALSE,N,N,NA,2020,NA,2019,>2-7 Months,>1-2 Years,1,0,NA,1,2019-01-01,2019,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Aircraft,DLA,Small,0,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2016,NA,Defense,Navy,PAMS,Other R&D and Knowledge Based,NA,NA,FSS,Limited Competition with multiple offers,3-4 Offers,FFP,J,Medium <1B,TRUE,Y,Y,NA,2016,NA,2015,>2-7 Months,>7-12 Months,1,0,NA,1,2016-01-01,2016,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Navy,Medium,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2018,NA,Defense,Air Force,MED,Other Services,NA,NA,DCA,No Competition (Other Exception),No competition,FFP,J,Small,FALSE,Y,N,X,2018,FALSE,2022,>4 years,>7-12 Months,15,1894801.84,NA,15,2018-01-01,2018,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,MED,Services (Non-R&D),Services (Non-R&D),Other Services,Air Force,Small,2262751.521520986,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2010,NA,Defense,Navy,MED,Other Services,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,TRUE,N,N,X,2010,FALSE,2010,>1-2 Years,>7-12 Months,1,-29642.3496,NA,1,2010-01-01,2010,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,MED,Services (Non-R&D),Services (Non-R&D),Other Services,Navy,Small,-40348.36768895795,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2014,NA,Defense,DLA,Engines & Power Plants,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Small,FALSE,N,N,NA,2014,TRUE,2014,>2-7 Months,>2-7 Months,1,11229,NA,1,2014-01-01,2014,Full Year,Other DoD,DLA,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",DLA,Small,14195.567833743391,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2012,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,MULTIPLE AWARD IDC,Competition with single offer,One Offer,Other CB,U,Large,TRUE,N,N,NA,2012,FALSE,2012,>7-12 Months,>1-2 Years,20,19569873.8052,NA,20,2012-01-01,2012,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Multi-Awd.,Multi-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Large,25648427.059439085,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,<=1 year
2016,NA,Defense,Army,Clothing & Subsistence,Other Products,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Small,FALSE,Y,N,NA,2016,FALSE,2016,<=2 Months,>2-7 Months,1,0,NA,1,2016-01-01,2016,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Other Products,Army,Small,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2022,3,Defense,DISA,ICT,"Electronics, Comms, & Sensors",NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,Two Offers,Other CB,U,Large,TRUE,N,Y,NA,2019,FALSE,2018,>4 years,>4 years,1,-23478.3203,NA,1,2022-01-01,2022.3,Full Year,Other DoD,Other DoD,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Other DoD,Large,-24552.373503438324,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2001,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),Two Offers,FFP,J,Large,TRUE,Y,N,X,2002,FALSE,1900,NA,>7-12 Months,4,2699594,NA,4,2001-01-01,2001,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Large,4431080.266154291,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2010,NA,Defense,Navy,Construction,Facilities and Construction,NA,NA,DCA,Full Competition (Multiple Offers),Two Offers,FFP,J,Medium <1B,FALSE,N,N,X,2010,FALSE,2010,>2-7 Months,>2-7 Months,7,86809.5547,NA,7,2010-01-01,2010,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Construction,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Medium,118162.82714479245,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2008,NA,Defense,Navy,Aircraft,Aircraft,NA,NA,PO,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,TRUE,Y,N,X,2009,FALSE,2009,>7-12 Months,>7-12 Months,1,2687993,NA,1,2008-01-01,2008,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Aircraft,Navy,Small,3728250.25993864,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2012,NA,Defense,Navy,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Small,FALSE,N,N,NA,2011,FALSE,2011,<=2 Months,<=2 Months,1,0,NA,1,2012-01-01,2012,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Small,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2008,NA,Defense,Navy,PAMS,Other Services,NA,NA,PO,Competition with single offer,One Offer,FFP,J,Small,FALSE,Y,N,X,2008,FALSE,2008,>7-12 Months,>7-12 Months,4,79602,NA,4,2008-01-01,2008,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other Services,Navy,Small,110408.0915358171,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
