"Product_or_Service_Code","Product_or_Service_Description","Action_Obligation2020","Action_Obligation2021"
"1660","AIRCRAFT AIR CONDITIONING, HEATING, AND PRESSURIZING EQUIPMENT",258905.33,0
"8420","UNDERWEAR AND NIGHTWEAR, MEN'S",258040.2,0
"5963","ELECTRONIC MODULES",249854.27,186.55
"N061","INSTALLATION OF EQUIPMENT- ELECTRIC WIRE AND POWER DISTRIBUTION EQUIPMENT",233131.83,15990
"6330","RAILROAD SIGNAL AND WARNING DEVICES",248325,-385
"U001","EDUCATION/TRAINING- LECTURES",174961.5,70182
"N016","INSTALLATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES",238507.8,0
"Z2GZ","REPAIR OR ALTERATION OF OTHER WAREHOUSE BUILDINGS",182221.38,55647
"W035","LEASE OR RENTAL OF EQUIPMENT- SERVICE AND TRADE EQUIPMENT",236370,0
"Q513","MEDICAL- ORTHOPEDIC",-110000,342101.36
"AA11","AGRICULTURE R&D SERVICES; AGRICULTURAL RESEARCH AND SERVICES; BASIC RESEARCH",0,231750
"H910","OTHER QC/TEST/INSPECT- WEAPONS",231570,0
"W036","LEASE OR RENTAL OF EQUIPMENT- SPECIAL INDUSTRY MACHINERY",230772,730
"6835","MEDICAL GASES",0,231376.8
"8115","BOXES, CARTONS, AND CRATES",159861.61,66941.15
"H999","OTHER QC/TEST/INSPECT- MISCELLANEOUS",225624.74,0
"5660","FENCING, FENCES, GATES AND COMPONENTS",130048.8,93912.8
"2305","GROUND EFFECT VEHICLES",96658.87,119304.72
"AN47","R&D- MEDICAL: HEALTH SERVICES (COMMERCIALIZED)",214633.23,0
"1710","AIRCRAFT LANDING EQUIPMENT",214129.24,-500
"W079","LEASE OR RENTAL OF EQUIPMENT- CLEANING EQUIPMENT AND SUPPLIES",213211.08,0
"AJ72","R&D- GENERAL SCIENCE/TECHNOLOGY: SOCIAL SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",212430,0
"Z2PA","REPAIR OR ALTERATION OF RECREATION FACILITIES (NON-BUILDING)",5948.04,203300.84
"Z1LB","MAINTENANCE OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS",142379.55,65688
"7240","HOUSEHOLD AND COMMERCIAL UTILITY CONTAINERS",189739.15,16560
"7J20","IT AND TELECOM - SECURITY AND COMPLIANCE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE)",0,205598.41
"5140","TOOL AND HARDWARE BOXES",203110.32,0
"8150","FREIGHT CONTAINERS",66103.1,136997.45
"4310","COMPRESSORS AND VACUUM PUMPS",245981.44,-45600
"C1QA","ARCHITECT AND ENGINEERING- CONSTRUCTION: RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE)",204289.69,-4283.2
"DE11","IT AND TELECOM - MOBILE DEVICE AS A SERVICE",0,199562.26
"S114","UTILITIES- WATER",197516,0
"6105","MOTORS, ELECTRICAL",180997.98,16229.28
"AN93","R&D- MEDICAL: OTHER (ADVANCED DEVELOPMENT)",195048,0
"6940","COMMUNICATION TRAINING DEVICES",195000,0
"F107","ENVIRONMENTAL SYSTEMS PROTECTION- TOXIC AND HAZARDOUS SUBSTANCE ANALYSIS",192685,-300
"C215","ARCHITECT AND ENGINEERING- GENERAL: PRODUCTION ENGINEERING",190389,0
"3448","RIVETING MACHINES",189367.53,0
"X1FA","LEASE/RENTAL OF FAMILY HOUSING FACILITIES",192791.29,-6800
"4020","FIBER ROPE, CORDAGE, AND TWINE",166761.4,18906.62
"9390","MISCELLANEOUS FABRICATED NONMETALLIC MATERIALS",184071.44,147.78
"H258","EQUIPMENT AND MATERIALS TESTING- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT",0,184087.21
"9545","PLATE, SHEET, STRIP, FOIL, AND WIRE: PRECIOUS METAL",183527.52,0
"2990","MISCELLANEOUS ENGINE ACCESSORIES, NONAIRCRAFT",169383.72,6021.6
"Y1LZ","CONSTRUCTION OF PARKING FACILITIES",175000,0
"8135","PACKAGING AND PACKING BULK MATERIALS",164100.04,9885.44
"6720","CAMERAS, STILL PICTURE",173399.79,0
"R424","SUPPORT- PROFESSIONAL: EXPERT WITNESS",3567.37,169013.9
"W081","LEASE OR RENTAL OF EQUIPMENT- CONTAINERS, PACKAGING, AND PACKING SUPPLIES",0,170930.95
"7330","KITCHEN HAND TOOLS AND UTENSILS",170087.95,617.4
"B507","SPECIAL STUDIES/ANALYSIS- ECONOMIC",160000,9833.61
"X1EA","LEASE/RENTAL OF AMMUNITION FACILITIES",168000,0
"U010","EDUCATION/TRAINING- CERTIFICATIONS/ACCREDITATIONS FOR EDUCATIONAL INSTITUTIONS",10724,154209.1
"Z2FF","REPAIR OR ALTERATION OF PENAL FACILITIES",164653,0
"2910","ENGINE FUEL SYSTEM COMPONENTS, NONAIRCRAFT",149416.52,15213.21
"6145","WIRE AND CABLE, ELECTRICAL",169.9,154846.18
"7C21","IT AND TELECOM - OTHER DATA CENTER FACILITIES PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE)",0,154463.56
"V001","TRANSPORTATION/TRAVEL/RELOCATION- MOTOR POOL AND PACKING/CRATING: GBL/GTR PROCS",52264,1e+05
"AD44","R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE (ENGINEERING DEVELOPMENT)",150000,0
"L070","TECHNICAL REPRESENTATIVE- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT",149851.6,0
"AH12","NATURAL RESOURCES AND ENVIRONMENT R&D SERVICES; WATER RESOURCES; APPLIED RESEARCH",0,149609.31
"9340","GLASS FABRICATED MATERIALS",139095.68,8787.32
"DJ10","IT AND TELECOM - SECURITY AND COMPLIANCE AS A SERVICE",0,147693.53
"H270","EQUIPMENT AND MATERIALS TESTING- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT",147264,0
"2340","MOTORCYCLES, MOTOR SCOOTERS, AND BICYCLES",108290,37011.58
"H339","INSPECTION- MATERIALS HANDLING EQUIPMENT",143497.95,0
"K059","MODIFICATION OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS",122174.71,20350
"Y1BG","CONSTRUCTION OF ELECTRONIC AND COMMUNICATIONS FACILITIES",141931.12,0
"R615","SUPPORT- ADMINISTRATIVE: BACKGROUND INVESTIGATION",107670,32985.5
"Q508","MEDICAL- HEMATOLOGY",73728,66654
"Y1FC","CONSTRUCTION OF TROOP HOUSING FACILITIES",140096.3,153
"R401","SUPPORT- PROFESSIONAL: PERSONAL CARE (NON-MEDICAL)",497450,-359175
"Q601","MEDICAL CODING AND AUDITING",0,138240
"1367","TACTICAL SETS, KITS, AND OUTFITS",136943.02,0
"7E21","IT AND TELECOM - MOBILE DEVICE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE)",0,135224.6
"M1ND","OPERATION OF SEWAGE AND WASTE FACILITIES",133850,0
"H112","QUALITY CONTROL- FIRE CONTROL EQUIPMENT",132675,0
"5915","FILTERS AND NETWORKS",124859.4,7141.04
"Y1NZ","CONSTRUCTION OF OTHER UTILITIES",129883,0
"N056","INSTALLATION OF EQUIPMENT- CONSTRUCTION AND BUILDING MATERIALS",81599,48000
"5975","ELECTRICAL HARDWARE AND SUPPLIES",129587.89,0
"V115","TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: VESSEL FREIGHT",117412.5,11625
"AC12","NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; APPLIED RESEARCH",0,127600
"7H20","IT AND TELECOM - PLATFORM PRODUCTS: DATABASE, MAINFRAME, MIDDLEWARE (HW, PERPETUAL LICENSE SOFTWARE)",0,126277.26
"6695","COMBINATION AND MISCELLANEOUS INSTRUMENTS",60314.1,65781.06
"R607","SUPPORT- ADMINISTRATIVE: WORD PROCESSING/TYPING",77003.37,47528.34
"Z2PZ","REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES",43429,79424
"8330","LEATHER",121738,0
"Y1EZ","CONSTRUCTION OF OTHER INDUSTRIAL BUILDINGS",118081,0
"6140","BATTERIES, RECHARGEABLE",112699.58,5270.69
"1910","TRANSPORT VESSELS, PASSENGER AND TROOP",431847.72,-315300
"Z2KA","REPAIR OR ALTERATION OF DAMS",0,115359.95
"H979","OTHER QC/TEST/INSPECT- CLEANING EQUIPMENT AND SUPPLIES",114787.94,0
"3605","FOOD PRODUCTS MACHINERY AND EQUIPMENT",113632.34,0
"5998","ELECTRICAL AND ELECTRONIC ASSEMBLIES, BOARDS, CARDS, AND ASSOCIATED HARDWARE",112951.4,0
"K071","MODIFICATION OF EQUIPMENT- FURNITURE",108228.27,3596.59
"2995","MISCELLANEOUS ENGINE ACCESSORIES, AIRCRAFT",111396.48,0
"4235","HAZARDOUS MATERIAL SPILL CONTAINMENT AND CLEAN-UP EQUIPMENT AND MATERIAL",83253.54,28002
"9150","OILS AND GREASES: CUTTING, LUBRICATING, AND HYDRAULIC",90903.07,18548.27
"9310","PAPER AND PAPERBOARD",109002.43,0
"3040","MISCELLANEOUS POWER TRANSMISSION EQUIPMENT",123784.14,-15468.88
"4920","AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT",-17854.25,126118.3
"W042","LEASE OR RENTAL OF EQUIPMENT- FIRE FIGHTING/RESCUE/SAFETY EQUIPMENT; ENVIRON PROTECT EQUIPMENT/MATLS",105330,0
"AJ11","R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (BASIC RESEARCH)",105105.56,0
"Z2HA","REPAIR OR ALTERATION OF GOVERNMENT-OWNED CONTRACTOR-OPERATED (GOCO) R&D FACILITIES",104219.02,0
"5996","AMPLIFIERS",0,103200
"6615","AUTOMATIC PILOT MECHANISMS AND AIRBORNE GYRO COMPONENTS",103171.59,0
"4520","SPACE AND WATER HEATING EQUIPMENT",56824.56,45257.2
"B544","SPECIAL STUDIES/ANALYSIS- TECHNOLOGY",67985,33050
"6636","ENVIRONMENTAL CHAMBERS AND RELATED EQUIPMENT",100332,0
"X1PD","LEASE/RENTAL OF WASTE TREATMENT AND STORAGE FACILITIES",60000,40000
"S207","HOUSEKEEPING- INSECT/RODENT CONTROL",89597.75,10400
"6210","INDOOR AND OUTDOOR ELECTRIC LIGHTING FIXTURES",99699,0
"4330","CENTRIFUGALS, SEPARATORS, AND PRESSURE AND VACUUM FILTERS",128000.54,-28378
"Y1GZ","CONSTRUCTION OF OTHER WAREHOUSE BUILDINGS",97969.26,0
"H166","QUALITY CONTROL- INSTRUMENTS AND LABORATORY EQUIPMENT",48180,48180
"8445","HOSIERY, HANDWEAR, AND CLOTHING ACCESSORIES, WOMEN'S",96228,0
"6665","HAZARD-DETECTING INSTRUMENTS AND APPARATUS",96337.8,-1248
"X1FD","LEASE/RENTAL OF DINING FACILITIES",94919.18,0
"H165","QUALITY CONTROL- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",92375,0
"4720","HOSE AND FLEXIBLE TUBING",69699.38,21111.87
"5815","TELETYPE AND FACSIMILE EQUIPMENT",0,90321.35
"S211","HOUSEKEEPING- SURVEILLANCE",90160.72,0
"8960","BEVERAGES, NONALCOHOLIC",89772.5,0
"Z1DB","MAINTENANCE OF LABORATORIES AND CLINICS",0,88578.07
"Q527","MEDICAL- NUCLEAR MEDICINE",0,88400
"5831","INTERCOMMUNICATION AND PUBLIC ADDRESS SYSTEMS, AIRBORNE",87492,0
"AA11","R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (BASIC RESEARCH)",87461,0
"6160","MISCELLANEOUS BATTERY RETAINING FIXTURES, LINERS AND ANCILLARY ITEMS",87436.64,0
"AR11","R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH)",86054,0
"Z2CA","REPAIR OR ALTERATION OF SCHOOLS",0,84700
"2410","TRACTOR, FULL TRACKED, LOW SPEED",82700,0
"AP52","R&D- NATURAL RESOURCE: MARINE AND OCEANOGRAPHIC (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",80045,0
"G001","SOCIAL- CARE OF REMAINS AND/OR FUNERAL",23000,56802.25
"H141","QUALITY CONTROL- REFRIGERATION, AIR CONDITIONING, AND AIR CIRCULATING EQUIPMENT",52502,26745.75
"3010","TORQUE CONVERTERS AND SPEED CHANGERS",79584.14,-675
"7D20","IT AND TELECOM - SERVICE DELIVERY MANAGEMENT (HARDWARE AND PERPETUAL LICENSE SOFTWARE)",0,78377.08
"Z2FC","REPAIR OR ALTERATION OF TROOP HOUSING FACILITIES",78152,0
"5830","INTERCOMMUNICATION AND PUBLIC ADDRESS SYSTEMS, EXCEPT AIRBORNE",0,77507.4
"2610","TIRES AND TUBES, PNEUMATIC, EXCEPT AIRCRAFT",68578,6400.7
"H299","EQUIPMENT AND MATERIALS TESTING- MISCELLANEOUS",48130.8,25067.84
"AH91","R&D- ENVIRONMENTAL PROTECTION: OTHER (BASIC RESEARCH)",51776,21396
"AJ76","R&D- GENERAL SCIENCE/TECHNOLOGY: SOCIAL SCIENCES (MANAGEMENT/SUPPORT)",71861,0
"Z1ND","MAINTENANCE OF SEWAGE AND WASTE FACILITIES",52117.5,18925.77
"X1CA","LEASE/RENTAL OF SCHOOLS",70000,0
"R605","SUPPORT- ADMINISTRATIVE: LIBRARY",69882.85,0
"6135","BATTERIES, NONRECHARGEABLE",58122.25,11056.53
"7530","STATIONERY AND RECORD FORMS",471.12,64576
"J019","MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIPS, SMALL CRAFT, PONTOONS, AND FLOATING DOCKS",64224.15,0
"5335","METAL SCREENING",63332,0
"AD25","R&D- DEFENSE OTHER: SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT)",0,63317.69
"N054","INSTALLATION OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING",0,63281
"N058","INSTALLATION OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT",26928.86,34454.1
"5905","RESISTORS",60842.88,0
"X1JZ","LEASE/RENTAL OF MISCELLANEOUS BUILDINGS",49898.69,10584
"5930","SWITCHES",60181.49,80.46
"2060","COMMERCIAL FISHING EQUIPMENT",59996.64,0
"3920","MATERIAL HANDLING EQUIPMENT, NONSELF-PROPELLED",59810,0
"J076","MAINT/REPAIR/REBUILD OF EQUIPMENT- BOOKS, MAPS, AND OTHER PUBLICATIONS",57514,0
"S111","UTILITIES- GAS",55900,0
"Z2FD","REPAIR OR ALTERATION OF DINING FACILITIES",55726.05,0
"5310","NUTS AND WASHERS",53230.78,2209.3
"E1GD","PURCHASE OF OPEN STORAGE FACILITIES",0,55100
"G002","SOCIAL- CHAPLAIN",54262.46,0
"T006","PHOTO/MAP/PRINT/PUBLICATION- FILM/VIDEO TAPE PRODUCTION",44814.32,9109.94
"K025","MODIFICATION OF EQUIPMENT- VEHICULAR EQUIPMENT COMPONENTS",53648.78,0
"7690","MISCELLANEOUS PRINTED MATTER",52327.37,740.46
"3450","MACHINE TOOLS, PORTABLE",22602.87,29516.58
"L065","TECHNICAL REPRESENTATIVE- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",51683.91,0
"AJ13","GENERAL SCIENCE & TECHNOLOGY R&D SVCS; GENERAL SCIENCE & TECHNOLOGY; EXPERIMENTAL DEVELOPMENT",0,51192
"J062","MAINT/REPAIR/REBUILD OF EQUIPMENT- LIGHTING FIXTURES AND LAMPS",51000,0
"C1BZ","ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER AIRFIELD STRUCTURES",50000,0
"R613","SUPPORT- ADMINISTRATIVE: POST OFFICE",50000,0
"R617","SUPPORT - ADMINISTRATIVE: ELECTRONIC RECORDS MANAGEMENT SERVICES",0,49913.24
"X1NZ","LEASE/RENTAL OF OTHER UTILITIES",49980,-194.96
"8110","DRUMS AND CANS",49222.36,551.25
"6920","ARMAMENT TRAINING DEVICES",49106.7,0
"3695","MISCELLANEOUS SPECIAL INDUSTRY MACHINERY",48903.12,0
"Z2EB","REPAIR OR ALTERATION OF MAINTENANCE BUILDINGS",47225.96,0
"H941","OTHER QC/TEST/INSPECT- REFRIGERATION, AIR CONDITIONING, AND AIR CIRCULATING EQUIPMENT",46908,0
"5925","CIRCUIT BREAKERS",47572.23,-700
"4320","POWER AND HAND PUMPS",42087.71,3873.76
"J038","MAINT/REPAIR/REBUILD OF EQUIPMENT- CONSTRUCTION/MINING/EXCAVATING/HIGHWAY MAINTENANCE EQUIPMENT",45960,0
"R404","SUPPORT- PROFESSIONAL: LAND SURVEYS-CADASTRAL (NON-CONSTRUCTION)",45734.73,0
"5430","STORAGE TANKS",45280,0
"3424","METAL HEAT TREATING AND NON-THERMAL TREATING EQUIPMENT",45000,0
"S204","HOUSEKEEPING- FUELING AND OTHER PETROLEUM",0,45000
"AN51","R&D- MEDICAL: MENTAL HEALTH (BASIC RESEARCH)",43519.3,0
"6635","PHYSICAL PROPERTIES TESTING AND INSPECTION",42827.04,0
"7730","PHONOGRAPHS, RADIOS, AND TELEVISION SETS: HOME TYPE",41296.12,0
"Z2KC","REPAIR OR ALTERATION OF MINE FIRE CONTROL FACILITIES",41200,0
"AB95","R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)",41140,0
"AS32","TRANSPORTATION R&D SERVICES; WATER TRANSPORTATION; APPLIED RESEARCH",0,40840
"R606","SUPPORT- ADMINISTRATIVE: COURT REPORTING",-376,41063.55
"5110","HAND TOOLS, EDGED, NONPOWERED",37628.79,2938.93
"5950","COILS AND TRANSFORMERS",40155.1,0
"7220","FLOOR COVERINGS",14292.92,25049.95
"5985","ANTENNAS, WAVEGUIDES, AND RELATED EQUIPMENT",23647.86,15477.42
"8410","OUTERWEAR, WOMEN'S",35863.73,3167.51
"5130","HAND TOOLS, POWER DRIVEN",38844.19,0
"H399","INSPECTION- MISCELLANEOUS",0,37492.05
"X1DZ","LEASE/RENTAL OF OTHER HOSPITAL BUILDINGS",35560,0
"K041","MODIFICATION OF EQUIPMENT- REFRIGERATION, AIR CONDITIONING, AND AIR CIRCULATING EQUIPMENT",30444,4684.44
"1905","COMBAT SHIPS AND LANDING VESSELS",34605.28,0
"M2AF","HUSBANDING SERVICES-INCIDENTAL SERVICES",34540,0
"5850","VISIBLE AND INVISIBLE LIGHT COMMUNICATION EQUIPMENT",33960,0
"8335","SHOE FINDINGS AND SOLING MATERIALS",33490,0
"N023","INSTALLATION OF EQUIPMENT- GROUND EFFECT VEHICLES, MOTOR VEHICLES, TRAILERS, AND CYCLES",32798,0
"AC24","NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; R&D ADMINISTRATIVE EXPENSES",0,32796.84
"V226","TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: TAXICAB",36249.2,-4248.8
"3655","GAS GENERATING AND DISPENSING SYSTEMS, FIXED OR MOBILE",31780.56,0
"N035","INSTALLATION OF EQUIPMENT- SERVICE AND TRADE EQUIPMENT",31361.63,0
"L063","TECHNICAL REPRESENTATIVE- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",30459.85,0
"J016","MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES",30076.54,0
"3685","SPECIALIZED METAL CONTAINER MANUFACTURING MACHINERY AND RELATED EQUIPMENT",30003.5,0
"AJ22","R&D- GENERAL SCI/TECH: MATHEMATICAL/COMPUTER SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",30000,0
"W058","LEASE OR RENTAL OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT",29881.12,0
"5306","BOLTS",171.38,29610.7
"H242","EQUIP/MATERIALS TESTING- FIRE FIGHTING/RESCUE/SAFETY EQUIPMENT; ENVIRON PROTECT EQUIPMENT/MATLS",29535.84,0
"W075","LEASE OR RENTAL OF EQUIPMENT- OFFICE SUPPLIES AND DEVICES",29500,0
"K070","MODIFICATION OF EQUIPMENT- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT",29250,0
"7040","PUNCHED CARD EQUIPMENT",28252.23,0
"7G22","IT AND TELECOM - NETWORK: SATELLITE AND RF COMMUNICATIONS PRODUCTS (HW, PERPETUAL LICENSE SOFTWARE)",0,28136.16
"H946","OTHER QC/TEST/INSPECT- WATER PURIFICATION AND SEWAGE TREATMENT EQUIPMENT",28000,0
"3433","GAS WELDING, HEAT CUTTING, AND METALIZING EQUIPMENT",10000,17886.46
"N077","INSTALLATION OF EQUIPMENT- MUSICAL INST/PHONOGRAPH/HOME RADIO",0,26917.14
"Z1KF","MAINTENANCE OF DREDGING FACILITIES",26885,0
"9130","LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",22257.21,4533.88
"AJ94","R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (ENGINEERING DEVELOPMENT)",26282.94,0
"J081","MAINT/REPAIR/REBUILD OF EQUIPMENT- CONTAINERS, PACKAGING, AND PACKING SUPPLIES",26160.12,0
"4440","DRIERS, DEHYDRATORS, AND ANHYDRATORS",25865,0
"4710","PIPE, TUBE AND RIGID TUBING",30520.5,-4902
"5970","ELECTRICAL INSULATORS AND INSULATING MATERIALS",10508.03,15085.23
"9110","FUELS, SOLID",25245,0
"K045","MODIFICATION OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT",25064.81,0
"AB92","R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",25000,0
"9440","MISCELLANEOUS CRUDE AGRICULTURAL AND FORESTRY PRODUCTS",24944.4,0
"L061","TECHNICAL REPRESENTATIVE- ELECTRIC WIRE AND POWER DISTRIBUTION EQUIPMENT",24931.5,0
"4010","CHAIN AND WIRE ROPE",10323.18,14586.42
"3120","BEARINGS, PLAIN, UNMOUNTED",22884.95,2022
"Z2LB","REPAIR OR ALTERATION OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS",24840,0
"W024","LEASE OR RENTAL OF EQUIPMENT- TRACTORS",56127,-31309.55
"V224","TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: PASSENGER MARINE CHARTER",15136,9598
"J025","MAINT/REPAIR/REBUILD OF EQUIPMENT- VEHICULAR EQUIPMENT COMPONENTS",24647.5,0
"4630","SEWAGE TREATMENT EQUIPMENT",24624,0
"7820","GAMES, TOYS, AND WHEELED GOODS",0,24436
"R412","SUPPORT- PROFESSIONAL: SIMULATION",24205,0
"G005","SOCIAL- GERIATRIC",52390.8,-29203.02
"3110","BEARINGS, ANTIFRICTION, UNMOUNTED",22943.01,0
"3449","MISCELLANEOUS SECONDARY METAL FORMING AND CUTTING MACHINES",0,22500
"DE02","IT AND TELECOM - MOBILE DEVICE SUPPORT SERVICES (LABOR)",0,22442.73
"2620","TIRES AND TUBES, PNEUMATIC, AIRCRAFT",15039.07,6890.38
"Q520","MEDICAL- PODIATRY",21384,0
"1005","GUNS, THROUGH 30MM",21877.51,-529.34
"G008","SOCIAL- GOVERNMENT INSURANCE PROGRAMS: OTHER",0,21300.9
"V214","TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: MARINE PASSENGER",21300,0
"Z1LZ","MAINTENANCE OF PARKING FACILITIES",20855,0
"5210","MEASURING TOOLS, CRAFTSMEN'S",20688.75,75
"H263","EQUIPMENT AND MATERIALS TESTING- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",20663.22,0
"AN76","R&D- MEDICAL: SPECIALIZED MEDICAL SERVICES (MANAGEMENT/SUPPORT)",20000,0
"N069","INSTALLATION OF EQUIPMENT- TRAINING AIDS AND DEVICES",19932.8,0
"3895","MISCELLANEOUS CONSTRUCTION EQUIPMENT",14659.23,5215.5
"8010","PAINTS, DOPES, VARNISHES, AND RELATED PRODUCTS",19019.53,576.93
"2950","TURBOSUPERCHARGER AND COMPONENTS",17051.23,2435.89
"J010","MAINT/REPAIR/REBUILD OF EQUIPMENT- WEAPONS",19450,0
"J046","MAINT/REPAIR/REBUILD OF EQUIPMENT- WATER PURIFICATION AND SEWAGE TREATMENT EQUIPMENT",19266,0
"Z2NE","REPAIR OR ALTERATION OF WATER SUPPLY FACILITIES",19084,0
"E1AB","PURCHASE OF CONFERENCE SPACE AND FACILITIES",18678.47,0
"2815","DIESEL ENGINES AND COMPONENTS",10561.26,7457.06
"W020","LEASE OR RENTAL OF EQUIPMENT- SHIP AND MARINE EQUIPMENT",0,18000
"5920","FUSES, ARRESTORS, ABSORBERS, AND PROTECTORS",16095.21,890.75
"5307","STUDS",0,16940.58
"DG01","IT AND TELECOM - NETWORK SUPPORT SERVICES (LABOR)",0,16800
"5961","SEMICONDUCTOR DEVICES AND ASSOCIATED HARDWARE",-36846.65,53596.92
"V002","TRANSPORTATION/TRAVEL/RELOCATION- MOTOR POOL AND PACKING/CRATING: MOTOR POOL OPERATIONS",0,16495
"B534","SPECIAL STUDIES/ANALYSIS- WILDLIFE",16486,0
"G006","SOCIAL- GOVERNMENT LIFE INSURANCE PROGRAMS",0,16343.83
"9135","LIQUID PROPELLANT FUELS AND OXIDIZERS, CHEMICAL BASE",0,16297
"H234","EQUIPMENT AND MATERIALS TESTING- METALWORKING MACHINERY",18799.18,-2518.27
"W049","LEASE OR RENTAL OF EQUIPMENT- MAINTENANCE AND REPAIR SHOP EQUIPMENT",15990,0
"C1JZ","ARCHITECT AND ENGINEERING- CONSTRUCTION: MISCELLANEOUS BUILDINGS",15973,0
"H923","OTHER QC/TEST/INSPECT- GROUND EFFECT VEHICLES, MOTOR VEHICLES, TRAILERS, AND CYCLES",15850,0
"6670","SCALES AND BALANCES",15791.04,0
"N036","INSTALLATION OF EQUIPMENT- SPECIAL INDUSTRY MACHINERY",15721.02,0
"5945","RELAYS AND SOLENOIDS",15856.55,-409.34
"J030","MAINT/REPAIR/REBUILD OF EQUIPMENT- MECHANICAL POWER TRANSMISSION EQUIPMENT",15240,0
"Y1KF","CONSTRUCTION OF DREDGING FACILITIES",15000,0
"S119","UTILITIES- OTHER",71244,-56504.22
"6680","LIQUID AND GAS FLOW, LIQUID LEVEL, AND MECHANICAL MOTION MEASURING INSTRUMENTS",14578.07,0
"8455","BADGES AND INSIGNIA",14288.11,0
"H341","INSPECTION- REFRIGERATION, AIR CONDITIONING, AND AIR CIRCULATING EQUIPMENT",0,14132
"8930","JAMS, JELLIES, AND PRESERVES",14000,0
"P100","SALVAGE- PREPARATION AND DISPOSAL OF EXCESS/SURPLUS PROPERTY",14000,0
"7450","OFFICE TYPE SOUND RECORDING AND REPRODUCING MACHINES",0,13972
"B519","SPECIAL STUDIES/ANALYSIS- GEOTECHNICAL",13909.49,0
"3950","WINCHES, HOISTS, CRANES, AND DERRICKS",0,13296
"J072","MAINT/REPAIR/REBUILD OF EQUIPMENT- HOUSEHOLD AND COMMERCIAL FURNISHINGS AND APPLIANCES",6612,6612
"F112","ENVIRONMENTAL SYSTEMS PROTECTION- OIL SPILL RESPONSE",15341.74,-2311.05
"8040","ADHESIVES",4228.11,8725.64
"F008","NATURAL RESOURCES/CONSERVATION- RECREATION SITE MAINTENANCE (NON-CONSTRUCTION)",13099,-490.6
"8450","CHILDREN'S AND INFANTS' APPAREL AND ACCESSORIES",12530.7,0
"AJ52","R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",12211.2,0
