Description_of_Requirement,descrip_row_number,Remotely_Crewed,UAS,CUAS,Maritime,mq,rq,any_uas
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SEVEN (7) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP431 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE GREATER CLEVELAND REGIONAL TRANSIT AUTHORITY (GCRTA).,6418,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FUNDING FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP454 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE JEFFERSON PARISH SHERIFF'S OFFICE (MSY).,6419,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FIVE (5) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP467 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE ALLEGHENY COUNTY AIRPORT AUTHORITY (PIT).,6420,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FIVE (5) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP480 THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY (SFMTA).,6421,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP489 AND PROVIDE UPDATES TO THE OTHER TRANSACTION AGREEMENT (OTA) BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE TRI-COUNTY METROPOLITAN DISTRICT OF OREGON (TRIMET).,6422,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP405 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF AUSTIN, DEPARTMENT OF AVIATION (AUS).",6423,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP438 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE JACKSONVILLE PORT AUTHORITY (JAX).,6424,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP464 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE PORT OF PORTLAND (PDX).,6425,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SIX (6) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP485 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE COUNTY OF SACRAMENTO (SMF).,6426,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP400 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE ALBUQUERQUE INTERNATIONAL SUNPORT (ABQ).,6427,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP482 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF SAN JOSE (SJC).,6428,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP490 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE HILLSBOROUGH COUNTY AVIATION AUTHORITY (TPA).,6429,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SIX (6) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP428 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE WAYNE COUNTY AIRPORT AUTHORITY (DTW).,6430,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR NINE (9) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP430 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND BROWARD COUNTY (FLL).,6431,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FIVE (5) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP434 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE A.B. WON PAT INTERNATIONAL AIRPORT AUTHORITY, GUAM (GUM).",6432,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR ELEVEN (11) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP465 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF PHILADELPHIA, DIVISION OF AVIATION (PHL).",6433,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SIX (6) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP475 AND PROVIDE UPDATES TO THE OTHER TRANSACTION AGREEMENT (OTA) BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF SAN ANTONIO, AVIATION DEPARTMENT (SAT).",6434,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FIVE (5) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP484 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE SALT LAKE CITY CORPORATION (SLC).,6435,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SEVEN (7) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP414 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE MARYLAND AVIATION ADMINISTRATION (BWI).,6436,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP406 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT (BART).,6437,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP445 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE KANSAS CITY AIRPORT POLICE (MCI).,6438,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR ELEVEN (11) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP412 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE MASSACHUSETTS PORT AUTHORITY (BOS).,6439,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR NINE (9) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP487 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF ST. LOUIS INTERNATIONAL AIRPORT AUTHORITY (STL).,6440,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SIX (6) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP491 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF TULSA, TULSA POLICE DEPARTMENT (TUL).",6441,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR TEN (10) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP446 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE GREATER ORLANDO AVIATION AUTHORITY (MCO).,6442,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FUNDING FOR TWENTY-SIX (26) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP451 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE MIAMI-DADE COUNTY, BOARD OF COUNTY COMMISSIONERS (MIA).",6443,,,,,,,
"""THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) TEAM UNDER OTA HSTS02-16-H-NCP452 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE MILWAUKEE COUNTY SHERIFF'S DEPARTMENT (MKE).
""",6444,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FIVE (5) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP462 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE COUNTY OF PALM BEACH (PBI).,6445,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP427 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE DELAWARE RIVER AND BAY AUTHORITY (DRBA).,6446,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SIX (6) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP409 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE BIRMINGHAM POLICE DEPARTMENT (BHM).,6447,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SIXTEEN (16) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP443 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE METROPOLITAN ATLANTA RAPID TRANSIT AUTHORITY (MARTA).,6448,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FIVE (5) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP478 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE PORT OF SEATTLE POLICE DEPARTMENT (SEA).,6449,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP458 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF OMAHA, NEBRASKA (OMA).",6450,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR TWENTY-FIVE (25) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP419 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF CHICAGO DEPARTMENT OF AVIATION, SAFETY, AND SECURITY (CPD).",6451,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOURTEEN (14) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP425 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE DENVER INTERNATIONAL AIRPORT, CITY AND COUNTY OF DENVER (DEN).",6452,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FIFTEEN (15) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP481 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE SAN FRANCISCO INTERNATIONAL AIRPORT (SFO).,6453,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SIX (6) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP440 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CLARK COUNTY DEPARTMENT OF AVIATION (LAS).,6454,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR EIGHT (8) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP466 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF PHOENIX (PHX).,6455,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP497 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE PHOENIX POLICE DEPARTMENT, TRANSIT ENFORCEMENT UNIT (PHXMT).",6456,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THIRTEEN (13) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP495 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE WASHINGTON STATE PATROL (WSP).,6457,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR TWENTY-FIVE (25) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP460 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP)AND THE PORT AUTHORITY OF NEW YORK AND NEW JERSE(PAPD/PATH).,6458,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SIX (6) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP449 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE NORTHEAST ILLINOIS REGIONAL COMMUTER RAILROAD CORPORATION (METRA).,6459,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FIVE (5) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP421 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE KENTON COUNTY AIRPORT BOARD (CVG).,6460,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR NINE (9) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP483 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE PUERTO RICO GENERAL POLICE HEADQUARTERS (SJU).,6461,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP429 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF EL PASO (ELP).,6462,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR TWENTY-NINE (29) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP441 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF LOS ANGELES, LOS ANGELES WORLD AIRPORTS (LAX).",6463,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SIX (6) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP422 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF DALLAS (DAL).,6464,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAM UNDER OTA HSTS02-16-H-NCP447 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE MARYLAND TRANSIT ADMINISTRATION (MDTA).,6465,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP498 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE LONG BEACH AIRPORT (LGB).,6466,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR TEN (10) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP494 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA).,6467,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR TWENTY-ONE (21) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP404 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF ATLANTA - DEPARTMENT OF AVIATION (ATL).,6468,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FIFTEEN (15) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP426 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE DALLAS/FORT WORTH INTERNATIONAL AIRPORT BOARD (DFW).,6469,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP435 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE HONOLULU INTERNATIONAL AIRPORT (HNL).,6470,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FIVE (5) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP474 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE SAN DIEGO UNIFIED PORT DISTRICT HARBOR POLICE DEPARTMENT (SAN).,6471,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR TWELVE (12) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP439 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE LOS ANGELES COUNTY METRO TRANSIT AUTHORITY (LACMT).,6472,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FIFTEEN (15) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP420 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CHICAGO POLICE DEPARTMENT, CITY OF CHICAGO (CTA).",6473,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR EIGHT (8) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP416 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT (CLT).,6474,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 JANUARY 2020 FOR SIX (6) CANINE UNDER OTA HSTS02-17-H-NCP499 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP AND THE CITY OF ONTARIO POLICE DEPARTMENT (ONT).,6475,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SIXTEEN (16) CANINE TEAMS UNDER NEW OTA HSTS02-17-H-NCP402 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE NATIONAL RAILROAD PASSENGER CORPORATION (AMTRAK).,6476,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SIX (6) CANINE TEAMS UNDER OTA HSTS02-17-H-NCP456 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE PORT OF OAKLAND (CITY OF OAKLAND, A MUNICIPAL CORPORATION, ACTING BY AND THROUGH ITS BOARD OF PORT COMMISSIONERS) (OAK).",6477,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $2,340.00 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID# 2413TA3SLR664); AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE SAN JOSE INTERNATIONAL AIRPORT (SJC).",6478,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 UDO BALANCE OF $5,400.00 TO SUPPORT CY20 ACTIVITIES; AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CITY OF PIERRE (PIR).",6479,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE METROPOLITAN WASHINGTON AIRPORTS AUTHORITY (IAD).,6480,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE DALLAS/FORT WORTH INTERNATIONAL AIRPORT BOARD (DFW).,6481,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE PHOENIX SKY HARBOR INTERNATIONAL AIRPORT (PHX).,6482,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 UDO BALANCE OF $17,520.00 TO SUPPORT CY20 ACTIVITIES; AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE PITTSBURGH INTERNATIONAL AIRPORT (PIT).",6483,,,,,,,
