"Fiscal Year","Contracting Agency ID","Contracting Agency Name","Product or Service Code","Product or Service Description","Base and All Options Value (Total Contract Value)"
"2018","5700","DEPT OF THE AIR FORCE","AC52","R&D- DEFENSE SYSTEM: WEAPONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$1,200,000.00"
"2018","5700","DEPT OF THE AIR FORCE","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$150,000,000.00"
"2018","5700","DEPT OF THE AIR FORCE","AN95","R&D- MEDICAL: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)","$488,118.00"
"2018","5700","DEPT OF THE AIR FORCE","D325","IT AND TELECOM- DATA CENTERS AND STORAGE","$121,728,432.18"
"2018","7001","OFFICE OF PROCUREMENT OPERATIONS","AH94","R&D- ENVIRONMENTAL PROTECTION: OTHER (ENGINEERING DEVELOPMENT)","$14,228,669.21"
"2018","7001","OFFICE OF PROCUREMENT OPERATIONS","AZ11","R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)","$0.00"
"2018","7001","OFFICE OF PROCUREMENT OPERATIONS","AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$12,296,285.71"
"2018","7001","OFFICE OF PROCUREMENT OPERATIONS","R408","SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT","$0.00"
"2018","7013","TRANSPORTATION SECURITY ADMINISTRATION","6710","CAMERAS, MOTION PICTURE","$0.00"
"2018","7013","TRANSPORTATION SECURITY ADMINISTRATION","AS31","R&D- MODAL TRANSPORTATION: RAIL (BASIC RESEARCH)","$0.00"
"2018","7013","TRANSPORTATION SECURITY ADMINISTRATION","B599","SPECIAL STUDIES/ANALYSIS- OTHER","($72,496.64)"
"2018","7013","TRANSPORTATION SECURITY ADMINISTRATION","C1BE","ARCHITECT AND ENGINEERING- CONSTRUCTION: AIRPORT TERMINALS","$126,532,761.25"
"2018","7013","TRANSPORTATION SECURITY ADMINISTRATION","C219","ARCHITECT AND ENGINEERING- GENERAL: OTHER","$0.00"
"2018","7013","TRANSPORTATION SECURITY ADMINISTRATION","N063","INSTALLATION OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","($367,984.45)"
"2018","7013","TRANSPORTATION SECURITY ADMINISTRATION","N067","INSTALLATION OF EQUIPMENT- PHOTOGRAPHIC EQUIPMENT","($875,683.37)"
"2018","7013","TRANSPORTATION SECURITY ADMINISTRATION","R426","SUPPORT- PROFESSIONAL: COMMUNICATIONS","$2,000,000.00"
"2018","7013","TRANSPORTATION SECURITY ADMINISTRATION","R499","SUPPORT- PROFESSIONAL: OTHER","$1,494,808.14"
"2018","7013","TRANSPORTATION SECURITY ADMINISTRATION","R615","SUPPORT- ADMINISTRATIVE: BACKGROUND INVESTIGATION","$0.01"
"2018","7013","TRANSPORTATION SECURITY ADMINISTRATION","S112","UTILITIES- ELECTRIC","$32,143,266.18"
"2018","7013","TRANSPORTATION SECURITY ADMINISTRATION","S119","UTILITIES- OTHER","$72,281.64"
"2018","7013","TRANSPORTATION SECURITY ADMINISTRATION","S201","HOUSEKEEPING- CUSTODIAL JANITORIAL","$1,491,738.04"
"2018","7013","TRANSPORTATION SECURITY ADMINISTRATION","S206","HOUSEKEEPING- GUARD","$4,356,879.58"
"2018","7013","TRANSPORTATION SECURITY ADMINISTRATION","S211","HOUSEKEEPING- SURVEILLANCE","($1,773.78)"
"2018","7013","TRANSPORTATION SECURITY ADMINISTRATION","X125","LEASE/RENTAL OF AIRPORT TERMINALS","($23.00)"
"2018","7013","TRANSPORTATION SECURITY ADMINISTRATION","X129","LEASE-RENT OF OTHER AIRFIELD STRUCT","$0.00"
"2018","7013","TRANSPORTATION SECURITY ADMINISTRATION","X1BE","LEASE/RENTAL OF AIRPORT TERMINALS","$0.00"
"2018","7013","TRANSPORTATION SECURITY ADMINISTRATION","X1LZ","LEASE/RENTAL OF PARKING FACILITIES","$304,264.38"
"2018","7013","TRANSPORTATION SECURITY ADMINISTRATION","X1PZ","LEASE/RENTAL OF OTHER NON-BUILDING FACILITIES","($230.19)"
"2018","7013","TRANSPORTATION SECURITY ADMINISTRATION","Y125","CONSTRUCTION OF AIRPORT TERMINALS","$0.00"
"2018","7013","TRANSPORTATION SECURITY ADMINISTRATION","Y1BE","CONSTRUCTION OF AIRPORT TERMINALS","$285,389.44"
"2018","7013","TRANSPORTATION SECURITY ADMINISTRATION","Z2BE","REPAIR OR ALTERATION OF AIRPORT TERMINALS","$0.00"
"2018","9761","DEFENSE THREAT REDUCTION AGENCY (DTRA)","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$0.00"
"2018","9776","USTRANSCOM","D302","IT AND TELECOM- SYSTEMS DEVELOPMENT","$24,464,892.04"
"2018","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD91","R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH)","$26,443,447.00"
"2018","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$52,788,185.76"
"2018","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","$40,474,718.93"
"2018","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD95","R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)","$0.00"
"2018","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AZ13","R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)","$16,337,336.00"
"2018","97F5","WASHINGTON HEADQUARTERS SERVICES (WHS)","AD94","R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT)","$60,353,344.00"
"2018","97F5","WASHINGTON HEADQUARTERS SERVICES (WHS)","AZ15","R&D- OTHER RESEARCH AND DEVELOPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)","$32,203,705.55"
"2018","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","AZ13","R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)","$2,286,424.00"
"2019","1406","DEPARTMENTAL OFFICES","AZ11","R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)","$148,292,093.52"
"2019","1700","DEPT OF THE NAVY","1240","OPTICAL SIGHTING AND RANGING EQUIPMENT","$11,960,313.51"
"2019","1700","DEPT OF THE NAVY","1260","FIRE CONTROL DESIGNATING AND INDICATING EQUIPMENT","$438,370.00"
"2019","1700","DEPT OF THE NAVY","1367","TACTICAL SETS, KITS, AND OUTFITS","$274,867.37"
"2019","1700","DEPT OF THE NAVY","1425","GUIDED MISSILE SYSTEMS, COMPLETE","$48,402,734.00"
"2019","1700","DEPT OF THE NAVY","1440","LAUNCHERS, GUIDED MISSILE","$0.00"
"2019","1700","DEPT OF THE NAVY","1550","UNMANNED AIRCRAFT","$575,141.07"
"2019","1700","DEPT OF THE NAVY","1680","MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS","$14,376,725.89"
"2019","1700","DEPT OF THE NAVY","6636","ENVIRONMENTAL CHAMBERS AND RELATED EQUIPMENT","$1,253,171.07"
"2019","1700","DEPT OF THE NAVY","7010","INFORMATION TECHNOLOGY EQUIPMENT SYSTEM CONFIGURATION","$11,411,665.52"
"2019","1700","DEPT OF THE NAVY","AB94","R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (ENGINEERING DEVELOPMENT)","$200,000,000.00"
"2019","1700","DEPT OF THE NAVY","AC23","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ADVANCED DEVELOPMENT)","$2,072,070.00"
"2019","1700","DEPT OF THE NAVY","AC24","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ENGINEERING DEVELOPMENT)","$341,011.02"
"2019","1700","DEPT OF THE NAVY","AC62","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$200,701,484.54"
"2019","1700","DEPT OF THE NAVY","AC63","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ADVANCED DEVELOPMENT)","$24,284,292.80"
"2019","1700","DEPT OF THE NAVY","AC64","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ENGINEERING DEVELOPMENT)","$11,517,506.22"
"2019","1700","DEPT OF THE NAVY","AC65","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)","$1,254,601.00"
"2019","1700","DEPT OF THE NAVY","AD21","R&D- DEFENSE OTHER: SERVICES (BASIC RESEARCH)","$2,070,123.84"
"2019","1700","DEPT OF THE NAVY","AD22","R&D- DEFENSE OTHER: SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$99,636.12"
"2019","1700","DEPT OF THE NAVY","AD23","R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT)","$17,973,516.47"
"2019","1700","DEPT OF THE NAVY","AD91","R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH)","$0.00"
"2019","1700","DEPT OF THE NAVY","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$46,163,526.52"
"2019","1700","DEPT OF THE NAVY","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","$439,435,976.00"
"2019","1700","DEPT OF THE NAVY","AD95","R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)","$8,418,900.00"
"2019","1700","DEPT OF THE NAVY","AZ13","R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)","$261,262.66"
"2019","1700","DEPT OF THE NAVY","AZ14","R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT)","$320,150.00"
"2019","1700","DEPT OF THE NAVY","D399","IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS","$626,202.59"
"2019","1700","DEPT OF THE NAVY","R415","SUPPORT- PROFESSIONAL: TECHNOLOGY SHARING/UTILIZATION","$531,827.27"
"2019","1700","DEPT OF THE NAVY","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","$2,653,426.54"
"2019","1700","DEPT OF THE NAVY","R499","SUPPORT- PROFESSIONAL: OTHER","$0.01"
"2019","1700","DEPT OF THE NAVY","R799","SUPPORT- MANAGEMENT: OTHER","$1,075,116,758.35"
"2019","2100","DEPT OF THE ARMY","1005","GUNS, THROUGH 30MM","$68,116,757.93"
"2019","2100","DEPT OF THE ARMY","1010","GUNS, OVER 30MM UP TO 75MM","$7,580.00"
"2019","2100","DEPT OF THE ARMY","1090","ASSEMBLIES INTERCHANGEABLE BETWEEN WEAPONS IN TWO OR MORE CLASSES","$177,450.64"
"2019","2100","DEPT OF THE ARMY","1095","MISCELLANEOUS WEAPONS","$0.00"
"2019","2100","DEPT OF THE ARMY","1240","OPTICAL SIGHTING AND RANGING EQUIPMENT","$1,183,523.21"
"2019","2100","DEPT OF THE ARMY","1315","AMMUNITION, 75MM THROUGH 125MM","$1,045,000.00"
"2019","2100","DEPT OF THE ARMY","1370","PYROTECHNICS","$200,000.00"
"2019","2100","DEPT OF THE ARMY","1386","UNDERWATER USE EXPLOSIVE ORDNANCE DISPOSAL AND SWIMMER WEAPONS SYSTEMS TOOLS AND EQUIPMENT","$98,000,000.00"
"2019","2100","DEPT OF THE ARMY","1395","MISCELLANEOUS AMMUNITION","$348,308.00"
"2019","2100","DEPT OF THE ARMY","1510","AIRCRAFT, FIXED WING","$2,450,000.00"
"2019","2100","DEPT OF THE ARMY","1675","SPACE VEHICLE COMPONENTS","$959,999.00"
"2019","2100","DEPT OF THE ARMY","1725","SPACE VEHICLE LAUNCHERS","$2,405,050.00"
"2019","2100","DEPT OF THE ARMY","3426","METAL FINISHING EQUIPMENT","$996,944.40"
"2019","2100","DEPT OF THE ARMY","5810","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS","$2,400,000.00"
"2019","2100","DEPT OF THE ARMY","5895","MISCELLANEOUS COMMUNICATION EQUIPMENT","$641,161,797.33"
"2019","2100","DEPT OF THE ARMY","6115","GENERATORS AND GENERATOR SETS, ELECTRICAL","$0.00"
"2019","2100","DEPT OF THE ARMY","6660","METEOROLOGICAL INSTRUMENTS AND APPARATUS","$1,000,100.00"
"2019","2100","DEPT OF THE ARMY","6910","TRAINING AIDS","$400,631,459.02"
"2019","2100","DEPT OF THE ARMY","6930","OPERATION TRAINING DEVICES","$3,962,826.00"
"2019","2100","DEPT OF THE ARMY","7030","INFORMATION TECHNOLOGY SOFTWARE","$839,590.26"
"2019","2100","DEPT OF THE ARMY","7035","INFORMATION TECHNOLOGY SUPPORT EQUIPMENT","($0.18)"
"2019","2100","DEPT OF THE ARMY","9330","PLASTICS FABRICATED MATERIALS","$67,950.54"
"2019","2100","DEPT OF THE ARMY","9999","MISCELLANEOUS ITEMS","$898,918.21"
"2019","2100","DEPT OF THE ARMY","AC12","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$3,972,455,923.00"
"2019","2100","DEPT OF THE ARMY","AC21","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (BASIC RESEARCH)","$6,260,103.00"
"2019","2100","DEPT OF THE ARMY","AC41","R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (BASIC RESEARCH)","$0.00"
"2019","2100","DEPT OF THE ARMY","AC43","R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (ADVANCED DEVELOPMENT)","$80,000,000.00"
"2019","2100","DEPT OF THE ARMY","AC54","R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT)","$1,187,218,341.88"
"2019","2100","DEPT OF THE ARMY","AC62","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$14,843,487.00"
"2019","2100","DEPT OF THE ARMY","AC64","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ENGINEERING DEVELOPMENT)","$0.00"
"2019","2100","DEPT OF THE ARMY","AC94","R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (ENGINEERING DEVELOPMENT)","$1,065,310.00"
"2019","2100","DEPT OF THE ARMY","AC95","R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (OPERATIONAL SYSTEMS DEVELOPMENT)","$1,318,461.80"
"2019","2100","DEPT OF THE ARMY","AD17","R&D- DEFENSE OTHER: AMMUNITION (COMMERCIALIZED)","$55,246.02"
"2019","2100","DEPT OF THE ARMY","AD22","R&D- DEFENSE OTHER: SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$4,838,624.10"
"2019","2100","DEPT OF THE ARMY","AD23","R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT)","$286,151,371.65"
"2019","2100","DEPT OF THE ARMY","AD24","R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT)","$9,223,160.12"
"2019","2100","DEPT OF THE ARMY","AD25","R&D- DEFENSE OTHER: SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT)","$39,000.00"
"2019","2100","DEPT OF THE ARMY","AD44","R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE (ENGINEERING DEVELOPMENT)","$116,800.00"
"2019","2100","DEPT OF THE ARMY","AD91","R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH)","$97,717,155.59"
"2019","2100","DEPT OF THE ARMY","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","($590,000.00)"
"2019","2100","DEPT OF THE ARMY","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","$149,629,533.53"
"2019","2100","DEPT OF THE ARMY","AD94","R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT)","$2,281,090,024.19"
"2019","2100","DEPT OF THE ARMY","AD95","R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)","$0.00"
"2019","2100","DEPT OF THE ARMY","AJ13","R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (ADVANCED DEVELOPMENT)","$7,892,356.00"
"2019","2100","DEPT OF THE ARMY","AJ41","R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (BASIC RESEARCH)","$0.00"
"2019","2100","DEPT OF THE ARMY","AJ53","R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (ADVANCED DEVELOPMENT)","$0.00"
"2019","2100","DEPT OF THE ARMY","AN12","R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$63,372,007.15"
"2019","2100","DEPT OF THE ARMY","AN93","R&D- MEDICAL: OTHER (ADVANCED DEVELOPMENT)","$72,775,211.36"
"2019","2100","DEPT OF THE ARMY","AN94","R&D- MEDICAL: OTHER (ENGINEERING DEVELOPMENT)","$419,565.28"
"2019","2100","DEPT OF THE ARMY","AZ11","R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)","$34,668,436.29"
"2019","2100","DEPT OF THE ARMY","AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$228,527,795.29"
"2019","2100","DEPT OF THE ARMY","AZ13","R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)","$23,275,751.02"
"2019","2100","DEPT OF THE ARMY","AZ14","R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT)","$391,517,446.07"
"2019","2100","DEPT OF THE ARMY","B599","SPECIAL STUDIES/ANALYSIS- OTHER","$17,017,062.00"
"2019","2100","DEPT OF THE ARMY","D302","IT AND TELECOM- SYSTEMS DEVELOPMENT","$53,082,689.37"
"2019","2100","DEPT OF THE ARMY","D307","IT AND TELECOM- IT STRATEGY AND ARCHITECTURE","$0.00"
"2019","2100","DEPT OF THE ARMY","K070","MODIFICATION OF EQUIPMENT- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT","$984,620.04"
"2019","2100","DEPT OF THE ARMY","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","$210,620,945.04"
"2019","2100","DEPT OF THE ARMY","T014","PHOTO/MAP/PRINT/PUBLICATION- TOPOGRAPHY","$1,464,000.00"
"2019","2100","DEPT OF THE ARMY","V126","TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: SPACE TRANSPORTATION/LAUNCH","$0.00"
"2019","5700","DEPT OF THE AIR FORCE","1510","AIRCRAFT, FIXED WING","$358,735.00"
"2019","5700","DEPT OF THE AIR FORCE","1680","MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS","$9,176,970.00"
"2019","5700","DEPT OF THE AIR FORCE","2845","ROCKET ENGINES AND COMPONENTS","$273,000.00"
"2019","5700","DEPT OF THE AIR FORCE","5826","RADIO NAVIGATION EQUIPMENT, AIRBORNE","$69,515,467.01"
"2019","5700","DEPT OF THE AIR FORCE","7030","INFORMATION TECHNOLOGY SOFTWARE","$174,532,445.00"
"2019","5700","DEPT OF THE AIR FORCE","9999","MISCELLANEOUS ITEMS","$53,094.00"
"2019","5700","DEPT OF THE AIR FORCE","AC14","R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT)","$38,684,030.00"
"2019","5700","DEPT OF THE AIR FORCE","AC22","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$0.00"
"2019","5700","DEPT OF THE AIR FORCE","AC52","R&D- DEFENSE SYSTEM: WEAPONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$0.00"
"2019","5700","DEPT OF THE AIR FORCE","AC62","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$99,635,142.00"
"2019","5700","DEPT OF THE AIR FORCE","AD26","R&D- DEFENSE OTHER: SERVICES (MANAGEMENT/SUPPORT)","$100,000,000.00"
"2019","5700","DEPT OF THE AIR FORCE","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$563,995,166.88"
"2019","5700","DEPT OF THE AIR FORCE","AN95","R&D- MEDICAL: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)","$111,501.53"
"2019","5700","DEPT OF THE AIR FORCE","AR75","R&D- SPACE: COMMERCIAL PROGRAMS (OPERATIONAL SYSTEMS DEVELOPMENT)","$2,258,601,015.00"
"2019","5700","DEPT OF THE AIR FORCE","AZ11","R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)","$185,616.00"
"2019","5700","DEPT OF THE AIR FORCE","D305","IT AND TELECOM - TELEPROCESSING, TIMESHARE, CLOUD COMPUTING, AND HIGH PERFORMANCE COMPUTING","$296,489.00"
"2019","5700","DEPT OF THE AIR FORCE","D325","IT AND TELECOM- DATA CENTERS AND STORAGE","$293,603,235.88"
"2019","5700","DEPT OF THE AIR FORCE","D399","IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS","$1,186,060.22"
"2019","5700","DEPT OF THE AIR FORCE","J010","MAINT/REPAIR/REBUILD OF EQUIPMENT- WEAPONS","$1,320,643.00"
"2019","5700","DEPT OF THE AIR FORCE","U099","EDUCATION/TRAINING- OTHER","$403,591.41"
"2019","7001","OFFICE OF PROCUREMENT OPERATIONS","AJ42","R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$0.00"
"2019","7001","OFFICE OF PROCUREMENT OPERATIONS","AZ11","R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)","$0.00"
"2019","7001","OFFICE OF PROCUREMENT OPERATIONS","AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$8,874,355.71"
"2019","7001","OFFICE OF PROCUREMENT OPERATIONS","Q402","MEDICAL- NURSING HOME CARE CONTRACTS","$966,200.08"
"2019","7013","TRANSPORTATION SECURITY ADMINISTRATION","6350","MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","$1.00"
"2019","7013","TRANSPORTATION SECURITY ADMINISTRATION","6710","CAMERAS, MOTION PICTURE","$0.00"
"2019","7013","TRANSPORTATION SECURITY ADMINISTRATION","AS31","R&D- MODAL TRANSPORTATION: RAIL (BASIC RESEARCH)","$0.00"
"2019","7013","TRANSPORTATION SECURITY ADMINISTRATION","B599","SPECIAL STUDIES/ANALYSIS- OTHER","$0.00"
"2019","7013","TRANSPORTATION SECURITY ADMINISTRATION","C119","OTHER BUILDINGS","($40,992,889.15)"
"2019","7013","TRANSPORTATION SECURITY ADMINISTRATION","C1BE","ARCHITECT AND ENGINEERING- CONSTRUCTION: AIRPORT TERMINALS","$52,535,226.54"
"2019","7013","TRANSPORTATION SECURITY ADMINISTRATION","C219","ARCHITECT AND ENGINEERING- GENERAL: OTHER","($24,369,448.03)"
"2019","7013","TRANSPORTATION SECURITY ADMINISTRATION","N063","INSTALLATION OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","$8,747,482.40"
"2019","7013","TRANSPORTATION SECURITY ADMINISTRATION","N067","INSTALLATION OF EQUIPMENT- PHOTOGRAPHIC EQUIPMENT","($2,192,094.18)"
"2019","7013","TRANSPORTATION SECURITY ADMINISTRATION","R426","SUPPORT- PROFESSIONAL: COMMUNICATIONS","$10,748,836.08"
"2019","7013","TRANSPORTATION SECURITY ADMINISTRATION","R499","SUPPORT- PROFESSIONAL: OTHER","$954,106.74"
"2019","7013","TRANSPORTATION SECURITY ADMINISTRATION","R615","SUPPORT- ADMINISTRATIVE: BACKGROUND INVESTIGATION","$0.00"
"2019","7013","TRANSPORTATION SECURITY ADMINISTRATION","S112","UTILITIES- ELECTRIC","$35,068,244.23"
"2019","7013","TRANSPORTATION SECURITY ADMINISTRATION","S119","UTILITIES- OTHER","$72,267.72"
"2019","7013","TRANSPORTATION SECURITY ADMINISTRATION","S201","HOUSEKEEPING- CUSTODIAL JANITORIAL","$1,098,711.74"
"2019","7013","TRANSPORTATION SECURITY ADMINISTRATION","S206","HOUSEKEEPING- GUARD","$38,624,542.17"
"2019","7013","TRANSPORTATION SECURITY ADMINISTRATION","S211","HOUSEKEEPING- SURVEILLANCE","($260,166.59)"
"2019","7013","TRANSPORTATION SECURITY ADMINISTRATION","X129","LEASE-RENT OF OTHER AIRFIELD STRUCT","($48.58)"
"2019","7013","TRANSPORTATION SECURITY ADMINISTRATION","X1BE","LEASE/RENTAL OF AIRPORT TERMINALS","($30,751.23)"
"2019","7013","TRANSPORTATION SECURITY ADMINISTRATION","X1LZ","LEASE/RENTAL OF PARKING FACILITIES","$764,311.14"
"2019","7013","TRANSPORTATION SECURITY ADMINISTRATION","Y1BE","CONSTRUCTION OF AIRPORT TERMINALS","$82,330,653.96"
"2019","7013","TRANSPORTATION SECURITY ADMINISTRATION","Z2BE","REPAIR OR ALTERATION OF AIRPORT TERMINALS","$0.00"
"2019","9761","DEFENSE THREAT REDUCTION AGENCY (DTRA)","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$0.00"
"2019","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","AC14","R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT)","$0.00"
"2019","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","AC54","R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT)","$0.00"
"2019","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","AC62","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$0.00"
"2019","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","AD27","R&D- DEFENSE OTHER: SERVICES (COMMERCIALIZED)","$0.00"
"2019","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","AD91","R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH)","$0.00"
"2019","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$0.00"
"2019","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","$0.00"
"2019","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","AD94","R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT)","$0.00"
