fiscal_year	Customer	EntitySizeCode	EntitySizeText	EntityCategory	AnyEntityUSplaceOfPerformance	AnyEntityForeignPlaceOfPerformance	IsEntityAbove2016constantOneMillionThreshold	IsEntityAbove1990constantReportingThreshold	IsEntityAbove2016constantReportingThreshold	IsEntityAbove2018constant10ThousandThreshold	EntityCount	AllContractorCount	SumOfNumberOfActions	SumOfObligatedAmount
2016	DHS	N	Sometimes Small Vendor	PDuns-2+	1	0	0	0	1	1	83	102	220	899578.4776
2019	DHS	S	Always Small Vendor	PDuns-2+	1	0	0	0	0	0	5	5	8	-8422.5400
2000	GSA	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	1	1	0	0.0000
2018	VA	N	Sometimes Small Vendor	PDuns-2+	1	1	0	1	1	1	59	78	688	13106641.6246
2007	GSA	M	Medium Vendor	PID	1	1	1	1	1	1	14	14	262	13044229.1812
2000	Other Agencies	M	Medium Vendor	PDuns-2+	1	0	0	0	1	1	28	28	46	636358.0000
2001	Other Agencies	S	Always Small Vendor	PDuns-2+	1	0	1	1	1	1	87	102	899	174260611.5477
2012	Other Agencies	N	Sometimes Small Vendor	PDuns-1	1	1	1	1	1	1	550	550	24074	597335814.4205
2013	Defense	S	Always Small Vendor	PDuns-1	1	0	0	0	1	0	4494	4494	7854	27065851.5279
2000	Defense	M	Medium Vendor	PID	1	0	0	0	1	1	9	9	18	181892.0000
2010	Other Agencies	M	Medium Vendor	PDuns-1	1	1	0	1	1	1	171	171	5211	21168714.2774
2020	DHS	M	Medium Vendor	PDuns-1	1	0	0	0	1	0	146	146	228	224596.5510
2013	NASA	M	Medium Vendor	PDuns-1	1	1	0	1	1	1	24	24	35	1940556.8900
2019	State and IAP	M	Medium Vendor	PDuns-1	1	1	0	1	1	1	907	907	3461	106295727.3581
2005	HHS	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	1	1	458	458	1719	14012289.6149
2016	State and IAP	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	1	1	7	7	5	98855.4790
2001	Energy	N	Sometimes Small Vendor	PDuns-2+	1	0	0	1	1	1	4	4	6	416000.0000
2020	Other Agencies	N	Sometimes Small Vendor	PDuns-2+	1	0	0	1	1	1	540	869	4499	100779728.2368
2006	DHS	N	Sometimes Small Vendor	PDuns-1	1	1	0	0	1	1	50	50	198	830418.3429
2012	NASA	M	Medium Vendor	PDuns-2+	1	1	0	0	1	1	7	8	20	130881.0201
2004	Defense	S	Always Small Vendor	PDuns-1	1	1	0	0	1	1	23	23	64	668961.4599
2004	DHS	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	1	1	30	30	17	373284.7197
2019	VA	M	Medium Vendor	PDuns-1	1	0	0	0	1	0	135	135	1892	767837.8481
2002	Defense	S	Always Small Vendor	PID	1	1	1	1	1	1	5	5	122	53803111.0000
2002	VA	S	Always Small Vendor	PDuns-2+	1	0	0	1	1	1	43	43	96	5610506.5000
2005	NASA	S	Always Small Vendor	Name	1	0	0	1	1	1	1	1	2	345076.0000
2016	DHS	S	Always Small Vendor	PDuns-1	1	0	0	0	1	0	1131	1131	2391	4970708.8352
2004	GSA	N	Sometimes Small Vendor	PDuns-1	1	1	1	1	1	1	113	113	19805	135742080.1999
2015	Defense	N	Sometimes Small Vendor	PDuns-2+	1	1	1	1	1	1	489	2312	184869	6589600184.9515
2016	State and IAP	U	Unlabeled Vendor	Name	1	1	0	0	1	0	1	1	1	6148.2998
2012	Energy	B	Big Five	PID	1	1	1	1	1	1	5	5	102	2663331355.8006
2007	DHS	S	Always Small Vendor	Name	1	0	0	0	0	0	38	2	55	39463.3001
1997	Defense	N	Sometimes Small Vendor	Duns	NULL	NULL	1	1	1	1	2	2	2861	2697298445.0000
2020	UNITED STATES INTERNATIONAL DEVELOPMENT FINANCE CO	M	Medium Vendor	PDuns-1	1	0	0	0	0	0	1	1	1	0.0000
2003	GSA	S	Always Small Vendor	PDuns-2+	NULL	NULL	1	1	1	1	9	9	1	0.0000
2012	State and IAP	M	Medium Vendor	PDuns-1	1	1	0	0	0	0	128	128	193	104716.1296
1991	Defense	B	Big Five	PID	NULL	NULL	1	1	1	1	6	6	NULL	18585226964.0000
2014	State and IAP	M	Medium Vendor	PDuns-2+	NULL	NULL	1	1	1	1	3	3	0	10000.0000
2002	NASA	M	Medium Vendor	PID	1	1	1	1	1	1	3	3	4	207000.0000
2004	HHS	L	Large Vendor	PID	1	0	1	1	1	1	41	41	695	461412595.0870
2013	HHS	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	0	0	20	20	0	4670.0000
2018	HHS	S	Always Small Vendor	PDuns-2+	1	0	0	0	1	1	47	52	101	917711.4187
2014	DHS	S	Always Small Vendor	Duns	1	0	0	0	1	1	2	2	2	36630.0000
2008	Defense	L	Large Vendor	PID	NULL	NULL	1	1	1	1	1	1	0	0.0000
2004	Defense	B	Big Five	PID	1	1	1	1	1	1	5	5	38807	69933279858.5973
2007	VA	S	Always Small Vendor	PDuns-2+	1	1	0	1	1	1	10	10	100	1629258.8707
2018	GSA	M	Medium Vendor	PID	1	0	1	1	1	1	58	58	653	684276072.5539
2017	VA	M	Medium Vendor	PDuns-1	1	0	1	1	1	1	593	593	177928	781134342.2043
2006	NASA	U	Unlabeled Vendor	Name	1	0	0	1	1	1	1	1	2	44000.0000
2008	Defense	M	Medium Vendor	PDuns-2+	1	1	0	0	1	1	149	162	618	4615267.4029
2004	DHS	N	Sometimes Small Vendor	PDuns-1	1	1	1	1	1	1	53	53	399	93825995.4138
2018	Other Agencies	N	Sometimes Small Vendor	Duns	1	1	0	0	1	0	1	1	2	9882.0000
2013	HHS	M	Medium Vendor	PID	1	1	1	1	1	1	26	26	946	563024976.5112
2009	HHS	M	Medium Vendor	PDuns-1	1	0	0	0	1	0	133	133	176	981609.9504
2010	State and IAP	M	Medium Vendor	PID	1	0	0	0	1	1	3	3	3	-6236.3398
2005	Energy	S	Always Small Vendor	PID	1	1	1	1	1	1	2	2	16	584677.0000
2016	Defense	U	Unlabeled Vendor	Name	1	1	0	0	1	1	3	1	4	39190.2305
2011	State and IAP	N	Sometimes Small Vendor	PDuns-1	1	1	0	1	1	1	325	325	2060	44499687.8968
2013	Defense	N	Sometimes Small Vendor	PID	1	1	0	1	1	1	14	14	266	891631.5000
2002	State and IAP	S	Always Small Vendor	Duns	NULL	NULL	1	1	1	1	1	1	0	0.0000
2006	Defense	M	Medium Vendor	PDuns-2+	1	1	0	1	1	1	213	255	2307	58931089.6756
2012	Other Agencies	M	Medium Vendor	PID	1	0	0	0	1	1	15	15	87	388293.7999
2006	Energy	N	Sometimes Small Vendor	PDuns-1	1	1	0	1	1	1	31	31	64	1354648.3074
2005	Defense	N	Sometimes Small Vendor	PDuns-2+	1	1	1	1	1	1	271	1788	54554	5011166195.9465
2003	Defense	S	Always Small Vendor	PID	1	0	0	1	1	1	158	158	905	58116715.0000
2002	GSA	M	Medium Vendor	PDuns-1	1	1	0	0	1	1	5	5	5	119200.0000
2004	NASA	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	1	1	5	5	6	52323.8701
2002	State and IAP	S	Always Small Vendor	PDuns-1	1	0	1	1	1	1	91	91	455	164544398.9273
2005	Defense	S	Always Small Vendor	PDuns-1	1	1	0	1	1	1	81	81	1209	38596285.4009
2006	State and IAP	M	Medium Vendor	PDuns-1	1	1	1	1	1	1	159	159	753	344220867.4927
2004	HHS	M	Medium Vendor	PDuns-2+	1	1	0	0	0	0	1	1	1	17.0000
2018	HHS	S	Always Small Vendor	PID	1	0	0	0	1	0	1	1	1	8729.8096
2006	Defense	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	1	0	579	579	1624	4909952.5996
1991	Defense	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	0	77	77	NULL	-78224000.0000
2004	DHS	S	Always Small Vendor	PID	1	0	1	1	1	1	26	26	175	149179943.4611
2014	GSA	M	Medium Vendor	PDuns-2+	1	0	0	0	1	1	11	12	18	102262.3500
2011	State and IAP	M	Medium Vendor	PDuns-2+	1	0	0	0	1	0	5	5	18	57877.4095
2009	VA	S	Always Small Vendor	PDuns-2+	NULL	NULL	1	1	1	1	13	13	0	2184000.0000
2013	NASA	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	1	1	0	-1.0100
2002	Other Agencies	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	1	0	6	6	16	64786.6001
2013	GSA	M	Medium Vendor	PDuns-1	1	0	0	0	1	0	61	61	116	-104455.1000
2016	DHS	N	Sometimes Small Vendor	PID	1	0	0	0	1	1	4	4	6	4769.2402
2011	HHS	N	Sometimes Small Vendor	PDuns-2+	1	1	0	0	1	0	2	2	2	13740.0000
2020	State and IAP	S	Always Small Vendor	PDuns-2+	1	1	1	1	1	1	9	9	56	20089638.6919
2016	Defense	M	Medium Vendor	PID	1	0	0	0	0	0	2	2	2	-35385.4292
2020	HHS	M	Medium Vendor	PID	1	0	0	0	1	0	1	1	1	-5938.6699
2018	VA	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	1	7	7	0	0.0000
2019	NASA	M	Medium Vendor	PDuns-1	1	1	0	0	1	0	4	4	4	3535.0000
2002	HHS	N	Sometimes Small Vendor	PDuns-2+	1	1	0	1	1	1	5	5	13	965200.0000
2019	Defense	M	Medium Vendor	PDuns-2+	1	1	0	0	1	1	118	122	6851	12167302.9802
2008	DHS	S	Always Small Vendor	PID	1	0	1	1	1	1	35	35	379	181884287.6704
2004	State and IAP	N	Sometimes Small Vendor	PID	1	1	0	1	1	1	13	13	83	2179227.2654
2016	HHS	N	Sometimes Small Vendor	PDuns-1	1	0	1	1	1	1	651	651	7251	1638435104.1829
2006	DHS	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	0	233	233	289	184705.6995
2014	Defense	S	Always Small Vendor	PDuns-1	1	1	1	1	1	1	384	384	9390	1273430109.1171
2005	Defense	N	Sometimes Small Vendor	PDuns-1	1	1	0	0	1	0	40	40	120	436569.9701
2004	State and IAP	N	Sometimes Small Vendor	PDuns-1	1	1	0	0	1	0	3	3	11	8957.3900
2009	Other Agencies	S	Always Small Vendor	PDuns-1	1	0	0	0	1	1	11960	11960	43475	241768569.0201
2014	State and IAP	M	Medium Vendor	PDuns-2+	NULL	NULL	0	0	1	1	2	2	0	1672.3000
2014	DHS	M	Medium Vendor	PDuns-1	1	0	0	0	1	1	228	228	414	2507646.5300
2014	Other Agencies	M	Medium Vendor	PDuns-2+	1	0	0	0	1	1	217	264	616	4374049.5000
2018	GSA	M	Medium Vendor	PID	1	1	1	1	1	1	32	32	625	127531725.2275
2013	Other Agencies	M	Medium Vendor	PDuns-1	1	1	0	0	1	0	128	128	574	993620.8400
2002	GSA	N	Sometimes Small Vendor	PDuns-2+	1	0	1	1	1	1	259	395	4068	621399487.1315
2007	Defense	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	530	530	0	0.0000
2003	Energy	N	Sometimes Small Vendor	PDuns-2+	1	0	1	1	1	1	47	58	322	178324213.4716
2018	GSA	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	151	151	0	5000.0000
2009	Other Agencies	M	Medium Vendor	Duns	1	0	1	1	1	1	1	1	1	29749.0000
2016	VA	S	Always Small Vendor	PDuns-1	1	1	0	0	1	0	1	1	1	9158.0000
2003	GSA	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	2	2	0	0.0000
2019	DHS	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	1	4	4	NULL	-6770.9199
2012	State and IAP	M	Medium Vendor	PDuns-1	1	0	1	1	1	1	61	61	235	82168583.4574
2020	NASA	S	Always Small Vendor	PID	1	0	0	0	1	1	1	1	1	24524.2500
2003	Other Agencies	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	0	0	0	13	13	1	266.1600
2011	VA	S	Always Small Vendor	PDuns-1	1	0	0	0	0	0	643	643	983	1339695.8756
2009	DHS	S	Always Small Vendor	PDuns-1	1	0	0	0	1	1	1886	1886	3751	26565671.9540
2012	VA	L	Large Vendor	PID	NULL	NULL	1	1	1	1	1	1	0	0.0000
2008	State and IAP	N	Sometimes Small Vendor	PDuns-2+	1	1	0	0	1	0	3	3	13	69551.9492
1999	Defense	L	Large Vendor	PID	NULL	NULL	1	1	1	1	183	183	55828	29951554976.0000
2006	Other Agencies	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	1	81	81	30	5749769.5785
2018	State and IAP	M	Medium Vendor	PDuns-2+	1	1	0	1	1	1	155	175	1291	31252775.0349
2017	Other Agencies	N	Sometimes Small Vendor	PDuns-2+	1	0	1	1	1	1	785	1671	20579	1921311165.9078
2012	GSA	S	Always Small Vendor	PID	NULL	NULL	0	0	1	1	2	2	0	-389.0800
2004	VA	S	Always Small Vendor	PDuns-1	1	0	0	0	0	0	48	48	75	93812.2301
2006	HHS	N	Sometimes Small Vendor	PDuns-1	1	0	0	1	1	1	532	532	2745	49799324.0032
2001	DHS	N	Sometimes Small Vendor	PID	1	1	1	1	1	1	12	12	65	23316042.5200
2013	GSA	N	Sometimes Small Vendor	PID	1	1	1	1	1	1	186	186	3792	765447279.6871
2010	Energy	M	Medium Vendor	PDuns-1	1	1	0	1	1	1	8	8	14	334981.0799
2007	DHS	S	Always Small Vendor	PDuns-2+	1	0	0	0	1	0	30	31	38	139035.8501
2002	NASA	N	Sometimes Small Vendor	PDuns-2+	1	0	0	0	1	1	4	5	7	183000.0000
2000	Defense	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	3	3	0	0.0000
2011	Other Agencies	M	Medium Vendor	PDuns-2+	NULL	NULL	0	0	1	0	1	1	0	1785.0000
2011	State and IAP	M	Medium Vendor	PDuns-2+	1	1	0	0	1	0	7	8	11	71380.6894
2019	Defense	M	Medium Vendor	Duns	NULL	NULL	0	0	0	0	6	6	NULL	0.0000
2005	Energy	N	Sometimes Small Vendor	PDuns-2+	1	0	1	1	1	1	77	91	357	191879322.5595
2010	Defense	J	Large: Big 5 JV	PID	1	0	1	1	1	1	7	7	550	1803144009.7127
2009	Other Agencies	L	Large Vendor	PID	1	0	0	1	1	1	5	5	77	890525.0906
2000	DHS	M	Medium Vendor	PDuns-2+	1	0	1	1	1	1	3	3	6	3423000.0000
2014	DHS	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	1	1	5	5	0	-5000.0000
2007	State and IAP	S	Always Small Vendor	PDuns-2+	1	0	0	0	1	1	4	4	7	61647.5000
2014	GSA	M	Medium Vendor	PID	1	0	0	1	1	1	8	8	26	203274.6900
2010	Other Agencies	U	Unlabeled Vendor	Name	1	0	0	1	1	1	1	1	1	-25637.8301
2000	State and IAP	S	Always Small Vendor	PDuns-2+	1	0	0	0	1	1	2	2	2	56000.0000
2010	GSA	S	Always Small Vendor	PDuns-2+	1	0	1	1	1	1	204	225	5956	141273694.0175
2005	GSA	M	Medium Vendor	PID	1	0	0	1	1	1	16	16	40	2244076.0773
2010	Other Agencies	S	Always Small Vendor	PDuns-1	1	1	0	0	0	0	18	18	47	62466.9198
2019	DHS	S	Always Small Vendor	PDuns-2+	1	0	0	1	1	1	83	84	201	8235484.9123
2015	Defense	M	Medium Vendor	Duns	1	0	0	0	1	0	5	5	10	19387.7901
2016	NASA	M	Medium Vendor	PDuns-1	1	0	1	1	1	1	175	175	2870	633299955.5938
2005	Energy	S	Always Small Vendor	PDuns-2+	1	0	1	1	1	1	12	13	74	16271869.9069
2007	DHS	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	2	2	1	718620.0000
2003	GSA	L	Large Vendor	PID	1	0	1	1	1	1	55	55	16636	948864248.1210
2014	HHS	M	Medium Vendor	PDuns-2+	1	1	0	1	1	1	19	22	48	2288402.3998
2017	NASA	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	1	3	3	0	155300.0000
2020	GSA	M	Medium Vendor	PDuns-1	1	0	0	0	0	0	23	23	81	48141.3705
2015	NASA	S	Always Small Vendor	Duns	1	0	0	0	1	0	1	1	1	0.0000
2006	State and IAP	M	Medium Vendor	PDuns-1	1	0	1	1	1	1	39	39	131	67752476.3685
2005	Other Agencies	N	Sometimes Small Vendor	PDuns-2+	1	0	0	0	1	1	275	382	1742	7161657.2810
2010	HHS	M	Medium Vendor	PDuns-2+	1	1	0	1	1	1	19	19	41	1439399.8563
2016	Energy	S	Always Small Vendor	PID	1	0	1	1	1	1	3	3	33	734847.5502
2017	State and IAP	N	Sometimes Small Vendor	Duns	1	1	0	0	1	0	1	1	15	78740.2297
2011	NASA	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	1	0	2	2	2	8168.0000
2012	Other Agencies	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	0	0	125	125	0	-750.0000
2017	Defense	M	Medium Vendor	PDuns-2+	NULL	NULL	0	1	1	1	15	15	1	37301.4492
2013	DHS	S	Always Small Vendor	PDuns-1	1	1	0	1	1	1	48	48	115	1388483.3200
2019	DHS	N	Sometimes Small Vendor	PDuns-1	1	1	0	0	1	1	6	6	9	50276.1006
2004	Energy	M	Medium Vendor	PDuns-2+	1	1	1	1	1	1	3	3	20	1320895.0000
2019	GSA	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	0	0	34	34	NULL	0.0000
2016	Defense	M	Medium Vendor	Duns	NULL	NULL	0	0	0	0	5	5	0	0.0000
2006	Energy	N	Sometimes Small Vendor	PID	1	0	0	1	1	1	13	13	26	137581.3494
2010	State and IAP	S	Always Small Vendor	PID	1	1	1	1	1	1	5	5	79	23010632.9881
2003	GSA	L	Large Vendor	PID	1	1	1	1	1	1	76	76	29204	5336941526.4771
2015	Defense	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	60	123706	3161357933.4538
2004	VA	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	0	104	104	0	0.0000
2018	State and IAP	N	Sometimes Small Vendor	PDuns-1	1	1	0	1	1	1	283	283	3105	69823405.6425
2005	VA	S	Always Small Vendor	PDuns-1	1	0	0	0	0	0	478	478	5666	547729.2205
2011	NASA	N	Sometimes Small Vendor	PDuns-1	1	1	0	0	1	1	7	7	9	62732.0297
2014	DHS	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	91	91	0	1219924.9300
2017	VA	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	0	0	3	3	6	5084.9800
2016	HHS	M	Medium Vendor	PID	1	0	0	0	1	1	1	1	5	548.4201
2003	State and IAP	N	Sometimes Small Vendor	PDuns-1	1	1	0	1	1	1	37	37	125	8745524.0000
2004	HHS	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	1	19	19	1	783270.3000
2005	State and IAP	N	Sometimes Small Vendor	PDuns-1	1	1	0	0	1	1	90	90	380	2732818.3984
2004	Defense	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	1	1	982	982	4009	29350489.4481
2001	NASA	B	Big Five	PID	1	1	1	1	1	1	5	5	816	2465014611.9649
2020	VA	S	Always Small Vendor	PDuns-2+	1	1	1	1	1	1	5	5	13	1286203.9804
2006	Defense	L	Large Vendor	PID	NULL	NULL	0	0	0	0	1	1	0	0.0000
2008	VA	M	Medium Vendor	PDuns-2+	1	0	0	0	0	0	77	81	232	173628.7500
2005	Other Agencies	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	0	1	0	20	20	76	176182.0797
2010	Energy	M	Medium Vendor	PID	1	0	0	1	1	1	2	2	1	8000.0000
2007	VA	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	1	33	33	0	7478609.6133
2020	GSA	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	1	0	26	26	443	467593.2586
2014	DHS	M	Medium Vendor	PDuns-1	1	1	0	0	1	0	4	4	7	25206.9000
2006	NASA	S	Always Small Vendor	PDuns-1	1	1	1	1	1	1	5	5	48	7564632.1350
2008	Defense	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	1	1	19	19	1	8650.0000
2001	Energy	N	Sometimes Small Vendor	PDuns-2+	1	1	0	1	1	1	2	4	6	298000.0000
2006	NASA	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	1	0	26	26	46	154879.3801
2017	GSA	N	Sometimes Small Vendor	PDuns-1	1	1	1	1	1	1	515	515	6987	294200547.8364
2007	GSA	M	Medium Vendor	PDuns-2+	1	0	0	0	1	0	15	16	137	531062.1586
2004	State and IAP	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	1	0	14	14	24	56817.0602
2005	State and IAP	M	Medium Vendor	PID	NULL	NULL	0	0	0	0	1	1	1	2609.0000
2012	GSA	M	Medium Vendor	PDuns-1	1	1	0	1	1	1	27	27	11	153470.9687
2001	Other Agencies	M	Medium Vendor	PID	1	0	0	0	1	1	8	8	12	159665.7600
2018	Other Agencies	S	Always Small Vendor	PID	1	0	0	0	1	1	8	8	15	201333.0498
2015	Defense	S	Always Small Vendor	PDuns-1	1	1	0	0	1	1	114	114	400	3569119.3100
2015	DHS	B	Big Five	PID	1	1	1	1	1	1	5	5	717	574553908.0181
2001	Other Agencies	S	Always Small Vendor	PID	1	0	0	0	0	0	3	3	6	-37368.8000
2007	HHS	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	1	1	2	2	3	90653.3007
2001	Other Agencies	S	Always Small Vendor	PDuns-2+	1	1	1	1	1	1	2	2	8	3276000.0000
2013	DHS	M	Medium Vendor	PDuns-1	1	1	0	1	1	1	19	19	48	1631287.1328
2005	Other Agencies	N	Sometimes Small Vendor	PDuns-2+	1	1	0	0	1	1	12	22	80	548598.2102
2008	VA	S	Always Small Vendor	PDuns-1	1	1	1	1	1	1	58	58	3016	19604311.1793
2003	Defense	N	Sometimes Small Vendor	PDuns-2+	1	1	0	0	1	1	3	3	21	168303.0000
2016	Defense	M	Medium Vendor	PID	1	0	0	1	1	1	38	38	330	7054734.1218
2010	Defense	N	Sometimes Small Vendor	PID	1	1	0	0	1	1	2	2	12	110802.1284
2009	Defense	L	Large Vendor	Duns	1	1	1	1	1	1	1	1	8882	278994339.0227
2009	DHS	M	Medium Vendor	PID	1	0	0	0	0	0	1	1	1	1027.2000
2005	Energy	M	Medium Vendor	PDuns-2+	1	1	1	1	1	1	3	3	29	2307629.5938
1997	Defense	L	Large Vendor	PID	NULL	NULL	1	1	1	1	177	177	49337	32572948859.0000
2001	Other Agencies	NULL	NULL	Duns	NULL	NULL	NULL	NULL	NULL	NULL	1	1	0	778032.0000
2010	Other Agencies	N	Sometimes Small Vendor	PDuns-2+	1	0	0	0	1	0	54	69	202	377676.8014
2005	Other Agencies	N	Sometimes Small Vendor	Duns	1	1	1	1	1	1	5	3	830	12296672.1691
2015	Other Agencies	M	Medium Vendor	PDuns-2+	NULL	NULL	1	1	1	1	6	6	0	3674659.3688
2017	Other Agencies	M	Medium Vendor	PID	1	0	0	1	1	1	47	47	247	5479411.4114
2018	GSA	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	1	19	19	0	80946.8672
2010	DHS	S	Always Small Vendor	PDuns-2+	1	0	0	1	1	1	78	81	230	3215401.7072
2017	HHS	L	Large Vendor	PID	1	0	0	1	1	1	1	1	1	10500.0000
2010	Other Agencies	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	1	1	21	21	0	226941.8897
2013	Defense	M	Medium Vendor	PDuns-1	1	0	0	1	1	1	1426	1426	4978	179498771.1569
2000	GSA	N	Sometimes Small Vendor	PDuns-2+	NULL	NULL	0	1	1	1	1	1	0	0.0000
2003	State and IAP	M	Medium Vendor	PDuns-1	1	0	0	0	1	0	4	4	4	19423.7800
1989	Defense	S	Always Small Vendor	Duns	NULL	NULL	1	1	1	NULL	5	5	NULL	4736000.0000
2010	State and IAP	L	Large Vendor	Duns	1	1	1	1	1	1	1	1	1	16632.0000
2008	GSA	M	Medium Vendor	PID	1	1	1	1	1	1	19	19	205	88707401.7160
2005	State and IAP	M	Medium Vendor	PDuns-2+	NULL	NULL	0	0	1	1	1	1	1	8682.0000
2014	Other Agencies	N	Sometimes Small Vendor	Duns	1	0	0	1	1	1	1	1	6	0.0000
2001	Defense	S	Always Small Vendor	PDuns-1	1	0	0	0	1	1	2824	2824	4850	74844487.0000
2006	Other Agencies	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	1	46	46	8	24484606.9439
2004	NASA	S	Always Small Vendor	PID	1	0	0	0	1	1	3	3	6	65775.0000
2015	Other Agencies	M	Medium Vendor	PDuns-1	1	0	0	1	1	1	1661	1661	6649	208218596.3697
2020	DHS	M	Medium Vendor	PDuns-2+	1	1	0	0	1	0	2	2	3	13900.0000
2018	Defense	M	Medium Vendor	PID	1	0	0	0	1	0	4	4	8	3231.7400
2004	VA	M	Medium Vendor	PID	NULL	NULL	0	0	1	1	1	1	0	30652.9805
2008	Other Agencies	S	Always Small Vendor	PDuns-1	1	1	0	0	1	1	88	88	318	2767773.7350
2012	GSA	S	Always Small Vendor	PDuns-1	1	1	0	0	1	0	1	1	2	9000.0000
2018	DHS	M	Medium Vendor	PDuns-2+	1	0	0	0	1	0	20	21	27	104506.0402
2002	GSA	L	Large Vendor	PID	1	0	0	0	1	1	1	1	1	26000.0000
2014	State and IAP	M	Medium Vendor	PDuns-1	1	1	1	1	1	1	249	249	1679	515490878.9814
2006	VA	N	Sometimes Small Vendor	PDuns-2+	1	0	0	0	1	0	50	62	7734	1376455.6484
2007	GSA	S	Always Small Vendor	PDuns-1	1	0	0	0	1	0	1138	1138	14268	38110613.8777
2005	GSA	S	Always Small Vendor	PID	1	0	0	0	1	1	7	7	21	256666.0252
2009	State and IAP	M	Medium Vendor	PDuns-1	1	0	0	0	1	0	116	116	149	583335.8205
2020	State and IAP	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	1	1	1	1	2	26783.0000
2007	HHS	M	Medium Vendor	PDuns-1	1	1	0	0	1	0	11	11	15	75106.3999
2008	State and IAP	N	Sometimes Small Vendor	PDuns-1	1	1	1	1	1	1	215	215	1559	376101466.5757
2000	State and IAP	N	Sometimes Small Vendor	PID	1	1	1	1	1	1	39	39	669	367289709.8167
2009	Other Agencies	N	Sometimes Small Vendor	PDuns-1	1	1	1	1	1	1	525	525	12527	545429941.6477
2011	VA	N	Sometimes Small Vendor	PID	1	0	0	0	1	1	6	6	23	190972.7094
2020	VA	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	1	0	16	16	37	47746.3401
2004	Defense	U	Unlabeled Vendor	Name	1	0	0	1	1	1	3	1	3	102048.0000
2004	VA	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	0	0	0	5	5	0	0.0000
2003	GSA	M	Medium Vendor	PDuns-2+	1	0	1	1	1	1	120	152	3268	192534151.2366
1994	Other Agencies	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	1	1	1	16	16	22	1521286.0000
2001	NASA	N	Sometimes Small Vendor	PID	1	1	1	1	1	1	29	29	305	113814602.9122
2020	Energy	M	Medium Vendor	Duns	1	0	0	0	1	1	2	2	2	41348.3600
1997	Defense	M	Medium Vendor	PDuns-2+	NULL	NULL	0	0	1	1	67	68	79	1940335.0000
2017	DHS	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	57	57	0	444822.1384
2005	NASA	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	1	1	1	0	29000.0000
2000	VA	M	Medium Vendor	PID	1	1	1	1	1	1	1	1	2	103000.0000
2016	DHS	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	1	0	1	1	0	0.0000
2015	GSA	N	Sometimes Small Vendor	PDuns-1	1	0	1	1	1	1	1345	1345	7672	762602379.4329
2016	HHS	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	1	0	56	56	127	621112.9983
