Description_of_Requirement,second,descrip_row_number
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 JANUARY 2020 FOR
EIGHT (8) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP416 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT (CLT).",Second,6381
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 JANUARY 2020 FOR SIX
(6) CANINE UNDER OTA HSTS02-17-H-NCP499 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM NEDCTP AND THE CITY OF ONTARIO POLICE DEPARTMENT (ONT).",Second,6382
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 JANUARY 2020 FOR SIXTEEN (16) CANINE TEAMS UNDER NEW OTA HSTS02-17-H-NCP402 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE NATIONAL RAILROAD PASSENGER CORPORATION (AMTRAK).,Second,6383
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 JANUARY 2020 FOR SIX
(6) CANINE TEAMS UNDER OTA HSTS02-17-H-NCP456 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE PORT OF OAKLAND (CITY OF OAKLAND, A MUNICIPAL CORPORATION, ACTING BY AND THROUGH ITS BOARD OF PORT COMMISSIONERS) (OAK).",Second,6384
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 JANUARY 2020 FOR FOUR
(4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP458 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF OMAHA, NEBRASKA (OMA).",Second,6385
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 JANUARY 2020 FOR FIVE
(5) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP467 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE ALLEGHENY COUNTY AIRPORT AUTHORITY (PIT).",Second,6386
"53.243THE PURPOSE OF THIS MODIFICATION IS TO DE-OBLIGATE FUNDING
FROM PROJECT CEED-16-0003 AS PART OF A FINAL CLOSEOUT OF PROJECT
PERFORMANCE.",Second,6387
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020.,Second,6388
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-15-H-NCP401 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE SOUTH JERSEY TRANSPORTATION AUTHORITY (ACY).,Second,6389
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-15-H-NCP407 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE STATE OF CONNECTICUT DEPARTMENT OF PUBLIC SAFETY (BDL).,Second,6390
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-15-NCP415 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF CLEVELAND (CLE).,Second,6391
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-15-H-NCP424 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF DAYTON DEPARTMENT OF AVIATION (DAY).,Second,6392
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-15-H-NCP408 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE BANGOR POLICE DEPARTMENT (BGR).,Second,6393
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-15-H-NCP433 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND PIEDMONT TRIAD INTERNATIONAL AIRPORT (GSO).,Second,6394
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-15-H-NCP437 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE INDIANAPOLIS AIRPORT AUTHORITY (IND).,Second,6395
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FUNDING FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-15-H-NCP450 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF MANCHESTER-DEPARTMENT OF AVIATION (MHT).,Second,6396
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-15-H-NCP459 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE NORFOLK AIRPORT AUTHORITY (ORF).,Second,6397
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-15-H-NCP432 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND COMMONWEALTH PORTS AUTHORITY (GSN).,Second,6398
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-15-H-NCP442 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE LITTLE ROCK MUNICIPAL AIRPORT COMMISSION (LIT).,Second,6399
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-15-H-NCP457 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE ORANGE COUNTY TRANSPORTATION AUTHORITY (OCTA).,Second,6400
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-15-H-NCP488 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE VIRGIN ISLAND PORT AUTHORITY (STT).,Second,6401
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-15-H-NCP468 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE PORT OF SEATTLE POLICE DEPARTMENT (POS).,Second,6402
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 THREE (3) CANINE TEAMS UNDER OTA HSTS02-15-H-NCP469 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF PORTLAND, MAINE (PPD).",Second,6403
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR TWO (2) CANINE TEAMS UNDER OTA HSTS02-15-H-NCP470 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE RHODE ISLAND AIRPORT CORPORATION (PVD).,Second,6404
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-15-H-NCP471 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND RENO/TAHOE INTERNATIONAL AIRPORT (RNO).,Second,6405
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-15-H-NCP492 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE TUCSON AIRPORT AUTHORITY (TUS).,Second,6406
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-15-H-NCP472 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE GREATER ROCHESTER INTERNATIONAL AIRPORT (ROC).,Second,6407
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-15-H-NCP477 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE SAN DIEGO METROPOLITAN TRANSIT SYSTEM (SDMTS).,Second,6408
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-15-H-NCP493 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE VIA METROPOLITAN TRANSIT POLICE DEPARTMENT (VIAMT).,Second,6409
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-15-H-NCP496 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE NIAGARA FRONTIER TRANSPORTATION AUTHORITY (NFTA).,Second,6410
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-15-H-NCP418 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE COLORADO SPRINGS AIRPORT (COS).,Second,6411
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-15-H-NCP473 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE LEE COUNTY AIRPORT AUTHORITY (RSW).,Second,6412
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-15-H-NCP486 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE COUNTY OF ORANGE, JOHN WAYNE AIRPORT (SNA).",Second,6413
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SIX (6) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP410 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE METROPOLITAN NASHVILLE AIRPORT AUTHORITY (BNA).,Second,6414
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP411 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF BOISE - DEPARTMENT OF AVIATION (BOI).,Second,6415
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP413 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE BUFFALO, NY (BUF) OFFICE OF THE NIAGARA FRONTIER TRANSPORTATION AUTHORITY (NFTA).",Second,6416
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP417 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE PORT OF COLUMBUS INTERNATIONAL AIRPORT (CMH).,Second,6417
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SEVEN (7) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP431 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE GREATER CLEVELAND REGIONAL TRANSIT AUTHORITY (GCRTA).,Second,6418
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FUNDING FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP454 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE JEFFERSON PARISH SHERIFF'S OFFICE (MSY).,Second,6419
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FIVE (5) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP467 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE ALLEGHENY COUNTY AIRPORT AUTHORITY (PIT).,Second,6420
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FIVE (5) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP480 THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY (SFMTA).,Second,6421
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP489 AND PROVIDE UPDATES TO THE OTHER TRANSACTION AGREEMENT (OTA) BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE TRI-COUNTY METROPOLITAN DISTRICT OF OREGON (TRIMET).,Second,6422
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP405 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF AUSTIN, DEPARTMENT OF AVIATION (AUS).",Second,6423
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP438 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE JACKSONVILLE PORT AUTHORITY (JAX).,Second,6424
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP464 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE PORT OF PORTLAND (PDX).,Second,6425
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SIX (6) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP485 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE COUNTY OF SACRAMENTO (SMF).,Second,6426
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP400 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE ALBUQUERQUE INTERNATIONAL SUNPORT (ABQ).,Second,6427
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP482 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF SAN JOSE (SJC).,Second,6428
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP490 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE HILLSBOROUGH COUNTY AVIATION AUTHORITY (TPA).,Second,6429
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SIX (6) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP428 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE WAYNE COUNTY AIRPORT AUTHORITY (DTW).,Second,6430
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR NINE (9) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP430 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND BROWARD COUNTY (FLL).,Second,6431
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FIVE (5) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP434 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE A.B. WON PAT INTERNATIONAL AIRPORT AUTHORITY, GUAM (GUM).",Second,6432
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR ELEVEN (11) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP465 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF PHILADELPHIA, DIVISION OF AVIATION (PHL).",Second,6433
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SIX (6) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP475 AND PROVIDE UPDATES TO THE OTHER TRANSACTION AGREEMENT (OTA) BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF SAN ANTONIO, AVIATION DEPARTMENT (SAT).",Second,6434
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FIVE (5) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP484 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE SALT LAKE CITY CORPORATION (SLC).,Second,6435
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SEVEN (7) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP414 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE MARYLAND AVIATION ADMINISTRATION (BWI).,Second,6436
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP406 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT (BART).,Second,6437
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP445 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE KANSAS CITY AIRPORT POLICE (MCI).,Second,6438
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR ELEVEN (11) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP412 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE MASSACHUSETTS PORT AUTHORITY (BOS).,Second,6439
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR NINE (9) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP487 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF ST. LOUIS INTERNATIONAL AIRPORT AUTHORITY (STL).,Second,6440
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SIX (6) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP491 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF TULSA, TULSA POLICE DEPARTMENT (TUL).",Second,6441
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR TEN (10) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP446 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE GREATER ORLANDO AVIATION AUTHORITY (MCO).,Second,6442
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FUNDING FOR TWENTY-SIX (26) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP451 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE MIAMI-DADE COUNTY, BOARD OF COUNTY COMMISSIONERS (MIA).",Second,6443
"""THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) TEAM UNDER OTA HSTS02-16-H-NCP452 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE MILWAUKEE COUNTY SHERIFF'S DEPARTMENT (MKE).
""",Second,6444
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FIVE (5) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP462 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE COUNTY OF PALM BEACH (PBI).,Second,6445
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP427 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE DELAWARE RIVER AND BAY AUTHORITY (DRBA).,Second,6446
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SIX (6) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP409 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE BIRMINGHAM POLICE DEPARTMENT (BHM).,Second,6447
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SIXTEEN (16) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP443 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE METROPOLITAN ATLANTA RAPID TRANSIT AUTHORITY (MARTA).,Second,6448
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FIVE (5) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP478 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE PORT OF SEATTLE POLICE DEPARTMENT (SEA).,Second,6449
